Freq_GHz	Norm_dB_meas	Norm_dB_model_sat
0.5	0	0
1	-0.132985	-0.00193322
1.67	-0.2422	-0.00654795
2.17	-0.220597	-0.0115066
2.67	-0.22	-0.017765
3.25	-0.282537	-0.0266608
3.75	-0.33	-0.0357484
4.08	-0.3466	-0.0424703
4.75	-0.45	-0.057902
5.25	-0.374925	-0.0709894
5.75	-0.48	-0.0854339
6.08	-0.4112	-0.0957177
6.83	-0.4068	-0.121336
7.33	-0.4468	-0.140171
7.67	-0.424848	-0.153793
8.17	-0.504925	-0.175038
8.67	-0.5166	-0.197747
9.17	-0.6132	-0.221944
9.5	-0.49	-0.238743
10.17	-0.54	-0.274912
10.67	-0.472121	-0.30374
11.17	-0.4996	-0.334174
11.5	-0.4798	-0.355156
12.17	-0.7196	-0.399999
12.67	-0.76	-0.435465
13.17	-0.691807	-0.47269
13.67	-0.704545	-0.511715
14.17	-0.639552	-0.552588
14.67	-0.4596	-0.595357
15.17	-0.4932	-0.640073
15.67	-0.773	-0.686789
16.33	-1.0302	-0.751612
16.83	-0.7298	-0.803188
17.17	-0.947463	-0.839509
17.83	-0.707576	-0.912986
18.33	-0.58	-0.971337
18.83	-0.547879	-1.03208
19.5	-0.655	-1.11734
20	-1.295	-1.18395
20.5	-0.8366	-1.25318
21	-1.2736	-1.32512
21.33	-0.8	-1.37411
22	-0.82	-1.47739
22.33	-0.5468	-1.53018
23	-0.732537	-1.64137
23.5	-1.2502	-1.72794
24	-1.4136	-1.81766
24.5	-1.3602	-1.9106
25	-1.41	-2.00684
25.5	-1.107	-2.10645
26	-1.514	-2.20949
26.5	-1.107	-2.31603
27.25	-1.887	-2.48254
27.58	-2.04	-2.55839
28.08	-2.34485	-2.67638
28.75	-1.8564	-2.84033
29.25	-1.6962	-2.96712
29.75	-1.686	-3.09772
30.25	-2.8536	-3.23219
31.08	-2.83	-3.46398
31.67	-3.28627	-3.63529
32.17	-2.9212	-3.78475
32.67	-3.3108	-3.93813
33.17	-2.3372	-4.09543
33.83	-2.6	-4.30904
34.67	-4.3456	-4.59069
35	-4.4196	-4.70431
35.67	-5.3844	-4.94008
36.17	-3.84358	-5.12044
36.67	-3.84402	-5.3045
