Freq_GHz	Norm_dB_meas	Norm_dB_model_sat
0.83	0	0
1.5	0.0259701	-0.00631029
2	0.0159701	-0.0133928
2.5	-0.243433	-0.0225122
2.92	-0.21403	-0.0317539
3.58	-0.171493	-0.0492121
3.92	-0.23743	-0.0596153
4.58	-0.24723	-0.08257
5.08	-0.40403	-0.102408
5.58	-0.359104	-0.124379
6.08	-0.38523	-0.148508
6.67	-0.39723	-0.179789
7.17	-0.42723	-0.208711
7.67	-0.348878	-0.23988
8.17	-0.348955	-0.273326
8.67	-0.44063	-0.309084
9.33	-0.60083	-0.359885
9.83	-0.449254	-0.401149
10.33	-0.581909	-0.44485
10.67	-0.476151	-0.47598
11.17	-0.42363	-0.523872
11.67	-0.37363	-0.574317
12.33	-0.63403	-0.64489
12.83	-0.768608	-0.701435
13.25	-0.798126	-0.751023
13.83	-0.67403	-0.822696
14.33	-0.809254	-0.887511
14.83	-0.49443	-0.95518
15.67	-0.56703	-1.07543
16	-0.50403	-1.12497
16.5	-1.28403	-1.20253
17	-0.92403	-1.28317
17.5	-0.956567	-1.36692
18	-0.71903	-1.45383
18.67	-0.67403	-1.57533
19.17	-0.666151	-1.66982
19.67	-0.93403	-1.76762
20.17	-1.2113	-1.86875
20.67	-1.66723	-1.97327
21.17	-1.04123	-2.0812
21.67	-1.13403	-2.19258
22.17	-0.91723	-2.30742
22.67	-1.00149	-2.42575
23.17	-1.02403	-2.54759
23.67	-1.61403	-2.67296
24.33	-1.79443	-2.84385
24.83	-1.84403	-2.97743
25.33	-1.79403	-3.11455
25.83	-1.36403	-3.2552
26.33	-1.84403	-3.39939
26.83	-2.47403	-3.54709
27.42	-2.35803	-3.72588
27.92	-2.82403	-3.88118
28.42	-2.75373	-4.03993
29.08	-2.31403	-4.2547
29.42	-2.14643	-4.36763
29.92	-1.97603	-4.53651
30.58	-3.73403	-4.76447
31.33	-4.40736	-5.03035
