Freq_GHz	Norm_dB_model_vE
2.75521	-0.0521013
2.76519	-0.0524813
2.77518	-0.0528626
2.78516	-0.0532454
2.79514	-0.0536296
2.80512	-0.0540151
2.8151	-0.0544021
2.82509	-0.0547904
2.83507	-0.0551802
2.84505	-0.0555714
2.85503	-0.0559639
2.86501	-0.0563578
2.87499	-0.0567532
2.88498	-0.0571499
2.89496	-0.0575481
2.90494	-0.0579476
2.91492	-0.0583486
2.9249	-0.0587509
2.93489	-0.0591547
2.94487	-0.0595598
2.95485	-0.0599663
2.96483	-0.0603743
2.97481	-0.0607836
2.9848	-0.0611944
2.99478	-0.0616065
3.00476	-0.0620201
3.01474	-0.062435
3.02472	-0.0628514
3.03471	-0.0632692
3.04469	-0.0636883
3.05467	-0.0641089
3.06465	-0.0645309
3.07463	-0.0649542
3.08462	-0.065379
3.0946	-0.0658052
3.10458	-0.0662328
3.11456	-0.0666618
3.12454	-0.0670922
3.13453	-0.067524
3.14451	-0.0679572
3.15449	-0.0683918
3.16447	-0.0688278
3.17445	-0.0692652
3.18444	-0.0697041
3.19442	-0.0701443
3.2044	-0.0705859
3.21438	-0.071029
3.22436	-0.0714735
3.23435	-0.0719193
3.24433	-0.0723666
3.25431	-0.0728153
3.26429	-0.0732654
3.27427	-0.0737169
3.28426	-0.0741698
3.29424	-0.0746241
3.30422	-0.0750799
3.3142	-0.075537
3.32418	-0.0759956
3.33417	-0.0764555
3.34415	-0.0769169
3.35413	-0.0773797
3.36411	-0.0778439
3.37409	-0.0783095
3.38408	-0.0787765
3.39406	-0.079245
3.40404	-0.0797148
3.41402	-0.0801861
3.424	-0.0806588
3.43399	-0.0811328
3.44397	-0.0816083
3.45395	-0.0820853
3.46393	-0.0825636
3.47391	-0.0830433
3.4839	-0.0835245
3.49388	-0.0840071
3.50386	-0.0844911
3.51384	-0.0849765
3.52382	-0.0854633
3.53381	-0.0859515
3.54379	-0.0864412
3.55377	-0.0869323
3.56375	-0.0874248
3.57373	-0.0879187
3.58372	-0.088414
3.5937	-0.0889108
3.60368	-0.0894089
3.61366	-0.0899085
3.62364	-0.0904095
3.63363	-0.0909119
3.64361	-0.0914158
3.65359	-0.091921
3.66357	-0.0924277
3.67355	-0.0929358
3.68354	-0.0934454
3.69352	-0.0939563
3.7035	-0.0944687
3.71348	-0.0949825
3.72346	-0.0954977
3.73345	-0.0960143
3.74343	-0.0965324
3.75341	-0.0970519
3.76339	-0.0975728
3.77337	-0.0980951
3.78336	-0.0986188
3.79334	-0.099144
3.80332	-0.0996706
3.8133	-0.100199
3.82328	-0.100728
3.83327	-0.101259
3.84325	-0.101791
3.85323	-0.102325
3.86321	-0.10286
3.87319	-0.103397
3.88318	-0.103935
3.89316	-0.104474
3.90314	-0.105015
3.91312	-0.105557
