Freq_GHz	Norm_dB_meas	Norm_dB_model_vE
0.83	0	1.92865e-15
1.5	0.0259701	-0.00635787
2	0.0159701	-0.0134937
2.5	-0.243433	-0.0226817
2.92	-0.21403	-0.0319928
3.58	-0.171493	-0.049582
3.92	-0.23743	-0.060063
4.58	-0.24723	-0.0831891
5.08	-0.40403	-0.103174
5.58	-0.359104	-0.125309
6.08	-0.38523	-0.149616
6.67	-0.39723	-0.181127
7.17	-0.42723	-0.210262
7.67	-0.348878	-0.241658
8.17	-0.348955	-0.275348
8.67	-0.44063	-0.311365
9.33	-0.60083	-0.362532
9.83	-0.449254	-0.404091
10.33	-0.581909	-0.448103
10.67	-0.476151	-0.479455
11.17	-0.42363	-0.527684
11.67	-0.37363	-0.578483
12.33	-0.63403	-0.649548
12.83	-0.768608	-0.706484
13.25	-0.798126	-0.756414
13.83	-0.67403	-0.828577
14.33	-0.809254	-0.893833
14.83	-0.49443	-0.961959
15.67	-0.56703	-1.08301
16	-0.50403	-1.13288
16.5	-1.28403	-1.21096
17	-0.92403	-1.29212
17.5	-0.956567	-1.37642
18	-0.71903	-1.4639
18.67	-0.67403	-1.58618
19.17	-0.666151	-1.68128
19.67	-0.93403	-1.77969
20.17	-1.2113	-1.88147
20.67	-1.66723	-1.98665
21.17	-1.04123	-2.09526
21.67	-1.13403	-2.20733
22.17	-0.91723	-2.32288
22.67	-1.00149	-2.44194
23.17	-1.02403	-2.56454
23.67	-1.61403	-2.69067
24.33	-1.79443	-2.86261
24.83	-1.84403	-2.997
25.33	-1.79403	-3.13495
25.83	-1.36403	-3.27646
26.33	-1.84403	-3.42152
26.83	-2.47403	-3.57011
27.42	-2.35803	-3.74998
27.92	-2.82403	-3.90622
28.42	-2.75373	-4.06593
29.08	-2.31403	-4.28199
29.42	-2.14643	-4.39561
29.92	-1.97603	-4.56551
30.58	-3.73403	-4.79486
31.33	-4.40736	-5.06236
