Freq_GHz	Norm_dB_meas	Norm_dB_model_vE
0.33	0	-1.92865e-15
0.83	-0.0759701	-0.00396867
1.33	-0.341515	-0.0113652
1.83	-0.4378	-0.0222016
2.5	-0.809403	-0.0421464
2.92	-0.65	-0.0578395
3.42	-0.605075	-0.0797554
3.92	-0.6934	-0.105218
4.42	-0.5668	-0.134267
4.92	-0.97	-0.166943
5.58	-0.795075	-0.215713
6.08	-1.1512	-0.256995
6.67	-1.1732	-0.310598
7.17	-1.2232	-0.360237
7.67	-0.994848	-0.413805
8.17	-1.02493	-0.471364
8.67	-1.2566	-0.53298
9.17	-1.5432	-0.598717
9.83	-1.44522	-0.691911
10.33	-1.66788	-0.767461
11	-1.5298	-0.875505
11.33	-1.55	-0.931627
11.83	-1.19	-1.02036
12.5	-1.67	-1.14635
13	-2.07819	-1.24573
13.67	-2.64455	-1.38615
14.17	-2.04955	-1.49641
14.67	-2.1296	-1.61138
15.17	-2.0232	-1.73109
15.67	-2.413	-1.85555
16.17	-2.0298	-1.98478
16.67	-2.9202	-2.11879
17.33	-3.15507	-2.30297
17.83	-2.99758	-2.44802
18.33	-2.56	-2.5978
18.83	-2.45788	-2.75228
19.33	-2.64	-2.91141
19.83	-3.52273	-3.07516
20.33	-3.04	-3.24346
21	-3.8536	-3.47603
21.5	-3.58	-3.65474
17.17	-3.06746	-2.25756
17.67	-3.01	-2.40109
18.17	-2.57242	-2.54936
18.67	-2.59	-2.70233
19	-2.595	-2.80586
19.67	-2.94	-3.02226
20.33	-3.45	-3.24346
20.67	-4.2832	-3.36048
21.17	-3.3372	-3.5363
21.67	-3.61	-3.71649
22.17	-3.1532	-3.90098
22.67	-3.59746	-4.08968
23.33	-3.8604	-4.34505
24	-4.3936	-4.6114
24.33	-4.6004	-4.74515
24.83	-4.78	-4.95092
25.33	-4.67	-5.16036
25.83	-4.39	-5.37337
26.33	-4.4	-5.58983
