Freq_GHz	Norm_dB_model_vE
0.1	-3.70668e-05
0.109982	-4.25315e-05
0.119964	-4.85156e-05
0.129946	-5.50194e-05
0.139928	-6.20427e-05
0.14991	-6.95855e-05
0.159892	-7.76479e-05
0.169874	-8.62299e-05
0.179856	-9.53315e-05
0.189838	-0.000104953
0.19982	-0.000115093
0.209802	-0.000125754
0.219784	-0.000136933
0.229766	-0.000148633
0.239748	-0.000160852
0.24973	-0.000173591
0.259712	-0.000186849
0.269694	-0.000200627
0.279676	-0.000214924
0.289658	-0.000229741
0.29964	-0.000245078
0.309622	-0.000260934
0.319604	-0.00027731
0.329586	-0.000294206
0.339568	-0.000311621
0.34955	-0.000329556
0.359532	-0.000348011
0.369514	-0.000366985
0.379496	-0.000386479
0.389478	-0.000406493
0.39946	-0.000427026
0.409442	-0.000448079
0.419424	-0.000469652
0.429406	-0.000491744
0.439388	-0.000514356
0.44937	-0.000537488
0.459352	-0.00056114
0.469334	-0.000585311
0.479316	-0.000610002
0.489298	-0.000635213
0.49928	-0.000660944
0.509262	-0.000687194
0.519244	-0.000713964
0.529226	-0.000741254
0.539208	-0.000769064
0.54919	-0.000797394
0.559172	-0.000826243
0.569154	-0.000855613
0.579136	-0.000885502
0.589118	-0.000915911
0.5991	-0.00094684
0.609082	-0.000978288
0.619064	-0.00101026
0.629046	-0.00104275
0.639028	-0.00107575
0.64901	-0.00110928
0.658992	-0.00114333
0.668974	-0.0011779
0.678956	-0.00121299
0.688938	-0.0012486
0.69892	-0.00128472
0.708902	-0.00132137
0.718884	-0.00135854
0.728866	-0.00139623
0.738848	-0.00143444
0.74883	-0.00147317
0.758812	-0.00151241
0.768794	-0.00155218
0.778776	-0.00159247
0.788758	-0.00163328
0.79874	-0.00167461
0.808722	-0.00171646
0.818704	-0.00175883
0.828686	-0.00180172
0.838668	-0.00184513
0.84865	-0.00188906
0.858632	-0.00193351
0.868614	-0.00197848
0.878596	-0.00202397
0.888578	-0.00206998
0.89856	-0.00211651
0.908542	-0.00216356
0.918524	-0.00221114
0.928506	-0.00225923
