Freq_GHz	Norm_dB_model_vE
0.1	-3.70668e-05
0.109982	-4.55943e-05
0.119964	-5.49324e-05
0.129946	-6.50814e-05
0.139928	-7.6041e-05
0.14991	-8.78115e-05
0.159892	-0.000100393
0.169874	-0.000113785
0.179856	-0.000127988
0.189838	-0.000143001
0.19982	-0.000158826
0.209802	-0.000175461
0.219784	-0.000192907
0.229766	-0.000211164
0.239748	-0.000230231
0.24973	-0.00025011
0.259712	-0.000270799
0.269694	-0.000292299
0.279676	-0.00031461
0.289658	-0.000337732
0.29964	-0.000361665
0.309622	-0.000386409
0.319604	-0.000411964
0.329586	-0.000438329
0.339568	-0.000465506
0.34955	-0.000493493
0.359532	-0.000522291
0.369514	-0.000551901
0.379496	-0.000582321
0.389478	-0.000613552
0.39946	-0.000645595
0.409442	-0.000678448
0.419424	-0.000712112
0.429406	-0.000746588
0.439388	-0.000781874
0.44937	-0.000817972
0.459352	-0.00085488
0.469334	-0.0008926
0.479316	-0.000931131
0.489298	-0.000970473
0.49928	-0.00101063
0.509262	-0.00105159
0.519244	-0.00109337
0.529226	-0.00113595
0.539208	-0.00117935
0.54919	-0.00122356
0.559172	-0.00126858
0.569154	-0.00131441
0.579136	-0.00136106
0.589118	-0.00140851
0.5991	-0.00145678
0.609082	-0.00150585
0.619064	-0.00155574
0.629046	-0.00160644
0.639028	-0.00165795
0.64901	-0.00171028
0.658992	-0.00176341
0.668974	-0.00181736
0.678956	-0.00187211
0.688938	-0.00192768
0.69892	-0.00198406
0.708902	-0.00204126
0.718884	-0.00209926
0.728866	-0.00215807
0.738848	-0.0022177
0.74883	-0.00227814
0.758812	-0.00233939
0.768794	-0.00240145
0.778776	-0.00246433
0.788758	-0.00252801
0.79874	-0.00259251
0.808722	-0.00265782
0.818704	-0.00272394
0.828686	-0.00279088
0.838668	-0.00285862
0.84865	-0.00292718
0.858632	-0.00299655
0.868614	-0.00306673
0.878596	-0.00313772
0.888578	-0.00320953
0.89856	-0.00328215
0.908542	-0.00335558
0.918524	-0.00342982
0.928506	-0.00350487
0.938488	-0.00358074
0.94847	-0.00365742
0.958452	-0.00373491
0.968434	-0.00381321
0.978416	-0.00389233
0.988398	-0.00397226
0.99838	-0.004053
1.00836	-0.00413455
1.01834	-0.00421692
1.02833	-0.0043001
1.03831	-0.00438409
1.04829	-0.00446889
1.05827	-0.00455451
1.06825	-0.00464094
1.07824	-0.00472818
1.08822	-0.00481624
1.0982	-0.0049051
1.10818	-0.00499478
1.11816	-0.00508528
1.12815	-0.00517658
1.13813	-0.0052687
1.14811	-0.00536164
1.15809	-0.00545538
1.16807	-0.00554994
1.17806	-0.00564531
1.18804	-0.0057415
1.19802	-0.0058385
1.208	-0.00593631
1.21798	-0.00603493
1.22797	-0.00613437
1.23795	-0.00623462
1.24793	-0.00633569
1.25791	-0.00643757
1.26789	-0.00654026
1.27788	-0.00664377
1.28786	-0.00674808
1.29784	-0.00685322
1.30782	-0.00695917
1.3178	-0.00706593
1.32779	-0.0071735
1.33777	-0.00728189
1.34775	-0.00739109
1.35773	-0.00750111
1.36771	-0.00761194
1.3777	-0.00772358
1.38768	-0.00783604
1.39766	-0.00794931
1.40764	-0.0080634
1.41762	-0.0081783
1.42761	-0.00829402
1.43759	-0.00841055
1.44757	-0.00852789
1.45755	-0.00864605
1.46753	-0.00876502
1.47752	-0.00888481
1.4875	-0.00900541
1.49748	-0.00912683
1.50746	-0.00924906
1.51744	-0.00937211
1.52743	-0.00949597
1.53741	-0.00962065
1.54739	-0.00974614
1.55737	-0.00987244
1.56735	-0.00999956
1.57734	-0.0101275
1.58732	-0.0102563
1.5973	-0.0103858
1.60728	-0.0105162
1.61726	-0.0106474
1.62725	-0.0107794
1.63723	-0.0109122
1.64721	-0.0110459
1.65719	-0.0111803
1.66717	-0.0113156
1.67716	-0.0114517
1.68714	-0.0115886
1.69712	-0.0117263
1.7071	-0.0118649
1.71708	-0.0120042
1.72707	-0.0121444
1.73705	-0.0122854
1.74703	-0.0124272
1.75701	-0.0125698
1.76699	-0.0127132
1.77698	-0.0128575
1.78696	-0.0130026
1.79694	-0.0131484
1.80692	-0.0132951
1.8169	-0.0134427
1.82689	-0.013591
1.83687	-0.0137401
1.84685	-0.0138901
1.85683	-0.0140409
1.86681	-0.0141925
1.8768	-0.0143449
1.88678	-0.0144981
1.89676	-0.0146522
1.90674	-0.0148071
1.91672	-0.0149627
1.92671	-0.0151192
1.93669	-0.0152766
1.94667	-0.0154347
1.95665	-0.0155937
1.96663	-0.0157534
1.97662	-0.015914
1.9866	-0.0160754
1.99658	-0.0162377
2.00656	-0.0164007
2.01654	-0.0165646
2.02653	-0.0167292
2.03651	-0.0168947
2.04649	-0.017061
2.05647	-0.0172282
2.06645	-0.0173961
2.07644	-0.0175649
2.08642	-0.0177345
2.0964	-0.0179049
2.10638	-0.0180761
2.11636	-0.0182482
2.12635	-0.018421
2.13633	-0.0185947
2.14631	-0.0187692
2.15629	-0.0189445
2.16627	-0.0191207
2.17626	-0.0192976
2.18624	-0.0194754
2.19622	-0.019654
2.2062	-0.0198334
2.21618	-0.0200137
2.22617	-0.0201947
2.23615	-0.0203766
2.24613	-0.0205593
2.25611	-0.0207428
2.26609	-0.0209271
2.27608	-0.0211123
2.28606	-0.0212982
2.29604	-0.021485
2.30602	-0.0216726
2.316	-0.0218611
2.32599	-0.0220503
2.33597	-0.0222404
2.34595	-0.0224313
2.35593	-0.022623
2.36591	-0.0228156
2.3759	-0.0230089
2.38588	-0.0232031
2.39586	-0.0233981
2.40584	-0.0235939
2.41582	-0.0237905
2.42581	-0.023988
2.43579	-0.0241863
2.44577	-0.0243854
2.45575	-0.0245853
2.46573	-0.0247861
2.47572	-0.0249876
2.4857	-0.02519
2.49568	-0.0253932
2.50566	-0.0255973
2.51564	-0.0258021
2.52563	-0.0260078
2.53561	-0.0262143
2.54559	-0.0264216
2.55557	-0.0266297
2.56555	-0.0268387
2.57554	-0.0270485
2.58552	-0.0272591
2.5955	-0.0274705
2.60548	-0.0276828
2.61546	-0.0278959
2.62545	-0.0281098
2.63543	-0.0283245
2.64541	-0.02854
2.65539	-0.0287564
2.66537	-0.0289736
2.67536	-0.0291916
