Freq_GHz	Norm_dB_model_vE
2.75521	-0.0612132
2.76519	-0.0616602
2.77518	-0.0621088
2.78516	-0.0625591
2.79514	-0.0630111
2.80512	-0.0634647
2.8151	-0.0639199
2.82509	-0.0643768
2.83507	-0.0648353
2.84505	-0.0652955
2.85503	-0.0657574
2.86501	-0.0662209
2.87499	-0.0666861
2.88498	-0.0671529
2.89496	-0.0676213
2.90494	-0.0680914
2.91492	-0.0685632
2.9249	-0.0690367
2.93489	-0.0695117
2.94487	-0.0699885
2.95485	-0.0704669
2.96483	-0.0709469
2.97481	-0.0714286
2.9848	-0.071912
2.99478	-0.072397
3.00476	-0.0728837
3.01474	-0.0733721
3.02472	-0.0738621
3.03471	-0.0743537
3.04469	-0.0748471
3.05467	-0.075342
3.06465	-0.0758387
3.07463	-0.076337
3.08462	-0.076837
3.0946	-0.0773386
3.10458	-0.0778419
3.11456	-0.0783468
3.12454	-0.0788535
3.13453	-0.0793617
3.14451	-0.0798717
3.15449	-0.0803833
3.16447	-0.0808966
3.17445	-0.0814115
3.18444	-0.0819281
3.19442	-0.0824464
3.2044	-0.0829663
3.21438	-0.0834879
3.22436	-0.0840112
3.23435	-0.0845361
3.24433	-0.0850627
3.25431	-0.085591
3.26429	-0.0861209
3.27427	-0.0866525
3.28426	-0.0871858
3.29424	-0.0877208
3.30422	-0.0882574
3.3142	-0.0887957
3.32418	-0.0893356
3.33417	-0.0898773
3.34415	-0.0904206
3.35413	-0.0909655
3.36411	-0.0915122
3.37409	-0.0920605
3.38408	-0.0926105
3.39406	-0.0931622
3.40404	-0.0937155
3.41402	-0.0942705
3.424	-0.0948272
3.43399	-0.0953856
3.44397	-0.0959456
3.45395	-0.0965074
3.46393	-0.0970708
3.47391	-0.0976358
3.4839	-0.0982026
3.49388	-0.098771
3.50386	-0.0993412
3.51384	-0.0999129
3.52382	-0.100486
3.53381	-0.101062
3.54379	-0.101638
3.55377	-0.102217
3.56375	-0.102797
3.57373	-0.103379
3.58372	-0.103963
3.5937	-0.104548
3.60368	-0.105135
3.61366	-0.105723
3.62364	-0.106314
3.63363	-0.106906
3.64361	-0.107499
3.65359	-0.108095
3.66357	-0.108692
3.67355	-0.10929
3.68354	-0.109891
3.69352	-0.110493
3.7035	-0.111097
3.71348	-0.111702
3.72346	-0.112309
3.73345	-0.112918
3.74343	-0.113529
3.75341	-0.114141
3.76339	-0.114755
3.77337	-0.11537
3.78336	-0.115988
3.79334	-0.116607
3.80332	-0.117227
3.8133	-0.11785
3.82328	-0.118474
3.83327	-0.1191
3.84325	-0.119727
3.85323	-0.120356
3.86321	-0.120987
3.87319	-0.12162
3.88318	-0.122254
3.89316	-0.12289
3.90314	-0.123527
3.91312	-0.124167
3.9231	-0.124808
3.93309	-0.12545
3.94307	-0.126095
3.95305	-0.126741
3.96303	-0.127389
3.97301	-0.128038
3.983	-0.12869
3.99298	-0.129342
4.00296	-0.129997
4.01294	-0.130653
4.02292	-0.131311
4.03291	-0.131971
4.04289	-0.132633
4.05287	-0.133296
4.06285	-0.133961
4.07283	-0.134627
4.08282	-0.135295
4.0928	-0.135965
4.10278	-0.136637
4.11276	-0.13731
4.12274	-0.137986
4.13273	-0.138662
4.14271	-0.139341
4.15269	-0.140021
4.16267	-0.140703
4.17265	-0.141387
4.18264	-0.142072
4.19262	-0.142759
4.2026	-0.143448
4.21258	-0.144138
4.22256	-0.14483
4.23255	-0.145524
4.24253	-0.14622
4.25251	-0.146917
4.26249	-0.147616
4.27247	-0.148317
4.28246	-0.14902
4.29244	-0.149724
4.30242	-0.15043
4.3124	-0.151137
4.32238	-0.151847
4.33237	-0.152558
4.34235	-0.153271
4.35233	-0.153985
4.36231	-0.154701
4.37229	-0.155419
4.38228	-0.156139
4.39226	-0.15686
4.40224	-0.157583
4.41222	-0.158308
4.4222	-0.159035
4.43219	-0.159763
4.44217	-0.160493
4.45215	-0.161225
4.46213	-0.161958
4.47211	-0.162693
4.4821	-0.16343
4.49208	-0.164169
4.50206	-0.164909
4.51204	-0.165651
4.52202	-0.166395
4.53201	-0.167141
4.54199	-0.167888
4.55197	-0.168637
4.56195	-0.169388
4.57193	-0.17014
4.58192	-0.170894
4.5919	-0.17165
4.60188	-0.172408
4.61186	-0.173167
4.62184	-0.173929
4.63183	-0.174691
4.64181	-0.175456
4.65179	-0.176222
4.66177	-0.17699
4.67175	-0.17776
4.68174	-0.178532
4.69172	-0.179305
4.7017	-0.18008
4.71168	-0.180857
4.72166	-0.181635
4.73165	-0.182416
4.74163	-0.183197
4.75161	-0.183981
4.76159	-0.184767
4.77157	-0.185554
4.78156	-0.186343
4.79154	-0.187133
4.80152	-0.187926
4.8115	-0.18872
4.82148	-0.189516
4.83147	-0.190314
4.84145	-0.191113
4.85143	-0.191914
4.86141	-0.192717
4.87139	-0.193522
4.88138	-0.194328
4.89136	-0.195136
4.90134	-0.195946
4.91132	-0.196758
4.9213	-0.197571
4.93129	-0.198386
4.94127	-0.199203
4.95125	-0.200022
4.96123	-0.200842
4.97121	-0.201664
4.9812	-0.202488
4.99118	-0.203314
5.00116	-0.204141
5.01114	-0.204971
5.02112	-0.205802
5.03111	-0.206634
5.04109	-0.207469
5.05107	-0.208305
5.06105	-0.209143
5.07103	-0.209983
5.08102	-0.210824
5.091	-0.211667
5.10098	-0.212512
5.11096	-0.213359
5.12094	-0.214208
5.13093	-0.215058
5.14091	-0.21591
5.15089	-0.216764
5.16087	-0.217619
5.17085	-0.218477
5.18084	-0.219336
5.19082	-0.220197
5.2008	-0.221059
5.21078	-0.221924
5.22076	-0.22279
5.23075	-0.223658
5.24073	-0.224527
5.25071	-0.225399
5.26069	-0.226272
5.27067	-0.227147
5.28066	-0.228024
5.29064	-0.228903
5.30062	-0.229783
5.3106	-0.230665
5.32058	-0.231549
5.33057	-0.232434
5.34055	-0.233322
5.35053	-0.234211
5.36051	-0.235102
5.37049	-0.235995
5.38048	-0.236889
5.39046	-0.237786
5.40044	-0.238684
5.41042	-0.239584
5.4204	-0.240485
5.43039	-0.241389
5.44037	-0.242294
5.45035	-0.243201
5.46033	-0.24411
5.47031	-0.24502
5.4803	-0.245933
5.49028	-0.246847
5.50026	-0.247763
5.51024	-0.24868
5.52022	-0.2496
5.53021	-0.250521
5.54019	-0.251444
5.55017	-0.252369
5.56015	-0.253296
5.57013	-0.254224
5.58012	-0.255154
5.5901	-0.256086
5.60008	-0.25702
5.61006	-0.257955
5.62004	-0.258893
5.63003	-0.259832
5.64001	-0.260773
5.64999	-0.261716
5.65997	-0.26266
5.66995	-0.263607
5.67994	-0.264555
5.68992	-0.265505
5.6999	-0.266456
5.70988	-0.26741
5.71986	-0.268365
5.72985	-0.269322
5.73983	-0.270281
5.74981	-0.271242
5.75979	-0.272204
5.76977	-0.273169
5.77976	-0.274135
5.78974	-0.275103
5.79972	-0.276073
5.8097	-0.277044
5.81968	-0.278017
5.82967	-0.278992
5.83965	-0.279969
5.84963	-0.280948
5.85961	-0.281929
5.86959	-0.282911
5.87958	-0.283895
5.88956	-0.284881
5.89954	-0.285869
5.90952	-0.286859
5.9195	-0.28785
5.92949	-0.288843
5.93947	-0.289838
5.94945	-0.290835
5.95943	-0.291834
5.96941	-0.292834
5.9794	-0.293836
5.98938	-0.294841
5.99936	-0.295846
6.00934	-0.296854
6.01932	-0.297864
6.02931	-0.298875
6.03929	-0.299888
6.04927	-0.300903
6.05925	-0.30192
6.06923	-0.302939
6.07922	-0.303959
6.0892	-0.304981
6.09918	-0.306006
6.10916	-0.307031
6.11914	-0.308059
6.12913	-0.309089
6.13911	-0.31012
6.14909	-0.311153
6.15907	-0.312188
6.16905	-0.313225
6.17904	-0.314264
6.18902	-0.315305
6.199	-0.316347
6.20898	-0.317391
6.21896	-0.318437
6.22895	-0.319485
6.23893	-0.320535
6.24891	-0.321586
6.25889	-0.322639
6.26887	-0.323695
6.27886	-0.324752
6.28884	-0.32581
6.29882	-0.326871
6.3088	-0.327934
6.31878	-0.328998
6.32877	-0.330064
6.33875	-0.331132
6.34873	-0.332202
6.35871	-0.333274
6.36869	-0.334347
6.37868	-0.335423
6.38866	-0.3365
6.39864	-0.337579
6.40862	-0.33866
6.4186	-0.339742
6.42859	-0.340827
6.43857	-0.341913
6.44855	-0.343002
6.45853	-0.344092
6.46851	-0.345184
6.4785	-0.346278
6.48848	-0.347373
6.49846	-0.348471
6.50844	-0.34957
6.51842	-0.350671
6.52841	-0.351774
6.53839	-0.352879
6.54837	-0.353986
6.55835	-0.355095
6.56833	-0.356205
6.57832	-0.357317
6.5883	-0.358432
6.59828	-0.359548
6.60826	-0.360665
6.61824	-0.361785
6.62823	-0.362907
6.63821	-0.36403
6.64819	-0.365155
6.65817	-0.366283
6.66815	-0.367412
6.67814	-0.368542
6.68812	-0.369675
6.6981	-0.37081
6.70808	-0.371946
6.71806	-0.373085
6.72805	-0.374225
6.73803	-0.375367
6.74801	-0.376511
6.75799	-0.377656
6.76797	-0.378804
6.77796	-0.379954
6.78794	-0.381105
6.79792	-0.382258
6.8079	-0.383413
6.81788	-0.38457
6.82787	-0.385729
6.83785	-0.38689
6.84783	-0.388052
6.85781	-0.389217
6.86779	-0.390383
6.87778	-0.391551
6.88776	-0.392722
6.89774	-0.393893
6.90772	-0.395067
6.9177	-0.396243
6.92769	-0.397421
6.93767	-0.3986
6.94765	-0.399781
6.95763	-0.400965
6.96761	-0.40215
6.9776	-0.403337
6.98758	-0.404525
6.99756	-0.405716
7.00754	-0.406909
7.01752	-0.408103
7.02751	-0.4093
7.03749	-0.410498
7.04747	-0.411698
