

z(m), Y
9.78145e-07, 1.82697e+07
9.7845e-07, 1.82761e+07
9.8e-07, 1.82448e+07
9.80762e-07, 1.79871e+07
9.81246e-07, 1.76545e+07
9.81471e-07, 1.74914e+07
9.81584e-07, 1.74281e+07
9.82952e-07, 1.69439e+07
9.84486e-07, 1.60672e+07
9.84841e-07, 1.59022e+07
9.8502e-07, 1.57948e+07
9.87617e-07, 1.37875e+07
9.9181e-07, 1.15356e+07
9.9758e-07, 9.78082e+06
1.00856e-06, 6.16538e+06
1.01267e-06, 5.13356e+06
1.01615e-06, 4.33991e+06
1.02734e-06, 1.71259e+06
1.03151e-06, 1.29637e+06
1.04232e-06, 235903
1.04246e-06, 231713
1.04279e-06, 228199
1.05808e-06, 52471.5
1.06285e-06, 34373.2
1.07131e-06, 9825.91
1.08109e-06, 4072.4
1.08261e-06, 3151.92
1.0833e-06, 3027.18
1.09504e-06, 2027.66
1.10158e-06, 3676.8
1.10716e-06, 6557.33
1.11816e-06, 27514.6
1.12039e-06, 30603.6
1.12167e-06, 39365.7
1.1361e-06, 156375
1.14229e-06, 386251
1.14829e-06, 648804
1.16e-06, 1.0507e+06
1.17011e-06, 567696
1.17302e-06, 308930
1.18263e-06, 47566.2
1.18588e-06, 26165.6
1.19254e-06, 16760.3
1.19998e-06, 2263.21
1.20835e-06, 1192.59
1.21544e-06, 169.257
1.21941e-06, 119.413
1.23321e-06, 19.0893
1.23462e-06, 18.0282
1.24537e-06, 11.5631
1.2524e-06, 11.9373
1.2588e-06, 13.0855
1.27029e-06, 38.3183
1.27157e-06, 39.5276
1.27341e-06, 64.7073
1.28826e-06, 411.254
1.2926e-06, 980.06
1.30193e-06, 4984.97
1.30457e-06, 11257.3
1.3129e-06, 73506.7
1.31998e-06, 396026
1.32867e-06, 823632
1.34e-06, 1.5056e+06
1.34633e-06, 786318
1.35017e-06, 495878
1.35587e-06, 283577
1.36068e-06, 22972.3
1.36544e-06, 11898.7
1.38081e-06, 1929.33
1.38225e-06, 472.675
1.38256e-06, 308.05
1.38279e-06, 293.471
1.39218e-06, 9.46622
1.39498e-06, 7.59613
1.40323e-06, 5.94778
1.40514e-06, 6.29214
1.41125e-06, 30.2606
1.41493e-06, 43.0523
1.4164e-06, 168.536
1.42957e-06, 1372.26
1.43505e-06, 12672.5
1.44327e-06, 30521.9
1.44743e-06, 155263
1.45152e-06, 445890
1.45419e-06, 1.37926e+06
1.45596e-06, 2.73971e+06
1.45722e-06, 4.90878e+06
1.45814e-06, 1.1547e+07
1.45846e-06, 1.41371e+07
1.46e-06, 3.30448e+07
1.46103e-06, 5.74305e+07
1.4614e-06, 5.0756e+07
1.46222e-06, 4.27806e+07
1.46335e-06, 3.55866e+07
1.46444e-06, 2.5206e+07
1.46556e-06, 1.43297e+07
1.4675e-06, 7.66104e+06
1.475e-06, 7.54339e+06
1.49e-06, 7.78094e+06
1.50457e-06, 5.75079e+06
1.50834e-06, 3.62465e+06
1.51334e-06, 2.29247e+06
1.5196e-06, 171279
1.52789e-06, 43942.4
1.53059e-06, 11589
1.53893e-06, 1512.52
1.54051e-06, 534.317
1.54088e-06, 1142.91
1.54796e-06, 18108.3
1.55651e-06, 280668
1.55994e-06, 351463
1.56394e-06, 1.04441e+06
1.57507e-06, 8.09241e+06
1.57844e-06, 1.48291e+07
1.59e-06, 1.31512e+07
1.6014e-06, 208882
1.6068e-06, 91881.8
1.6153e-06, 60949.8
1.62398e-06, 191.457
1.62703e-06, 107.314
1.62935e-06, 70.4953
1.64e-06, 1.51125



