

z(m), Y
-1e-06, 1939
-1e-06, 1939
-9.69475e-07, 5121.16
-9.54213e-07, 6729.74
-9.38785e-07, 11459.9
-9.19482e-07, 16561.1
-8.52358e-07, 28879.4
-8.36531e-07, 32255.1
-8.13962e-07, 36315.4
-7.18942e-07, 55547.2
-6.08614e-07, 73806.3
-5.19185e-07, 92037
-4.48975e-07, 118581
-3.7773e-07, 168050
-3.41113e-07, 191292
-3.13437e-07, 231612
-2.66724e-07, 294904
-2.38919e-07, 386251
-2.27394e-07, 411225
-1.80441e-07, 566131
-1.75189e-07, 583980
-1.46346e-07, 1.0574e+06
-1.46119e-07, 1.06075e+06
-1.45844e-07, 1.07124e+06
-1.23832e-07, 1.80196e+06
-1.15979e-07, 2.42598e+06
-1.11696e-07, 3.11556e+06
-1.07957e-07, 4.0251e+06
-1.05313e-07, 5.78909e+06
-1.0496e-07, 6.14906e+06
-1.02708e-07, 8.75779e+06
-1e-07, 3.92095e+06
-9.79847e-08, 3.257e+06
-9.61518e-08, 1.87373e+06
-9.44663e-08, 1.37447e+06
-9.17402e-08, 695903
-8.79231e-08, 408724
-8.47946e-08, 147530
-8.00249e-08, 81464.2
-7.21443e-08, 16784.3
-6.61254e-08, 8984.46
-5.18778e-08, 2126.5
-4.46113e-08, 4411.21
-3.39584e-08, 18555.5
-2.36875e-08, 60892.2
-1.59082e-08, 555583
-1.32903e-08, 827290
-1.05879e-22, 2.42283e+06
1.42789e-08, 2.21333e+06
1.69698e-08, 1.86138e+06
2.52804e-08, 999940
3.37486e-08, 680306
6.56121e-08, 337557
7.45856e-08, 234739
7.74942e-08, 207481
7.97723e-08, 201155
8.42034e-08, 205677
1.33317e-07, 177791
1.65449e-07, 246078
2.74551e-07, 682868
3.07866e-07, 943186
3.5222e-07, 1.70426e+06
3.70171e-07, 2.00012e+06
3.78636e-07, 2.21053e+06
4.06252e-07, 2.83523e+06
4.09322e-07, 2.89875e+06
4.15557e-07, 3.04621e+06
4.24811e-07, 3.2592e+06
4.31375e-07, 3.4159e+06
4.34811e-07, 3.48308e+06
4.4e-07, 3.67648e+06
4.52717e-07, 3.87239e+06
4.59801e-07, 4.10932e+06
4.64418e-07, 4.28869e+06
4.66782e-07, 4.36913e+06
4.81848e-07, 4.93127e+06
4.95177e-07, 5.44548e+06
5.02189e-07, 5.6097e+06
5.60882e-07, 6.55455e+06
6.18813e-07, 7.18416e+06
6.57663e-07, 7.87758e+06
6.77908e-07, 8.51496e+06
7.00292e-07, 9.00953e+06
7.11258e-07, 9.28699e+06
7.21002e-07, 9.64237e+06
7.24194e-07, 9.74347e+06
7.27462e-07, 9.84047e+06
7.31638e-07, 9.96938e+06
7.34639e-07, 1.01442e+07
7.4e-07, 1.12e+07
7.5012e-07, 1.30403e+07
7.53161e-07, 1.419e+07
7.62776e-07, 1.67078e+07
7.66925e-07, 1.74179e+07
7.7654e-07, 1.99357e+07
7.78818e-07, 2.07665e+07
7.9e-07, 2.32497e+07
8.05e-07, 2.45367e+07
8.2e-07, 2.21879e+07
8.28842e-07, 1.75195e+07
8.34369e-07, 1.75678e+07
8.39422e-07, 1.76171e+07
8.45049e-07, 1.76842e+07
8.48813e-07, 1.773e+07
8.52577e-07, 1.77625e+07
8.58066e-07, 1.78282e+07
8.66668e-07, 1.79069e+07
8.67699e-07, 1.79153e+07
8.69157e-07, 1.79322e+07
8.76388e-07, 1.80118e+07
8.78438e-07, 1.80402e+07
8.85451e-07, 1.81119e+07
8.87698e-07, 1.81345e+07
8.89035e-07, 1.81495e+07
8.97036e-07, 1.82284e+07
9.00964e-07, 1.82677e+07
9.06774e-07, 1.83205e+07
9.11995e-07, 1.83875e+07
9.14456e-07, 1.84176e+07
9.16244e-07, 1.84472e+07
9.21222e-07, 1.85066e+07
9.29232e-07, 1.85636e+07
9.31018e-07, 1.8577e+07
9.33084e-07, 1.85952e+07
9.40934e-07, 1.86782e+07
9.48882e-07, 1.87725e+07
9.49783e-07, 1.87838e+07
9.50346e-07, 1.87891e+07
9.59399e-07, 1.88714e+07
9.64043e-07, 1.89312e+07
9.66672e-07, 1.89523e+07
9.73822e-07, 1.90082e+07
9.74406e-07, 1.90164e+07
9.74904e-07, 1.90272e+07
9.77256e-07, 1.90698e+07
9.78145e-07, 1.90887e+07
9.78617e-07, 1.90985e+07
9.8e-07, 1.90572e+07
9.80762e-07, 1.88123e+07
9.81246e-07, 1.84816e+07
9.81471e-07, 1.83195e+07
9.81584e-07, 1.82564e+07
9.82952e-07, 1.7774e+07
9.84486e-07, 1.69e+07
9.84841e-07, 1.67354e+07
9.8502e-07, 1.66278e+07
9.87617e-07, 1.46587e+07
9.9181e-07, 1.34499e+07
9.9758e-07, 1.17317e+07
1.00283e-06, 9.48359e+06
1.01023e-06, 6.74292e+06
1.01267e-06, 5.8869e+06
1.01407e-06, 5.36686e+06
1.02176e-06, 2.75658e+06
1.02734e-06, 1.74206e+06
1.03219e-06, 1.0218e+06
1.03509e-06, 706296
1.04211e-06, 274388
1.04239e-06, 258182
1.04255e-06, 254864
1.05289e-06, 95372.7
1.05808e-06, 56180.1
1.06267e-06, 26545.7
1.06844e-06, 15356.3
1.07278e-06, 9480.22
1.07662e-06, 5324.47
1.08241e-06, 2580.12
1.0833e-06, 2367.96
1.08987e-06, 1445.77
1.09345e-06, 1435.45
1.097e-06, 1742.07
