Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	0.60876352	0.0058435454	0.59999951	-0.00074810097	-4.3106275	-4.4369753
2.0995e+08	0.61283463	-0.016742642	0.59978538	-0.015704515	-4.2498937	-4.4371061
4.099e+08	0.61125879	-0.034458773	0.59918206	-0.03065076	-4.2617178	-4.4374744
6.0985e+08	0.61041672	-0.051791752	0.59818992	-0.045577157	-4.256319	-4.4380795
8.098e+08	0.60875982	-0.069383228	0.59680959	-0.060474037	-4.2550278	-4.4389201
1.00975e+09	0.60606139	-0.085316652	0.59504194	-0.07533175	-4.2644458	-4.4399945
1.2097e+09	0.60366307	-0.10238363	0.59288808	-0.090140668	-4.2609439	-4.4413006
1.40965e+09	0.60116984	-0.11853851	0.59034935	-0.10489119	-4.2544031	-4.4428356
1.6096e+09	0.59707539	-0.13616969	0.58742736	-0.11957376	-4.2592101	-4.4445964
1.80955e+09	0.59311857	-0.15295003	0.58412395	-0.13417883	-4.2575645	-4.4465794
2.0095e+09	0.58846725	-0.16922909	0.58044118	-0.14869694	-4.2604728	-4.4487803
2.20945e+09	0.58307152	-0.18569039	0.5763814	-0.16311865	-4.2660232	-4.4511947
2.4094e+09	0.57722616	-0.20009491	0.57194715	-0.17743459	-4.2802577	-4.4538175
2.60935e+09	0.57308977	-0.21607432	0.56714125	-0.19163545	-4.2582979	-4.4566431
2.8093e+09	0.56584363	-0.23117567	0.56196672	-0.20571199	-4.2756848	-4.4596655
3.00925e+09	0.56065283	-0.24665767	0.55642687	-0.21965504	-4.2577004	-4.4628782
3.2092e+09	0.55270748	-0.26160606	0.55052519	-0.23345551	-4.2721748	-4.4662743
3.40915e+09	0.5470366	-0.27645756	0.54426545	-0.24710441	-4.2518444	-4.4698465
3.6091e+09	0.53904068	-0.29295828	0.53765163	-0.26059283	-4.2436261	-4.4735867
3.80905e+09	0.52982236	-0.30674486	0.53068795	-0.27391196	-4.2619562	-4.4774868
4.009e+09	0.52212363	-0.32203651	0.52337887	-0.2870531	-4.2444201	-4.481538
4.20895e+09	0.51311242	-0.3354453	0.51572906	-0.30000766	-4.2503409	-4.4857311
4.4089e+09	0.50444795	-0.34995307	0.50774343	-0.31276716	-4.2373366	-4.4900565
4.60885e+09	0.49383468	-0.36298699	0.49942713	-0.32532326	-4.2523713	-4.4945042
4.8088e+09	0.48580833	-0.37670615	0.4907855	-0.33766774	-4.2260327	-4.4990636
5.00875e+09	0.47570996	-0.38961199	0.48182412	-0.34979251	-4.2239623	-4.5037239
5.2087e+09	0.46586239	-0.40224418	0.47254879	-0.36168965	-4.2155776	-4.5084738
5.40865e+09	0.45446067	-0.41559312	0.46296553	-0.37335136	-4.2107196	-4.5133017
5.6086e+09	0.44354648	-0.42787256	0.45308055	-0.38477002	-4.2043543	-4.5181955
5.80855e+09	0.43329379	-0.44014847	0.44290028	-0.39593815	-4.1853485	-4.5231428
6.0085e+09	0.42005768	-0.45069206	0.43243137	-0.40684846	-4.2070608	-4.5281309
6.20845e+09	0.40925926	-0.46225001	0.42168064	-0.41749383	-4.1888332	-4.5331465
6.4084e+09	0.39559052	-0.47365822	0.41065514	-0.42786732	-4.1925292	-4.5381764
6.60835e+09	0.38565939	-0.48394305	0.39936208	-0.43796218	-4.1687603	-4.5432068
6.8083e+09	0.37067689	-0.49429184	0.3878089	-0.44777186	-4.1824851	-4.5482235
7.00825e+09	0.3590234	-0.5037331	0.37600317	-0.45729	-4.1720414	-4.5532124
7.2082e+09	0.34626296	-0.51408176	0.36395268	-0.46651046	-4.1546741	-4.5581588
7.40815e+09	0.33170833	-0.5231474	0.35166537	-0.47542731	-4.1599278	-4.5630478
7.6081e+09	0.31860803	-0.53189484	0.33914937	-0.48403485	-4.1519041	-4.5678646
7.80805e+09	0.30408088	-0.53985013	0.32641294	-0.49232759	-4.1577811	-4.5725938
8.008e+09	0.29141941	-0.54762756	0.31346451	-0.50030027	-4.1474099	-4.57722
8.20795e+09	0.27648128	-0.55609376	0.30031267	-0.5079479	-4.1377044	-4.5817277
8.4079e+09	0.26325151	-0.56262568	0.28696613	-0.51526569	-4.1358261	-4.5861013
8.60785e+09	0.24812453	-0.57094588	0.27343374	-0.52224913	-4.1167789	-4.5903249
8.8078e+09	0.23339524	-0.57638812	0.25972449	-0.52889395	-4.1262965	-4.5943827
9.00775e+09	0.21916697	-0.58341097	0.24584746	-0.53519615	-4.1071796	-4.5982588
9.2077e+09	0.20491707	-0.58848543	0.23181188	-0.54115198	-4.1082578	-4.6019372
9.40765e+09	0.19013795	-0.59454697	0.21762706	-0.54675796	-4.0933809	-4.6054023
9.6076e+09	0.17542666	-0.59931467	0.20330239	-0.55201089	-4.0898819	-4.6086379
9.80755e+09	0.1598435	-0.60270081	0.18884738	-0.55690785	-4.1027575	-4.6116285
1.00075e+10	0.14610671	-0.609214	0.1742716	-0.56144617	-4.0617266	-4.6143583
1.02075e+10	0.1306794	-0.61029691	0.15958099	-0.56562449	-4.0944858	-4.6168124
1.04074e+10	0.11547399	-0.61580264	0.14479631	-0.56943774	-4.0610819	-4.6189738
1.06074e+10	0.099155653	-0.61714764	0.12991251	-0.57288792	-4.081532	-4.6208293
1.08073e+10	0.086029368	-0.62174177	0.11495427	-0.5759701	-4.0454359	-4.6223624
1.10073e+10	0.069863155	-0.62370764	0.09991644	-0.57868615	-4.0462275	-4.6235598
1.12072e+10	0.055566031	-0.62511152	0.084823883	-0.58103242	-4.0466695	-4.624406
1.14072e+10	0.039444114	-0.62678267	0.06967135	-0.58301064	-4.0404949	-4.6248879
1.16071e+10	0.022764104	-0.62790291	0.054483836	-0.58461851	-4.0364456	-4.6249914
1.18071e+10	0.0104741	-0.63065326	0.039255984	-0.58585759	-4.0029893	-4.6247034
1.2007e+10	-0.0080581839	-0.63024175	0.024012833	-0.58672692	-4.0091467	-4.6240113
1.2207e+10	-0.018768814	-0.63132817	0.0087489176	-0.58722792	-3.99106	-4.6229021
