Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	-0.13436305	-0.0051879412	-0.13636369	-2.6169093e-05	-17.427933	-17.306025
2.0995e+08	-0.13565401	-0.0014987813	-0.13638731	-0.00054926706	-17.350817	-17.30445
4.099e+08	-0.13635279	-0.0033223178	-0.13645387	-0.0010715302	-17.304142	-17.300015
6.0985e+08	-0.13638339	-0.004723552	-0.13656334	-0.0015921637	-17.299564	-17.292727
8.098e+08	-0.13641758	-0.0069361345	-0.1367157	-0.002110373	-17.29138	-17.282598
1.00975e+09	-0.13645808	-0.0080209454	-0.1369109	-0.0026253639	-17.285036	-17.269643
1.2097e+09	-0.13643224	-0.010182436	-0.13714888	-0.0031363432	-17.277536	-17.253884
1.40965e+09	-0.13733764	-0.011191237	-0.13742957	-0.0036425182	-17.215466	-17.235346
1.6096e+09	-0.13723474	-0.012975813	-0.1377529	-0.0041430971	-17.212065	-17.214058
1.80955e+09	-0.13822271	-0.01497669	-0.13811876	-0.0046372896	-17.137722	-17.190054
2.0095e+09	-0.13866677	-0.016448051	-0.13852705	-0.0051243064	-17.099874	-17.16337
2.20945e+09	-0.13870868	-0.017792245	-0.13897764	-0.0056033596	-17.087053	-17.134047
2.4094e+09	-0.13968132	-0.019799412	-0.13947041	-0.0060736631	-17.010839	-17.10213
2.60935e+09	-0.14001165	-0.021553907	-0.1400052	-0.0065344325	-16.974995	-17.067666
2.8093e+09	-0.14111482	-0.023088106	-0.14058186	-0.0069848854	-16.89382	-17.030706
3.00925e+09	-0.14105664	-0.024371709	-0.14120023	-0.0074242414	-16.884378	-16.991302
3.2092e+09	-0.1429497	-0.025842044	-0.1418601	-0.0078517223	-16.756676	-16.949511
3.40915e+09	-0.14308059	-0.027560516	-0.1425613	-0.0082665527	-16.730165	-16.905389
3.6091e+09	-0.14387719	-0.029327903	-0.14330361	-0.0086679594	-16.663357	-16.858997
3.80905e+09	-0.14500144	-0.030461562	-0.1440868	-0.0090551723	-16.584997	-16.810397
