Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
3.66009e+10	-0.41578031	0.53459632	-0.43982778	0.44610667	-3.3850298	-4.0620501
3.68008e+10	-0.41252473	0.55226991	-0.43751978	0.45250506	-3.2314303	-4.0210264
3.70008e+10	-0.40057951	0.55498813	-0.43514086	0.45886262	-3.2931287	-3.9804591
3.72007e+10	-0.39895239	0.56342959	-0.43269462	0.46517212	-3.2183146	-3.9403837
3.74007e+10	-0.38729284	0.57259857	-0.43017984	0.47143905	-3.206949	-3.9007549
3.76006e+10	-0.37770638	0.57173985	-0.42760027	0.47765635	-3.2831948	-3.8616074
3.78006e+10	-0.37521135	0.59271272	-0.42495457	0.48382947	-3.0795376	-3.8228969
3.80005e+10	-0.36469062	0.58913606	-0.42224664	0.48995152	-3.1868589	-3.7846571
3.82005e+10	-0.35985202	0.60538262	-0.419475	0.49602793	-3.0453444	-3.7468448
3.84004e+10	-0.35150467	0.60641274	-0.41664367	0.50205196	-3.0866036	-3.7094928
3.86004e+10	-0.34677826	0.60769343	-0.41375106	0.508029	-3.1020608	-3.672559
3.88003e+10	-0.32920714	0.62511842	-0.41080131	0.51395249	-3.0176859	-3.6360752
3.90003e+10	-0.33439389	0.6193792	-0.40779272	0.51982776	-3.0500028	-3.6000002
3.92002e+10	-0.30431652	0.6398302	-0.40472953	0.52564843	-2.9930387	-3.5643653
3.94002e+10	-0.30991345	0.63519698	-0.40160992	0.53141979	-3.0144577	-3.52913
3.96001e+10	-0.29208149	0.64167929	-0.39843824	0.5371356	-3.0358777	-3.4943248
3.98001e+10	-0.28517925	0.65099428	-0.39521255	0.54280113	-2.9660478	-3.4599101
4e+10	-0.27554367	0.65072288	-0.39193731	0.5484103	-3.0158226	-3.4259158
