Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-4.38426	0.410593	-4.43698	-0.0784051
0.20995	-4.3351	-1.81169	-4.43713	-1.64613
0.4099	-4.34303	-3.68655	-4.43757	-3.21395
0.60985	-4.34598	-5.51185	-4.4383	-4.78194
0.8098	-4.33828	-7.34404	-4.4393	-6.35019
1.00975	-4.34746	-9.10872	-4.44058	-7.91878
1.2097	-4.34483	-10.8986	-4.44214	-9.48779
1.40965	-4.33475	-12.6844	-4.44397	-11.0573
1.6096	-4.33846	-14.5381	-4.44607	-12.6274
1.80955	-4.3383	-16.373	-4.44843	-14.1982
2.0095	-4.33936	-18.1576	-4.45105	-15.7697
2.20945	-4.34219	-19.9951	-4.45392	-17.342
2.4094	-4.35161	-21.6719	-4.45703	-18.9152
2.60935	-4.32757	-23.3807	-4.46037	-20.4894
2.8093	-4.34489	-25.1597	-4.46395	-22.0646
3.00925	-4.32278	-26.8703	-4.46774	-23.6409
3.2092	-4.32405	-28.6399	-4.47173	-25.2183
3.40915	-4.30173	-30.36	-4.47593	-26.797
3.6091	-4.29784	-32.2615	-4.48031	-28.3769
3.80905	-4.31212	-33.9871	-4.48487	-29.9581
4.009	-4.28939	-35.7836	-4.48959	-31.5406
4.20895	-4.29379	-37.4593	-4.49446	-33.1246
4.4089	-4.27444	-39.216	-4.49947	-34.71
4.60885	-4.28392	-40.9908	-4.5046	-36.2968
4.8088	-4.25483	-42.6327	-4.50984	-37.8852
5.00875	-4.24466	-44.3729	-4.51517	-39.475
5.2087	-4.23655	-46.0061	-4.52059	-41.0664
5.40865	-4.22601	-47.8222	-4.52606	-42.6593
5.6086	-4.21854	-49.5234	-4.53158	-44.2537
5.80855	-4.19134	-51.1467	-4.53713	-45.8497
6.0085	-4.20833	-52.9091	-4.54269	-47.4472
6.20845	-4.18144	-54.5273	-4.54824	-49.0463
6.4084	-4.18267	-56.3388	-4.55378	-50.6468
6.60835	-4.15991	-57.8193	-4.55926	-52.2488
6.8083	-4.1631	-59.6741	-4.56469	-53.8522
7.00825	-4.14763	-61.2141	-4.57004	-55.4571
7.2082	-4.12935	-62.9043	-4.57529	-57.0632
7.40815	-4.12423	-64.5966	-4.58042	-58.6707
7.6081	-4.11342	-66.2316	-4.58541	-60.2794
7.80805	-4.10643	-67.9146	-4.59024	-61.8892
8.008	-4.09203	-69.3998	-4.5949	-63.5001
8.20795	-4.07963	-71.1652	-4.59936	-65.112
8.4079	-4.07071	-72.674	-4.6036	-66.7248
8.60785	-4.04025	-74.368	-4.60761	-68.3384
8.8078	-4.04573	-75.957	-4.61135	-69.9527
9.00775	-4.01675	-77.5244	-4.61482	-71.5676
9.2077	-4.01634	-79.061	-4.618	-73.1829
9.40765	-3.99673	-80.6499	-4.62086	-74.7985
9.6076	-3.98656	-82.232	-4.62338	-76.4143
9.80755	-3.99164	-83.7852	-4.62555	-78.0302
10.0075	-3.94597	-85.2677	-4.62735	-79.646
10.2074	-3.97223	-86.8195	-4.62876	-81.2614
10.4074	-3.93589	-88.3456	-4.62977	-82.8765
10.6074	-3.94952	-89.9553	-4.63035	-84.4909
10.8073	-3.91073	-91.3076	-4.63049	-86.1045
11.0073	-3.90732	-92.9213	-4.63017	-87.7172
11.2072	-3.89903	-94.3114	-4.62938	-89.3287
11.4071	-3.8853	-95.8978	-4.62811	-90.9389
11.6071	-3.87182	-97.5342	-4.62633	-92.5475
11.8071	-3.83694	-98.7384	-4.62404	-94.1543
12.007	-3.83284	-100.479	-4.62123	-95.7592
12.207	-3.82018	-101.598	-4.61788	-97.3618
12.4069	-3.79028	-103.484	-4.61398	-98.9621
12.6068	-3.78375	-104.377	-4.60952	-100.56
12.8068	-3.77234	-106.386	-4.6045	-102.154
13.0068	-3.75077	-107.615	-4.5989	-103.746
13.2067	-3.74178	-109.201	-4.59273	-105.335
13.4067	-3.71705	-110.605	-4.58596	-106.919
13.6066	-3.7224	-111.934	-4.5786	-108.5
13.8065	-3.69875	-113.526	-4.57064	-110.077
14.0065	-3.70705	-114.74	-4.56208	-111.65
14.2065	-3.66009	-116.341	-4.55293	-113.219
14.4064	-3.67188	-117.562	-4.54316	-114.782
14.6064	-3.63205	-119.066	-4.53279	-116.341
14.8063	-3.65225	-120.491	-4.52182	-117.894
15.0062	-3.61469	-121.912	-4.51025	-119.442
15.2062	-3.60241	-123.363	-4.49808	-120.985
15.4062	-3.58175	-124.608	-4.48531	-122.522
15.6061	-3.58097	-126.121	-4.47196	-124.052
15.8061	-3.57965	-127.453	-4.45802	-125.576
16.006	-3.54287	-128.821	-4.4435	-127.094
16.206	-3.55647	-130.119	-4.4284	-128.605
16.4059	-3.51018	-131.53	-4.41275	-130.109
16.6059	-3.52746	-132.77	-4.39653	-131.606
16.8058	-3.5084	-134.14	-4.37978	-133.096
17.0057	-3.49211	-135.576	-4.36248	-134.578
17.2057	-3.47313	-136.777	-4.34467	-136.052
17.4057	-3.45305	-138.001	-4.32633	-137.518
17.6056	-3.4828	-139.348	-4.3075	-138.977
17.8056	-3.44306	-140.698	-4.28818	-140.427
18.0055	-3.44872	-141.958	-4.26838	-141.869
18.2054	-3.42848	-143.103	-4.24813	-143.302
18.4054	-3.42792	-144.543	-4.22742	-144.727
18.6054	-3.40756	-145.729	-4.20628	-146.142
18.8053	-3.37702	-147.004	-4.18472	-147.549
19.0053	-3.3955	-148.196	-4.16275	-148.947
19.2052	-3.35917	-149.454	-4.1404	-150.335
19.4051	-3.35997	-150.873	-4.11767	-151.715
19.6051	-3.33584	-151.811	-4.09459	-153.084
19.8051	-3.32465	-153.392	-4.07116	-154.445
20.005	-3.31278	-154.2	-4.04741	-155.795
20.205	-3.31341	-155.785	-4.02334	-157.136
20.4049	-3.30036	-156.748	-3.99898	-158.467
20.6048	-3.287	-158.078	-3.97435	-159.788
20.8048	-3.27517	-159.228	-3.94944	-161.1
21.0048	-3.29718	-160.43	-3.9243	-162.401
21.2047	-3.2564	-161.899	-3.89892	-163.692
21.4047	-3.26526	-162.96	-3.87332	-164.973
21.6046	-3.19212	-163.98	-3.84753	-166.244
21.8045	-3.28921	-165.35	-3.82155	-167.505
22.0045	-3.19376	-166.587	-3.7954	-168.756
22.2045	-3.25626	-167.872	-3.76909	-169.997
22.4044	-3.18135	-168.732	-3.74264	-171.227
22.6044	-3.2394	-170.35	-3.71607	-172.447
22.8043	-3.1896	-170.992	-3.68939	-173.657
