Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-7.30607
0.109977	-8.66303e-06	-7.30608
0.119955	-1.81494e-05	-7.30609
0.129932	-2.8459e-05	-7.3061
0.13991	-3.9592e-05	-7.30611
0.149887	-5.15483e-05	-7.30612
0.159865	-6.43279e-05	-7.30613
0.169842	-7.79308e-05	-7.30615
0.17982	-9.23571e-05	-7.30616
0.189797	-0.000107607	-7.30618
0.199775	-0.00012368	-7.30619
0.209752	-0.000140576	-7.30621
0.21973	-0.000158296	-7.30623
0.229707	-0.000176839	-7.30625
0.239685	-0.000196206	-7.30627
0.249662	-0.000216396	-7.30629
0.25964	-0.000237409	-7.30631
0.269617	-0.000259246	-7.30633
0.279595	-0.000281906	-7.30635
0.289572	-0.00030539	-7.30638
0.29955	-0.000329697	-7.3064
0.309527	-0.000354828	-7.30642
0.319505	-0.000380782	-7.30645
0.329482	-0.00040756	-7.30648
0.33946	-0.000435161	-7.30651
0.349437	-0.000463586	-7.30653
0.359415	-0.000492835	-7.30656
0.369392	-0.000522907	-7.30659
0.37937	-0.000553803	-7.30662
0.389347	-0.000585522	-7.30666
0.399325	-0.000618065	-7.30669
0.409302	-0.000651432	-7.30672
0.41928	-0.000685622	-7.30676
0.429257	-0.000720636	-7.30679
0.439235	-0.000756474	-7.30683
0.449212	-0.000793135	-7.30686
0.45919	-0.000830621	-7.3069
0.469167	-0.00086893	-7.30694
0.479145	-0.000908063	-7.30698
0.489122	-0.00094802	-7.30702
0.4991	-0.0009888	-7.30706
0.509077	-0.00103041	-7.3071
0.519055	-0.00107283	-7.30714
0.529032	-0.00111609	-7.30719
0.53901	-0.00116016	-7.30723
0.548987	-0.00120506	-7.30727
0.558965	-0.00125079	-7.30732
0.568942	-0.00129734	-7.30737
0.57892	-0.00134471	-7.30741
0.588897	-0.00139291	-7.30746
0.598875	-0.00144193	-7.30751
0.608852	-0.00149177	-7.30756
0.61883	-0.00154244	-7.30761
0.628807	-0.00159393	-7.30766
0.638785	-0.00164625	-7.30772
0.648762	-0.00169939	-7.30777
0.65874	-0.00175336	-7.30782
0.668717	-0.00180815	-7.30788
0.678695	-0.00186377	-7.30793
