Freq_GHz	Model_Norm_dB	Model_dBm_5mA
1.83608	-0.00632124	-9.34152
1.84606	-0.00639054	-9.34159
1.85604	-0.00646023	-9.34166
1.86602	-0.00653029	-9.34173
1.87599	-0.00660074	-9.3418
1.88597	-0.00667156	-9.34187
1.89595	-0.00674276	-9.34194
1.90593	-0.00681435	-9.34201
1.9159	-0.00688632	-9.34209
1.92588	-0.00695866	-9.34216
1.93586	-0.00703139	-9.34223
1.94584	-0.0071045	-9.3423
1.95581	-0.00717799	-9.34238
1.96579	-0.00725186	-9.34245
1.97577	-0.00732611	-9.34253
1.98575	-0.00740074	-9.3426
1.99572	-0.00747576	-9.34268
2.0057	-0.00755115	-9.34275
2.01568	-0.00762693	-9.34283
2.02566	-0.00770309	-9.3429
2.03563	-0.00777963	-9.34298
2.04561	-0.00785655	-9.34306
2.05559	-0.00793385	-9.34313
2.06557	-0.00801154	-9.34321
2.07554	-0.0080896	-9.34329
2.08552	-0.00816805	-9.34337
2.0955	-0.00824688	-9.34345
2.10548	-0.0083261	-9.34353
2.11545	-0.00840569	-9.34361
2.12543	-0.00848567	-9.34369
2.13541	-0.00856603	-9.34377
2.14539	-0.00864677	-9.34385
2.15536	-0.0087279	-9.34393
2.16534	-0.00880941	-9.34401
2.17532	-0.0088913	-9.34409
2.1853	-0.00897357	-9.34417
2.19527	-0.00905623	-9.34426
2.20525	-0.00913927	-9.34434
2.21523	-0.00922269	-9.34442
2.22521	-0.0093065	-9.34451
2.23518	-0.00939069	-9.34459
2.24516	-0.00947526	-9.34468
2.25514	-0.00956022	-9.34476
2.26512	-0.00964556	-9.34485
2.27509	-0.00973128	-9.34493
2.28507	-0.00981739	-9.34502
2.29505	-0.00990388	-9.3451
2.30503	-0.00999075	-9.34519
2.315	-0.010078	-9.34528
2.32498	-0.0101657	-9.34537
2.33496	-0.0102537	-9.34545
2.34494	-0.0103421	-9.34554
2.35491	-0.0104309	-9.34563
2.36489	-0.0105201	-9.34572
2.37487	-0.0106096	-9.34581
2.38485	-0.0106996	-9.3459
2.39482	-0.0107899	-9.34599
2.4048	-0.0108806	-9.34608
2.41478	-0.0109717	-9.34617
2.42476	-0.0110632	-9.34626
2.43473	-0.0111551	-9.34636
2.44471	-0.0112474	-9.34645
2.45469	-0.01134	-9.34654
2.46467	-0.011433	-9.34663
2.47464	-0.0115265	-9.34673
2.48462	-0.0116203	-9.34682
2.4946	-0.0117145	-9.34691
2.50458	-0.011809	-9.34701
2.51455	-0.011904	-9.3471
2.52453	-0.0119993	-9.3472
2.53451	-0.0120951	-9.3473
2.54449	-0.0121912	-9.34739
2.55446	-0.0122877	-9.34749
2.56444	-0.0123846	-9.34758
2.57442	-0.0124819	-9.34768
2.5844	-0.0125795	-9.34778
2.59437	-0.0126776	-9.34788
2.60435	-0.012776	-9.34798
2.61433	-0.0128748	-9.34807
2.62431	-0.0129741	-9.34817
2.63428	-0.0130737	-9.34827
2.64426	-0.0131736	-9.34837
2.65424	-0.013274	-9.34847
2.66422	-0.0133748	-9.34857
2.67419	-0.0134759	-9.34868
2.68417	-0.0135775	-9.34878
2.69415	-0.0136794	-9.34888
2.70413	-0.0137817	-9.34898
2.7141	-0.0138844	-9.34908
2.72408	-0.0139875	-9.34919
2.73406	-0.014091	-9.34929
2.74404	-0.0141948	-9.34939
2.75401	-0.0142991	-9.3495
2.76399	-0.0144037	-9.3496
2.77397	-0.0145088	-9.34971
2.78395	-0.0146142	-9.34981
2.79392	-0.01472	-9.34992
2.8039	-0.0148262	-9.35003
2.81388	-0.0149328	-9.35013
2.82386	-0.0150398	-9.35024
2.83383	-0.0151471	-9.35035
2.84381	-0.0152549	-9.35045
2.85379	-0.015363	-9.35056
2.86377	-0.0154716	-9.35067
2.87374	-0.0155805	-9.35078
2.88372	-0.0156898	-9.35089
2.8937	-0.0157995	-9.351
2.90368	-0.0159096	-9.35111
2.91365	-0.0160201	-9.35122
2.92363	-0.016131	-9.35133
2.93361	-0.0162423	-9.35144
2.94359	-0.0163539	-9.35155
2.95356	-0.016466	-9.35167
2.96354	-0.0165784	-9.35178
2.97352	-0.0166912	-9.35189
2.9835	-0.0168045	-9.352
2.99347	-0.0169181	-9.35212
3.00345	-0.0170321	-9.35223
3.01343	-0.0171465	-9.35235
3.02341	-0.0172613	-9.35246
3.03338	-0.0173765	-9.35258
3.04336	-0.017492	-9.35269
3.05334	-0.017608	-9.35281
3.06332	-0.0177244	-9.35292
3.07329	-0.0178411	-9.35304
3.08327	-0.0179582	-9.35316
3.09325	-0.0180758	-9.35328
3.10323	-0.0181937	-9.35339
3.1132	-0.018312	-9.35351
3.12318	-0.0184307	-9.35363
3.13316	-0.0185498	-9.35375
3.14314	-0.0186693	-9.35387
3.15311	-0.0187892	-9.35399
3.16309	-0.0189095	-9.35411
3.17307	-0.0190302	-9.35423
3.18305	-0.0191513	-9.35435
3.19302	-0.0192727	-9.35447
3.203	-0.0193946	-9.35459
3.21298	-0.0195169	-9.35472
3.22296	-0.0196395	-9.35484
3.23293	-0.0197625	-9.35496
3.24291	-0.019886	-9.35509
3.25289	-0.0200098	-9.35521
3.26287	-0.020134	-9.35533
3.27284	-0.0202587	-9.35546
3.28282	-0.0203837	-9.35558
3.2928	-0.0205091	-9.35571
3.30278	-0.0206349	-9.35583
3.31275	-0.0207611	-9.35596
3.32273	-0.0208877	-9.35609
3.33271	-0.0210147	-9.35621
3.34269	-0.0211421	-9.35634
3.35266	-0.0212699	-9.35647
3.36264	-0.0213981	-9.3566
3.37262	-0.0215266	-9.35673
3.3826	-0.0216556	-9.35686
3.39257	-0.021785	-9.35699
3.40255	-0.0219148	-9.35711
3.41253	-0.0220449	-9.35725
3.42251	-0.0221755	-9.35738
3.43248	-0.0223064	-9.35751
3.44246	-0.0224378	-9.35764
3.45244	-0.0225696	-9.35777
3.46242	-0.0227017	-9.3579
3.47239	-0.0228342	-9.35803
3.48237	-0.0229672	-9.35817
3.49235	-0.0231005	-9.3583
3.50233	-0.0232343	-9.35843
3.5123	-0.0233684	-9.35857
3.52228	-0.023503	-9.3587
3.53226	-0.0236379	-9.35884
3.54224	-0.0237732	-9.35897
3.55221	-0.023909	-9.35911
3.56219	-0.0240451	-9.35925
3.57217	-0.0241816	-9.35938
3.58215	-0.0243186	-9.35952
3.59212	-0.0244559	-9.35966
3.6021	-0.0245936	-9.35979
3.61208	-0.0247318	-9.35993
3.62206	-0.0248703	-9.36007
3.63203	-0.0250092	-9.36021
3.64201	-0.0251485	-9.36035
3.65199	-0.0252883	-9.36049
3.66197	-0.0254284	-9.36063
3.67194	-0.0255689	-9.36077
3.68192	-0.0257099	-9.36091
3.6919	-0.0258512	-9.36105
3.70188	-0.0259929	-9.36119
3.71185	-0.0261351	-9.36134
3.72183	-0.0262776	-9.36148
3.73181	-0.0264205	-9.36162
3.74179	-0.0265639	-9.36176
3.75176	-0.0267076	-9.36191
3.76174	-0.0268518	-9.36205
