Freq_GHz	Model_Norm_dB	Model_dBm_5mA
9.69835	-1.11729	-3.15861
9.70833	-1.11957	-3.16089
9.7183	-1.12186	-3.16318
9.72828	-1.12415	-3.16547
9.73826	-1.12644	-3.16776
9.74824	-1.12873	-3.17005
9.75821	-1.13103	-3.17235
9.76819	-1.13333	-3.17464
9.77817	-1.13563	-3.17694
9.78815	-1.13793	-3.17925
9.79812	-1.14023	-3.18155
9.8081	-1.14254	-3.18386
9.81808	-1.14485	-3.18617
9.82806	-1.14716	-3.18848
9.83803	-1.14947	-3.19079
9.84801	-1.15179	-3.19311
9.85799	-1.15411	-3.19542
9.86797	-1.15643	-3.19774
9.87794	-1.15875	-3.20007
9.88792	-1.16107	-3.20239
9.8979	-1.1634	-3.20472
9.90788	-1.16573	-3.20705
9.91785	-1.16806	-3.20938
9.92783	-1.17039	-3.21171
9.93781	-1.17273	-3.21405
9.94779	-1.17507	-3.21639
9.95776	-1.17741	-3.21873
9.96774	-1.17975	-3.22107
9.97772	-1.18209	-3.22341
9.9877	-1.18444	-3.22576
9.99767	-1.18679	-3.22811
10.0077	-1.18914	-3.23046
10.0176	-1.1915	-3.23281
10.0276	-1.19385	-3.23517
10.0376	-1.19621	-3.23753
10.0476	-1.19857	-3.23989
10.0575	-1.20093	-3.24225
10.0675	-1.2033	-3.24461
10.0775	-1.20566	-3.24698
10.0875	-1.20803	-3.24935
10.0974	-1.2104	-3.25172
10.1074	-1.21278	-3.25409
10.1174	-1.21515	-3.25647
10.1274	-1.21753	-3.25885
10.1374	-1.21991	-3.26123
10.1473	-1.22229	-3.26361
10.1573	-1.22468	-3.266
10.1673	-1.22706	-3.26838
10.1773	-1.22945	-3.27077
10.1872	-1.23184	-3.27316
10.1972	-1.23424	-3.27556
10.2072	-1.23663	-3.27795
10.2172	-1.23903	-3.28035
10.2272	-1.24143	-3.28275
10.2371	-1.24383	-3.28515
10.2471	-1.24624	-3.28756
10.2571	-1.24864	-3.28996
10.2671	-1.25105	-3.29237
10.277	-1.25346	-3.29478
10.287	-1.25588	-3.29719
10.297	-1.25829	-3.29961
10.307	-1.26071	-3.30203
10.317	-1.26313	-3.30445
10.3269	-1.26555	-3.30687
10.3369	-1.26797	-3.30929
10.3469	-1.2704	-3.31172
10.3569	-1.27283	-3.31415
10.3668	-1.27526	-3.31658
