Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
20.6048	-0.448926	0.0250738	-0.431584	0.0484222
20.8048	-0.453088	0.0288174	-0.435486	0.053079
21.0048	-0.454347	0.0346179	-0.439341	0.0578381
21.2047	-0.461126	0.041525	-0.443145	0.0626988
21.4047	-0.463333	0.0459018	-0.446897	0.0676604
21.6046	-0.47033	0.0494611	-0.450594	0.0727221
21.8045	-0.467756	0.0580111	-0.454233	0.0778828
22.0045	-0.476409	0.0620961	-0.457812	0.0831415
22.2045	-0.475967	0.0701886	-0.461328	0.0884972
22.4044	-0.483295	0.0723281	-0.464778	0.0939486
22.6044	-0.483073	0.0824705	-0.468159	0.0994944
22.8043	-0.488458	0.0848298	-0.47147	0.105133
23.0042	-0.492358	0.0944783	-0.474708	0.110864
23.2042	-0.49401	0.100033	-0.477871	0.116685
23.4042	-0.498374	0.104566	-0.480955	0.122594
23.6041	-0.497931	0.113048	-0.483958	0.12859
23.8041	-0.502509	0.118828	-0.486879	0.134671
24.004	-0.504424	0.127449	-0.489715	0.140835
24.2039	-0.506851	0.132576	-0.492463	0.147081
24.4039	-0.510079	0.140993	-0.495122	0.153406
24.6039	-0.510433	0.148288	-0.49769	0.159808
24.8038	-0.515921	0.156052	-0.500163	0.166286
25.0038	-0.515365	0.163209	-0.502541	0.172836
25.2037	-0.516779	0.170042	-0.504821	0.179457
25.4036	-0.518473	0.181184	-0.507001	0.186146
25.6036	-0.520087	0.186097	-0.50908	0.192902
25.8036	-0.523279	0.198282	-0.511056	0.199721
26.0035	-0.522686	0.20085	-0.512927	0.206601
26.2035	-0.524671	0.213614	-0.514692	0.213539
26.4034	-0.523735	0.219856	-0.516349	0.220533
26.6033	-0.526302	0.230683	-0.517897	0.227581
26.8033	-0.525541	0.237983	-0.519333	0.234679
27.0033	-0.527365	0.24319	-0.520658	0.241825
27.2032	-0.524106	0.256283	-0.52187	0.249015
27.4032	-0.526845	0.262599	-0.522968	0.256248
27.6031	-0.527268	0.270642	-0.523951	0.263521
27.803	-0.524005	0.278175	-0.524817	0.270829
28.003	-0.526404	0.285988	-0.525567	0.278172
28.203	-0.522696	0.297905	-0.526199	0.285545
28.4029	-0.523724	0.302242	-0.526713	0.292946
28.6029	-0.521372	0.317471	-0.527108	0.300372
28.8028	-0.517989	0.322396	-0.527383	0.307819
