Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.33	0	0	-9.57	-9.33539
1	-0.22	-0.00167243	-9.79	-9.33706
1.5	-0.11	-0.00402296	-9.68	-9.33941
1.83	-0.07	-0.00609372	-9.64	-9.34148
2.33	-0.2	-0.0100244	-9.77	-9.34541
2.92	-0.28	-0.0159051	-9.85	-9.35129
3.42	-0.25	-0.0219572	-9.82	-9.35734
4.08	-0.29	-0.0314759	-9.86	-9.36686
4.58	-0.39	-0.0398708	-9.96	-9.37526
5.08	-0.33	-0.0493108	-9.9	-9.3847
5.42	-0.42	-0.0563395	-9.99	-9.39172
6.08	-0.28	-0.0714283	-9.85	-9.40681
6.83	-0.28	-0.0909651	-9.85	-9.42635
7.33	-0.28	-0.105456	-9.85	-9.44084
7.67	-0.33	-0.116002	-9.9	-9.45139
8.33	-0.46	-0.138126	-10.03	-9.47351
8.83	-0.6	-0.156389	-10.17	-9.49177
9.33	-0.86	-0.175996	-10.43	-9.51138
9.83	-0.57	-0.196996	-10.14	-9.53238
10.33	-0.61	-0.219441	-10.18	-9.55483
10.83	-0.8	-0.243384	-10.37	-9.57877
11.83	-1.06	-0.295991	-10.63	-9.63138
12.17	-1.11	-0.315379	-10.68	-9.65076
12.83	-1.08	-0.355301	-10.65	-9.69069
13.33	-1.06	-0.38763	-10.63	-9.72302
13.83	-0.5	-0.421832	-10.07	-9.75722
14.33	-0.75	-0.457976	-10.32	-9.79336
15	-0.48	-0.50958	-10.05	-9.84497
15.5	-0.55	-0.550552	-10.12	-9.88594
16	-0.51	-0.593711	-10.08	-9.9291
16.5	-1.4	-0.639132	-10.97	-9.97452
17	-1.25	-0.686891	-10.82	-10.0223
17.5	-1.13	-0.737063	-10.7	-10.0724
18	-0.86	-0.789724	-10.43	-10.1251
18.5	-0.62	-0.844948	-10.19	-10.1803
19.17	-0.26	-0.923096	-9.83	-10.2585
19.5	-0.37	-0.963379	-9.94	-10.2988
20.17	-0.24	-1.04891	-9.81	-10.3843
20.67	-0.26	-1.11609	-9.83	-10.4515
21.17	0.65	-1.1862	-8.92	-10.5216
21.67	0.23	-1.2593	-9.34	-10.5947
22.17	0.32	-1.33545	-9.25	-10.6708
22.83	-0.32	-1.44071	-9.89	-10.7761
23.33	-0.6	-1.52412	-10.17	-10.8595
23.83	-0.96	-1.61072	-10.53	-10.9461
24.33	-1	-1.70054	-10.57	-11.0359
24.83	-1.06	-1.79363	-10.63	-11.129
25.33	-0.93	-1.88998	-10.5	-11.2254
25.83	-0.71	-1.98963	-10.28	-11.325
26.33	-0.71	-2.09256	-10.28	-11.428
27.08	-1.81	-2.25314	-11.38	-11.5885
27.58	-1.53	-2.36428	-11.1	-11.6997
27.92	-1.87	-2.44172	-11.44	-11.7771
28.42	-1.69	-2.55832	-11.26	-11.8937
29.08	-1.29	-2.71713	-10.86	-12.0525
29.42	-1.15	-2.80109	-10.72	-12.1365
30.25	-1.62	-3.01208	-11.19	-12.3475
30.75	-1.9	-3.14322	-11.47	-12.4786
31.33	-3.92	-3.29905	-13.49	-12.6344
31.83	-2.66	-3.43651	-12.23	-12.7719
32.33	-2.81	-3.57677	-12.38	-12.9122
33	-1.77	-3.76897	-11.34	-13.1044
33.5	-2.32	-3.91547	-11.89	-13.2509
34.17	-2.32	-4.11571	-11.89	-13.4511
34.67	-3.59	-4.26795	-13.16	-13.6033
35.17	-3.53	-4.42249	-13.1	-13.7579
35.67	-4.33	-4.57921	-13.9	-13.9146
36.33	-3.13	-4.78928	-12.7	-14.1247
36.83	-3.02	-4.9507	-12.59	-14.2861
