Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-3.97949
0.109977	-1.8939e-05	-3.97951
0.119955	-3.96779e-05	-3.97953
0.129932	-6.22166e-05	-3.97955
0.13991	-8.65552e-05	-3.97958
0.149887	-0.000112694	-3.9796
0.159865	-0.000140632	-3.97963
0.169842	-0.00017037	-3.97966
0.17982	-0.000201909	-3.97969
0.189797	-0.000235247	-3.97973
0.199775	-0.000270385	-3.97976
0.209752	-0.000307323	-3.9798
0.21973	-0.000346061	-3.97984
0.229707	-0.000386598	-3.97988
0.239685	-0.000428936	-3.97992
0.249662	-0.000473074	-3.97996
0.25964	-0.000519012	-3.98001
0.269617	-0.000566749	-3.98006
0.279595	-0.000616287	-3.98011
0.289572	-0.000667625	-3.98016
0.29955	-0.000720763	-3.98021
0.309527	-0.000775701	-3.98027
0.319505	-0.000832439	-3.98032
0.329482	-0.000890977	-3.98038
0.33946	-0.000951315	-3.98044
0.349437	-0.00101345	-3.9805
0.359415	-0.00107739	-3.98057
0.369392	-0.00114313	-3.98063
0.37937	-0.00121067	-3.9807
0.389347	-0.00128001	-3.98077
0.399325	-0.00135115	-3.98084
0.409302	-0.00142409	-3.98091
0.41928	-0.00149882	-3.98099
0.429257	-0.00157536	-3.98107
0.439235	-0.0016537	-3.98114
0.449212	-0.00173384	-3.98122
0.45919	-0.00181578	-3.98131
0.469167	-0.00189953	-3.98139
0.479145	-0.00198507	-3.98148
0.489122	-0.00207241	-3.98156
0.4991	-0.00216155	-3.98165
0.509077	-0.00225249	-3.98174
0.519055	-0.00234524	-3.98184
0.529032	-0.00243978	-3.98193
0.53901	-0.00253612	-3.98203
0.548987	-0.00263427	-3.98212
0.558965	-0.00273421	-3.98222
0.568942	-0.00283596	-3.98233
0.57892	-0.0029395	-3.98243
0.588897	-0.00304485	-3.98254
0.598875	-0.003152	-3.98264
0.608852	-0.00326094	-3.98275
0.61883	-0.00337169	-3.98286
0.628807	-0.00348424	-3.98297
0.638785	-0.00359859	-3.98309
0.648762	-0.00371474	-3.98321
0.65874	-0.0038327	-3.98332
0.668717	-0.00395245	-3.98344
0.678695	-0.004074	-3.98356
0.688672	-0.00419736	-3.98369
0.69865	-0.00432251	-3.98381
0.708627	-0.00444947	-3.98394
0.718605	-0.00457822	-3.98407
0.728582	-0.00470878	-3.9842
0.73856	-0.00484114	-3.98433
0.748537	-0.0049753	-3.98447
0.758515	-0.00511126	-3.9846
0.768492	-0.00524903	-3.98474
0.77847	-0.00538859	-3.98488
0.788447	-0.00552996	-3.98502
0.798425	-0.00567312	-3.98516
0.808402	-0.00581809	-3.98531
0.81838	-0.00596486	-3.98546
0.828357	-0.00611343	-3.9856
0.838335	-0.0062638	-3.98575
0.848312	-0.00641597	-3.98591
0.85829	-0.00656995	-3.98606
0.868267	-0.00672573	-3.98622
0.878245	-0.0068833	-3.98637
0.888222	-0.00704268	-3.98653
0.8982	-0.00720386	-3.98669
0.908177	-0.00736685	-3.98686
0.918155	-0.00753163	-3.98702
0.928132	-0.00769822	-3.98719
0.93811	-0.00786661	-3.98736
0.948087	-0.0080368	-3.98753
0.958065	-0.00820879	-3.9877
0.968042	-0.00838258	-3.98787
0.97802	-0.00855818	-3.98805
0.987997	-0.00873558	-3.98823
0.997974	-0.00891478	-3.98841
1.00795	-0.00909578	-3.98859
1.01793	-0.00927858	-3.98877
1.02791	-0.00946319	-3.98895
1.03788	-0.0096496	-3.98914
1.04786	-0.00983781	-3.98933
1.05784	-0.0100278	-3.98952
1.06782	-0.0102196	-3.98971
