Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
0.01	0.0698882	-0.00181418	0.0909089	-0.000282999
0.20995	0.0667358	-0.00571723	0.0908206	-0.00594092
0.4099	0.0660287	-0.0118274	0.0905719	-0.0115953
0.60985	0.0658201	-0.017657	0.0901629	-0.0172429
0.8098	0.0655347	-0.0235356	0.0895936	-0.0228803
1.00975	0.0646433	-0.0288094	0.0888643	-0.0285042
1.2097	0.0637863	-0.0349027	0.0879754	-0.0341113
1.40965	0.0629741	-0.0401575	0.086927	-0.0396982
1.6096	0.0617321	-0.0461403	0.0857196	-0.0452616
1.80955	0.0604437	-0.0520167	0.0843537	-0.0507983
2.0095	0.0590191	-0.0576469	0.0828297	-0.0563048
2.20945	0.0577499	-0.0630901	0.0811482	-0.0617778
2.4094	0.0559397	-0.0684294	0.0793098	-0.0672141
2.60935	0.0543861	-0.0744973	0.0773153	-0.0726104
2.8093	0.0522824	-0.0797309	0.0751654	-0.0779633
3.00925	0.0504477	-0.0849209	0.0728608	-0.0832696
3.2092	0.0476568	-0.0902145	0.0704026	-0.088526
3.40915	0.045905	-0.0956946	0.0677915	-0.0937292
3.6091	0.0433807	-0.101439	0.0650286	-0.098876
3.80905	0.040288	-0.106287	0.062115	-0.103963
4.009	0.0378566	-0.112149	0.0590517	-0.108987
4.20895	0.0346343	-0.116781	0.05584	-0.113945
4.4089	0.0318908	-0.122282	0.0524812	-0.118834
4.60885	0.0283247	-0.127109	0.0489765	-0.12365
4.8088	0.0257279	-0.132729	0.0453273	-0.12839
5.00875	0.0222167	-0.137271	0.0415351	-0.133052
5.2087	0.0187658	-0.142101	0.0376014	-0.137631
5.40865	0.0150574	-0.147265	0.0335278	-0.142125
5.6086	0.0113404	-0.151974	0.029316	-0.146531
5.80855	0.00780613	-0.156792	0.0249675	-0.150845
6.0085	0.00276926	-0.161075	0.0204844	-0.155065
6.20845	-0.000484362	-0.165807	0.0158683	-0.159188
6.4084	-0.00520937	-0.170155	0.0111212	-0.16321
6.60835	-0.00869708	-0.174257	0.00624514	-0.167128
6.8083	-0.014436	-0.17865	0.00124216	-0.17094
7.00825	-0.0184166	-0.18284	-0.0038856	-0.174643
7.2082	-0.0231631	-0.187343	-0.00913596	-0.178233
7.40815	-0.028399	-0.191183	-0.0145066	-0.181708
7.6081	-0.0333494	-0.194685	-0.0199953	-0.185065
7.80805	-0.0390059	-0.198733	-0.0255995	-0.188301
8.008	-0.0434979	-0.202629	-0.0313167	-0.191414
8.20795	-0.0493854	-0.206135	-0.0371445	-0.194401
8.4079	-0.0545196	-0.20927	-0.0430802	-0.197259
8.60785	-0.0605945	-0.213394	-0.049121	-0.199985
8.8078	-0.066228	-0.216005	-0.0552643	-0.202578
9.00775	-0.0719326	-0.219815	-0.0615072	-0.205033
9.2077	-0.0776804	-0.222147	-0.0678468	-0.20735
9.40765	-0.0840465	-0.225136	-0.0742801	-0.209525
9.6076	-0.0899976	-0.228066	-0.0808041	-0.211557
9.80755	-0.0964983	-0.230085	-0.0874156	-0.213443
10.0075	-0.102297	-0.233521	-0.0941116	-0.21518
10.2074	-0.109318	-0.234104	-0.100889	-0.216767
10.4074	-0.115519	-0.237682	-0.107744	-0.218201
10.6074	-0.122673	-0.238737	-0.114673	-0.219481
10.8073	-0.128968	-0.241772	-0.121674	-0.220605
11.0073	-0.13539	-0.243222	-0.128742	-0.22157
11.2072	-0.142386	-0.244369	-0.135874	-0.222375
11.4071	-0.149742	-0.245739	-0.143067	-0.223018
11.6071	-0.157711	-0.247383	-0.150316	-0.223498
11.8071	-0.16321	-0.24917	-0.157618	-0.223813
12.007	-0.172757	-0.249627	-0.16497	-0.223961
12.207	-0.177622	-0.251043	-0.172367	-0.223941
12.4069	-0.187411	-0.251512	-0.179806	-0.223753
12.6068	-0.19171	-0.251843	-0.187282	-0.223394
12.8068	-0.201649	-0.251567	-0.194792	-0.222863
13.0068	-0.20826	-0.252706	-0.202332	-0.22216
13.2067	-0.216353	-0.251543	-0.209898	-0.221284
13.4067	-0.223609	-0.251994	-0.217485	-0.220234
13.6066	-0.230354	-0.250929	-0.22509	-0.219009
13.8065	-0.239164	-0.250682	-0.232708	-0.217609
14.0065	-0.245611	-0.249013	-0.240335	-0.216032
14.2065	-0.255045	-0.249214	-0.247967	-0.21428
14.4064	-0.261146	-0.24764	-0.2556	-0.212351
14.6064	-0.269902	-0.246773	-0.26323	-0.210246
14.8063	-0.27694	-0.243824	-0.270852	-0.207964
15.0062	-0.286075	-0.242615	-0.278462	-0.205506
15.2062	-0.29386	-0.240383	-0.286056	-0.202871
15.4062	-0.301375	-0.238691	-0.293629	-0.20006
15.6061	-0.309037	-0.235597	-0.301178	-0.197074
15.8061	-0.316916	-0.233009	-0.308698	-0.193912
16.006	-0.325142	-0.23057	-0.316185	-0.190576
16.206	-0.332253	-0.227232	-0.323634	-0.187067
16.4059	-0.341298	-0.224746	-0.331042	-0.183385
16.6059	-0.347197	-0.22071	-0.338403	-0.179531
16.8058	-0.355754	-0.217142	-0.345715	-0.175507
17.0057	-0.363787	-0.212838	-0.352973	-0.171314
17.2057	-0.371329	-0.209593	-0.360173	-0.166953
17.4057	-0.378712	-0.206073	-0.36731	-0.162425
17.6056	-0.385166	-0.200335	-0.374381	-0.157733
17.8056	-0.393741	-0.19599	-0.381382	-0.152878
18.0055	-0.400375	-0.190941	-0.388308	-0.147861
18.2054	-0.40768	-0.186725	-0.395156	-0.142686
18.4054	-0.415249	-0.180579	-0.401923	-0.137353
18.6054	-0.4222	-0.176338	-0.408603	-0.131865
18.8053	-0.430309	-0.17068	-0.415194	-0.126224
19.0053	-0.435618	-0.164512	-0.421692	-0.120433
