Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
22.2045	-1.79488	-158.936	-1.86635	-165.488
22.4044	-1.79098	-160.185	-1.87122	-166.737
22.6044	-1.83823	-161.474	-1.87563	-167.977
22.8043	-1.84423	-162.642	-1.87957	-169.208
23.0042	-1.86822	-163.965	-1.88306	-170.43
23.2042	-1.89592	-165.18	-1.8861	-171.643
23.4042	-1.9047	-166.365	-1.8887	-172.847
23.6041	-1.94649	-167.646	-1.89088	-174.042
23.8041	-1.9587	-168.775	-1.89263	-175.227
24.004	-1.97937	-170.085	-1.89397	-176.404
24.2039	-1.99745	-171.273	-1.8949	-177.571
24.4039	-2.02122	-172.538	-1.89544	-178.729
24.6039	-2.04179	-173.727	-1.89559	-179.878
24.8038	-2.05169	-174.9	-1.89537	178.983
25.0038	-2.0819	-176.121	-1.89478	177.853
25.2037	-2.0946	-177.288	-1.89383	176.732
25.4036	-2.1217	-178.621	-1.89252	175.621
25.6036	-2.14112	-179.708	-1.89088	174.519
25.8036	-2.15614	178.96	-1.88891	173.426
26.0035	-2.17787	177.948	-1.88662	172.342
26.2035	-2.18419	176.621	-1.88401	171.268
26.4034	-2.21461	175.476	-1.88111	170.203
26.6033	-2.2177	174.273	-1.87791	169.147
26.8033	-2.25106	173.128	-1.87442	168.1
27.0033	-2.25554	172.12	-1.87066	167.062
27.2032	-2.29203	170.756	-1.86663	166.034
27.4032	-2.30148	169.712	-1.86235	165.014
27.6031	-2.30689	168.586	-1.85782	164.004
27.803	-2.35654	167.503	-1.85305	163.003
28.003	-2.3656	166.484	-1.84805	162.011
28.203	-2.3754	165.153	-1.84283	161.027
28.4029	-2.38059	164.209	-1.8374	160.053
28.6029	-2.39738	162.828	-1.83176	159.087
28.8028	-2.44154	161.672	-1.82592	158.13
29.0027	-2.41538	160.508	-1.81989	157.182
29.2027	-2.49641	159.447	-1.81369	156.243
29.4027	-2.45681	158.413	-1.80731	155.312
29.6026	-2.53638	157.182	-1.80076	154.39
29.8026	-2.51578	156.116	-1.79406	153.476
30.0025	-2.53791	155.004	-1.7872	152.571
30.2024	-2.52887	154.09	-1.7802	151.674
30.4024	-2.5448	153.205	-1.77307	150.786
30.6024	-2.59099	151.785	-1.7658	149.906
30.8023	-2.53998	151.1	-1.75841	149.034
31.0023	-2.57388	149.943	-1.7509	148.17
31.2022	-2.59062	149.539	-1.74329	147.314
31.4021	-2.6391	147.792	-1.73556	146.467
31.6021	-2.6553	147.096	-1.72774	145.627
31.8021	-2.60657	145.65	-1.71983	144.795
32.002	-2.66519	145.397	-1.71183	143.971
32.2019	-2.6737	143.646	-1.70375	143.154
32.4019	-2.65804	142.715	-1.69559	142.346
32.6018	-2.66954	141.735	-1.68735	141.545
32.8018	-2.6727	140.67	-1.67906	140.751
33.0018	-2.74772	139.699	-1.6707	139.965
33.2017	-2.66454	138.537	-1.66228	139.186
33.4016	-2.71852	137.683	-1.65381	138.415
33.6016	-2.65262	136.847	-1.6453	137.651
33.8015	-2.75221	135.666	-1.63674	136.894
34.0015	-2.6396	135.019	-1.62814	136.144
34.2015	-2.6702	133.446	-1.61951	135.401
34.4014	-2.63766	133.177	-1.61084	134.665
34.6013	-2.68689	131.96	-1.60214	133.936
34.8013	-2.71277	130.97	-1.59343	133.214
35.0012	-2.6465	129.715	-1.58469	132.498
35.2012	-2.63153	128.691	-1.57593	131.79
35.4012	-2.57108	128.65	-1.56716	131.088
35.6011	-2.74697	127.079	-1.55838	130.392
35.801	-2.63149	126.299	-1.54959	129.703
36.001	-2.66607	124.379	-1.54079	129.02
36.2009	-2.64473	124.009	-1.53199	128.344
36.4009	-2.63785	122.59	-1.52319	127.674
36.6009	-2.70447	121.573	-1.5144	127.01
36.8008	-2.65276	120.454	-1.50561	126.352
37.0007	-2.69486	119.224	-1.49682	125.7
37.2007	-2.66129	118.738	-1.48805	125.054
37.4006	-2.68225	117.394	-1.47929	124.414
37.6006	-2.73862	116.739	-1.47054	123.78
37.8006	-2.6232	115.605	-1.46181	123.152
38.0005	-2.69266	114.822	-1.45309	122.53
38.2004	-2.60697	114.016	-1.4444	121.913
38.4004	-2.6571	113.111	-1.43572	121.302
38.6003	-2.66271	112.49	-1.42707	120.696
38.8003	-2.63383	110.788	-1.41844	120.096
39.0003	-2.6588	110.828	-1.40984	119.502
39.2002	-2.61201	108.622	-1.40127	118.912
39.4001	-2.66495	108.401	-1.39273	118.328
39.6001	-2.67331	106.95	-1.38421	117.749
39.8	-2.65066	106.297	-1.37573	117.176
40	-2.68662	105.341	-1.36728	116.607
