Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	0.093781453	-0.0027793729	0.090908942	-0.00022744504	-20.553848	-20.827841
2.0995e+08	0.092994125	-0.0051230951	0.090843614	-0.0047748223	-20.617729	-20.82213
4.099e+08	0.092285795	-0.01085881	0.090659522	-0.0093200928	-20.637587	-20.806074
6.0985e+08	0.0919987	-0.015973585	0.090356701	-0.01386125	-20.595375	-20.779773
8.098e+08	0.091744609	-0.021554824	0.089935208	-0.018396287	-20.515047	-20.743391
1.00975e+09	0.091269368	-0.02608417	0.089395121	-0.022923195	-20.45252	-20.697154
1.2097e+09	0.090523094	-0.031613391	0.088736542	-0.027439965	-20.365032	-20.641339
1.40965e+09	0.089711961	-0.03641909	0.087959595	-0.031944586	-20.280479	-20.576274
1.6096e+09	0.089003856	-0.041889246	0.087064428	-0.036435047	-20.142864	-20.502331
1.80955e+09	0.087736569	-0.047395182	0.08605121	-0.040909333	-20.024385	-20.419914
2.0095e+09	0.086684772	-0.052471376	0.084920135	-0.045365427	-19.885355	-20.32946
2.20945e+09	0.085365367	-0.057528568	0.08367142	-0.049801311	-19.74826	-20.231423
2.4094e+09	0.083528631	-0.062373605	0.082305305	-0.054214964	-19.638704	-20.126276
2.60935e+09	0.082739069	-0.067758305	0.080822055	-0.058604361	-19.416901	-20.014497
2.8093e+09	0.080680639	-0.072469779	0.07922196	-0.062967476	-19.295471	-19.896567
3.00925e+09	0.079413208	-0.077356016	0.077505335	-0.067302277	-19.104336	-19.772965
3.2092e+09	0.07706125	-0.082189411	0.075672518	-0.071606732	-18.964174	-19.64416
3.40915e+09	0.075697744	-0.087446855	0.073723877	-0.075878803	-18.73638	-19.510611
3.6091e+09	0.073582386	-0.092593699	0.071659802	-0.080116451	-18.542456	-19.372762
3.80905e+09	0.07117233	-0.097239749	0.069480713	-0.08431763	-18.380014	-19.231036
4.009e+09	0.069014396	-0.10253169	0.067187057	-0.088480293	-18.159979	-19.085841
4.20895e+09	0.066345726	-0.1071764	0.064779306	-0.092602389	-17.989161	-18.93756
4.4089e+09	0.064183349	-0.11213101	0.062257965	-0.096681863	-17.774691	-18.786557
4.60885e+09	0.061359112	-0.11669553	0.059623565	-0.10071665	-17.598806	-18.63317
4.8088e+09	0.059214655	-0.12178891	0.056876668	-0.1047047	-17.366264	-18.477719
5.00875e+09	0.0561314	-0.12627234	0.054017865	-0.10864394	-17.190704	-18.320498
5.2087e+09	0.053577988	-0.13090027	0.051047782	-0.1125323	-16.98851	-18.161782
5.40865e+09	0.050423976	-0.13578173	0.047967071	-0.11636771	-16.782099	-18.001822
5.6086e+09	0.047589829	-0.14013099	0.044776422	-0.12014809	-16.595264	-17.840852
5.80855e+09	0.044674218	-0.14472369	0.041476556	-0.12387137	-16.393927	-17.679085
6.0085e+09	0.040623466	-0.14889373	0.038068226	-0.12753546	-16.230654	-17.516715
6.20845e+09	0.037719338	-0.15329707	0.034552224	-0.13113828	-16.034042	-17.353922
6.4084e+09	0.033761169	-0.1580721	0.030929374	-0.13467775	-15.82917	-17.190866
6.60835e+09	0.031170247	-0.16181603	0.027200538	-0.13815178	-15.66134	-17.027696
6.8083e+09	0.026082408	-0.16618405	0.023366615	-0.14155828	-15.48253	-16.864545
7.00825e+09	0.022958898	-0.17030078	0.019428543	-0.14489517	-15.297444	-16.701532
7.2082e+09	0.019010564	-0.17483464	0.015387295	-0.14816036	-15.096404	-16.538767
7.40815e+09	0.014671289	-0.17828387	0.011243888	-0.15135176	-14.948448	-16.376348
7.6081e+09	0.010575339	-0.18231755	0.0069993773	-0.15446729	-14.768843	-16.214361
7.80805e+09	0.0059504481	-0.18632327	0.0026548591	-0.15750486	-14.590231	-16.052887
8.008e+09	0.0023243171	-0.18987713	-0.0017885277	-0.1604624	-14.429896	-15.891995
8.20795e+09	-0.0027044864	-0.193905	-0.0063296016	-0.16333782	-14.247375	-15.731748
8.4079e+09	-0.0069851576	-0.19702584	-0.010967138	-0.16612906	-14.104081	-15.572202
8.60785e+09	-0.012089452	-0.20146789	-0.015699866	-0.16883404	-13.900273	-15.413407
8.8078e+09	-0.016932787	-0.20429593	-0.020526473	-0.1714507	-13.765073	-15.255407
9.00775e+09	-0.021483825	-0.20836268	-0.025445597	-0.173977	-13.577674	-15.098241
