Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
2.58036e+10	-5.3185306	177.84795	-5.4881256	172.62686
2.60035e+10	-5.2692699	177.32701	-5.4146525	171.80816
2.62035e+10	-5.2116957	175.98203	-5.3420166	170.99311
2.64034e+10	-5.1764569	175.15106	-5.2702861	170.18251
2.66034e+10	-5.0988779	174.02658	-5.1993845	169.37555
2.68033e+10	-5.063921	173.14345	-5.1293782	168.57302
2.70033e+10	-5.006125	172.52736	-5.0601922	167.77411
2.72032e+10	-4.9839916	171.12509	-4.9918908	166.97962
2.74032e+10	-4.9152761	170.40933	-4.9244007	166.18875
2.76031e+10	-4.8557239	169.42429	-4.8577844	165.40228
2.78031e+10	-4.847137	168.5956	-4.7919699	164.61942
2.8003e+10	-4.7661285	167.74356	-4.7270178	163.84096
2.8203e+10	-4.7393188	166.53053	-4.6628578	163.0661
2.84029e+10	-4.6715798	165.89517	-4.5995485	162.29563
2.86029e+10	-4.6479688	164.47627	-4.5370211	161.52876
2.88028e+10	-4.6295309	163.64929	-4.4753325	160.76627
2.90028e+10	-4.5291762	162.64485	-4.4144153	160.00738
2.92027e+10	-4.5849433	161.75987	-4.3543245	159.25286
2.94027e+10	-4.4421425	160.94777	-4.2949941	158.50195
2.96026e+10	-4.5116796	159.79417	-4.2364776	157.75539
2.98026e+10	-4.4068136	158.95877	-4.1787103	157.01245
3.00025e+10	-4.3894849	157.84587	-4.1217439	156.27386
3.02025e+10	-4.2965169	157.26393	-4.0655152	155.53887
3.04024e+10	-4.2762623	156.50665	-4.0100742	154.80823
3.06024e+10	-4.3016615	154.96658	-3.9553591	154.08121
3.08023e+10	-4.1403441	154.47855	-3.9014182	153.35852
3.10023e+10	-4.1362519	153.57672	-3.8481911	152.63945
3.12022e+10	-4.1635618	153.7184	-3.7957245	151.92471
3.14022e+10	-4.1486478	151.62419	-3.7439594	151.21358
3.16021e+10	-4.1127982	151.24272	-3.6929409	150.50678
3.18021e+10	-3.9704874	149.5191	-3.6426113	149.8036
3.2002e+10	-4.0241175	150.01854	-3.5930142	149.10473
3.2202e+10	-4.0020518	147.79996	-3.5440931	148.40948
3.24019e+10	-3.9285915	147.28333	-3.4958904	147.71853
3.26019e+10	-3.9181454	146.37598	-3.4483508	147.0312
