Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
2.50038e+10	-0.46118611	0.086445355	-0.44655953	0.13754949	-6.5725088	-6.608761
2.52037e+10	-0.46408158	0.092095353	-0.44964581	0.14291462	-6.5003657	-6.5246324
2.54037e+10	-0.46677641	0.10171825	-0.4526753	0.1483693	-6.4163332	-6.441112
2.56036e+10	-0.46892269	0.10440029	-0.45564259	0.15390712	-6.3678694	-6.3582893
2.58036e+10	-0.47353198	0.11578617	-0.45854832	0.1595326	-6.2408233	-6.276087
2.60035e+10	-0.47523695	0.11695219	-0.46138727	0.165239	-6.2064376	-6.1945929
2.62035e+10	-0.47766974	0.12807781	-0.46415998	0.17103086	-6.1159272	-6.1137306
2.64034e+10	-0.47832179	0.13259122	-0.46686138	0.17690112	-6.0840836	-6.0335864
2.66034e+10	-0.48139458	0.14223337	-0.46949194	0.18285433	-5.9864931	-5.9540848
2.68033e+10	-0.48289355	0.14891069	-0.47204681	0.18888311	-5.9284616	-5.8753102
2.70033e+10	-0.48645904	0.1521117	-0.47452634	0.19499203	-5.8539367	-5.7971884
2.72032e+10	-0.48451591	0.16379075	-0.4769259	0.20117341	-5.8239036	-5.7198018
2.74032e+10	-0.48883389	0.16820078	-0.47924579	0.20743181	-5.7308216	-5.6430773
2.76031e+10	-0.49113402	0.17601093	-0.48148159	0.21375925	-5.6512389	-5.5670956
2.78031e+10	-0.48917519	0.18175364	-0.48363353	0.2201603	-5.649097	-5.4917844
2.8003e+10	-0.49283612	0.18837551	-0.48569747	0.22662671	-5.5537324	-5.4172228
2.8203e+10	-0.49104136	0.19944613	-0.48767354	0.23316303	-5.5144768	-5.3433394
2.84029e+10	-0.49539558	0.2021802	-0.48955789	0.23976076	-5.4318833	-5.2702113
2.86029e+10	-0.49411768	0.21547594	-0.49135058	0.24642443	-5.3673105	-5.1977683
2.88028e+10	-0.49262294	0.22153099	-0.49304806	0.2531453	-5.3498416	-5.1260858
2.90028e+10	-0.49860835	0.23189535	-0.49465033	0.2599279	-5.194387	-5.0550943
2.92027e+10	-0.49079164	0.23704325	-0.49615414	0.26676323	-5.2714715	-4.9848674
2.94027e+10	-0.49968693	0.24637713	-0.49755944	0.27365585	-5.0809407	-4.9153368
2.96026e+10	-0.4890548	0.25391791	-0.49886332	0.28059652	-5.1762829	-4.846574
2.98026e+10	-0.49455899	0.26246907	-0.50006566	0.28758982	-5.037921	-4.7785118
3.00025e+10	-0.49129526	0.27206313	-0.50116389	0.2946263	-5.0115294	-4.7112198
3.02025e+10	-0.49733534	0.278189	-0.50215784	0.30171052	-4.8847551	-4.6446317
3.04024e+10	-0.49623201	0.28422535	-0.50304532	0.30883289	-4.8541207	-4.5788154
3.06024e+10	-0.48782429	0.29564197	-0.50382608	0.31599796	-4.8761353	-4.5137055
3.08023e+10	-0.49785429	0.30303957	-0.50449832	0.32319597	-4.6891484	-4.4493678
3.10023e+10	-0.49522565	0.31098808	-0.50506173	0.33043149	-4.6602211	-4.3857383
3.12022e+10	-0.49606175	0.30768508	-0.50551488	0.33769462	-4.6756749	-4.3228807
3.14022e+10	-0.48412214	0.32671283	-0.50585744	0.34498994	-4.6709852	-4.260732
3.16021e+10	-0.48708224	0.32718341	-0.50608836	0.35230745	-4.6306539	-4.1993539
3.18021e+10	-0.48805346	0.35024392	-0.50620724	0.35965174	-4.4265285	-4.1386844
3.2002e+10	-0.48772402	0.33884499	-0.50621345	0.36701271	-4.5260606	-4.0787836
3.2202e+10	-0.47611517	0.36127348	-0.50610654	0.37439497	-4.4708347	-4.0195903
3.24019e+10	-0.48020936	0.36803065	-0.50588626	0.38178837	-4.3646245	-3.9611626
3.26019e+10	-0.47768349	0.37441911	-0.50555213	0.38919753	-4.3371434	-3.9034405
3.28018e+10	-0.47401826	0.38673599	-0.50510431	0.39661226	-4.2682886	-3.8464802
3.30018e+10	-0.46698935	0.38731158	-0.50454225	0.40403721	-4.3404679	-3.7902226
3.32017e+10	-0.46913362	0.4092499	-0.50386651	0.41146218	-4.116478	-3.7347221
3.34017e+10	-0.46126015	0.40721644	-0.50307651	0.41889183	-4.2183528	-3.6799208
3.36016e+10	-0.46731002	0.42246394	-0.50217319	0.42631599	-4.0136876	-3.6258709
3.38016e+10	-0.45319485	0.42571957	-0.50115593	0.43373934	-4.1271262	-3.5725157
3.40015e+10	-0.46224057	0.43666064	-0.50002607	0.44115174	-3.9325452	-3.5199057
3.42015e+10	-0.44587536	0.45054763	-0.49878291	0.4485579	-3.9599223	-3.4679851
3.44014e+10	-0.46238274	0.4510703	-0.4974282	0.45594776	-3.7959094	-3.4168025
3.46014e+10	-0.448357	0.46009097	-0.49596117	0.46332605	-3.8435743	-3.3663033
