Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
23.0042	-5.17886	-178.913	-5.55151	177.558
23.2042	-5.12507	-179.847	-5.48153	176.689
23.4042	-5.05921	179.359	-5.41248	175.824
23.6041	-5.04084	178.24	-5.34434	174.964
23.8041	-4.95134	177.389	-5.27712	174.108
24.004	-4.90586	176.28	-5.21081	173.257
24.2039	-4.84743	175.459	-5.14539	172.411
24.4039	-4.78958	174.387	-5.08086	171.569
24.6039	-4.75087	173.427	-5.01722	170.732
24.8038	-4.66366	172.556	-4.95444	169.899
25.0038	-4.64291	171.603	-4.89253	169.071
25.2037	-4.59135	170.628	-4.83148	168.247
25.4036	-4.54486	169.464	-4.77127	167.428
25.6036	-4.50414	168.734	-4.7119	166.613
25.8036	-4.42604	167.435	-4.65337	165.802
26.0035	-4.39868	166.895	-4.59565	164.997
26.2035	-4.33913	165.574	-4.53876	164.195
26.4034	-4.31232	164.714	-4.48267	163.398
26.6033	-4.24367	163.729	-4.42738	162.606
26.8033	-4.21676	162.775	-4.37288	161.818
27.0033	-4.1667	162.133	-4.31916	161.035
27.2032	-4.14641	160.726	-4.26621	160.256
27.4032	-4.09131	160.041	-4.21404	159.481
27.6031	-4.0577	159.073	-4.16262	158.711
27.803	-4.05354	158.187	-4.11195	157.945
28.003	-3.98375	157.304	-4.06202	157.184
28.203	-3.95951	156.15	-4.01283	156.427
28.4029	-3.91193	155.566	-3.96436	155.675
28.6029	-3.87236	154.152	-3.91661	154.926
28.8028	-3.87542	153.269	-3.86957	154.183
29.0027	-3.78903	152.367	-3.82323	153.443
29.2027	-3.83772	151.369	-3.77758	152.709
29.4027	-3.72053	150.688	-3.73262	151.978
29.6026	-3.78871	149.459	-3.68834	151.252
29.8026	-3.68674	148.666	-3.64472	150.53
30.0025	-3.68022	147.637	-3.60177	149.812
30.2024	-3.61139	147.057	-3.55947	149.099
30.4024	-3.60175	146.344	-3.51782	148.39
30.6024	-3.61061	144.88	-3.4768	147.686
30.8023	-3.48436	144.581	-3.43641	146.986
31.0023	-3.50825	143.502	-3.39664	146.29
31.2022	-3.50704	143.509	-3.35749	145.598
31.4021	-3.5009	141.403	-3.31895	144.911
31.6021	-3.48969	141.149	-3.281	144.228
31.8021	-3.3663	139.718	-3.24364	143.549
32.002	-3.42822	140	-3.20687	142.874
32.2019	-3.39309	137.886	-3.17067	142.204
32.4019	-3.35101	137.267	-3.13504	141.538
32.6018	-3.32915	136.441	-3.09997	140.876
32.8018	-3.29351	135.527	-3.06546	140.218
33.0018	-3.35423	134.75	-3.03149	139.564
33.2017	-3.21206	133.501	-2.99805	138.915
33.4016	-3.28325	132.839	-2.96515	138.269
33.6016	-3.14017	132.187	-2.93277	137.628
33.8015	-3.25288	130.982	-2.90091	136.991
34.0015	-3.09389	130.764	-2.86956	136.358
34.2015	-3.10279	129.035	-2.8387	135.729
34.4014	-3.01404	129.481	-2.80835	135.104
34.6013	-3.06973	127.94	-2.77848	134.484
34.8013	-3.09603	127.103	-2.74909	133.867
35.0012	-2.96882	126.047	-2.72018	133.254
35.2012	-2.98313	124.951	-2.69173	132.645
35.4012	-2.84229	125.593	-2.66374	132.041
35.6011	-3.11916	123.798	-2.63621	131.44
35.801	-2.89264	123.117	-2.60913	130.843
36.001	-2.91976	121.13	-2.58248	130.25
36.2009	-2.89241	121.078	-2.55627	129.661
36.4009	-2.86472	119.683	-2.53049	129.076
36.6009	-2.96033	118.723	-2.50513	128.494
36.8008	-2.84047	117.785	-2.48018	127.917
37.0007	-2.89041	116.629	-2.45564	127.343
37.2007	-2.84361	116.351	-2.43151	126.774
37.4006	-2.8338	115.168	-2.40777	126.208
37.6006	-2.91055	114.475	-2.38442	125.645
37.8006	-2.7195	113.494	-2.36146	125.087
38.0005	-2.83854	112.844	-2.33887	124.532
38.2004	-2.68607	112.079	-2.31666	123.981
38.4004	-2.75283	111.394	-2.29481	123.434
38.6003	-2.74704	111.099	-2.27332	122.89
38.8003	-2.68764	109.162	-2.25219	122.35
39.0003	-2.74774	109.565	-2.23142	121.813
39.2002	-2.67941	107.014	-2.21098	121.281
39.4001	-2.73335	107.354	-2.19088	120.751
39.6001	-2.72113	105.759	-2.17112	120.226
39.8	-2.68898	105.094	-2.15169	119.703
40	-2.7347	104.461	-2.13258	119.185
