Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.33	0	0	-3.75	-3.98042
0.83	-0.13	-0.00541143	-3.88	-3.98583
1.33	-0.2	-0.0154913	-3.95	-3.99591
2	-0.26	-0.0363287	-4.01	-4.01674
2.5	-0.66	-0.0573614	-4.41	-4.03778
3.08	-0.65	-0.087647	-4.4	-4.06806
3.58	-0.42	-0.118847	-4.17	-4.09926
4.08	-0.59	-0.154778	-4.34	-4.13519
4.58	-0.49	-0.195457	-4.24	-4.17587
5.08	-1.08	-0.240902	-4.83	-4.22132
5.58	-0.86	-0.291131	-4.61	-4.27155
6.25	-0.96	-0.365967	-4.71	-4.34638
6.83	-1.01	-0.437742	-4.76	-4.41816
7.5	-1.17	-0.528761	-4.92	-4.50918
7.83	-0.97	-0.576793	-4.72	-4.55721
8.33	-1.19	-0.653601	-4.94	-4.63402
8.83	-1.26	-0.735272	-5.01	-4.71569
9.33	-1.78	-0.821804	-5.53	-4.80222
10	-1.78	-0.945371	-5.53	-4.92579
10.5	-1.4	-1.04325	-5.15	-5.02367
11	-1.34	-1.14595	-5.09	-5.12637
11.5	-1.47	-1.25345	-5.22	-5.23387
12	-2.1	-1.36572	-5.85	-5.34613
12.67	-1.99	-1.52356	-5.74	-5.50397
13.33	-2.3	-1.68723	-6.05	-5.66764
13.83	-2.56	-1.81655	-6.31	-5.79696
14.33	-2.55	-1.95039	-6.3	-5.9308
14.83	-2.04	-2.08868	-5.79	-6.06909
15.33	-2.03	-2.23134	-5.78	-6.21175
15.83	-2.75	-2.37828	-6.5	-6.35869
16.33	-3.12	-2.52941	-6.87	-6.50982
16.83	-2.89	-2.68462	-6.64	-6.66504
17.5	-3.39	-2.89884	-7.14	-6.87925
18	-3.18	-3.0632	-6.93	-7.04362
18.33	-2.97	-3.17372	-6.72	-7.15414
19	-2.87	-3.40295	-6.62	-7.38337
19.5	-3.08	-3.5781	-6.83	-7.55851
19.83	-4.3	-3.69553	-8.05	-7.67595
20.5	-3.98	-3.93828	-7.73	-7.9187
16.33	-2.54	-2.52941	-6.29	-6.50982
16.67	-3.48	-2.63452	-7.23	-6.61493
17.17	-3.41	-2.79245	-7.16	-6.77287
17.67	-3.32	-2.9543	-7.07	-6.93471
18.17	-2.88	-3.11994	-6.63	-7.10035
18.67	-2.95	-3.28925	-6.7	-7.26967
19	-3	-3.40295	-6.75	-7.38337
19.67	-3.34	-3.63841	-7.09	-7.61883
20.17	-4.14	-3.81801	-7.89	-7.79842
20.67	-4.63	-4.00077	-8.38	-7.98118
21.33	-3.82	-4.24664	-7.57	-8.22706
21.83	-4.13	-4.43624	-7.88	-8.41666
22.33	-3.49	-4.62857	-7.24	-8.60899
22.67	-4.3	-4.76084	-8.05	-8.74126
23.33	-4.42	-5.02087	-8.17	-9.00129
23.83	-5.09	-5.22057	-8.84	-9.20099
24.33	-5.33	-5.42248	-9.08	-9.40289
24.83	-5.45	-5.62644	-9.2	-9.60686
25.33	-5.4	-5.83235	-9.15	-9.81277
26.33	-5.42	-6.2495	-9.17	-10.2299
