Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
22.2045	-0.672024	-0.144409	-0.638105	-0.112555
22.4044	-0.679953	-0.135477	-0.642327	-0.0991298
22.6044	-0.678955	-0.115442	-0.646267	-0.0856923
22.8043	-0.684118	-0.108448	-0.649926	-0.0722497
23.0042	-0.688871	-0.090837	-0.653307	-0.0588087
23.2042	-0.689004	-0.0778981	-0.656415	-0.0453758
23.4042	-0.693666	-0.0657082	-0.659251	-0.0319574
23.6041	-0.69214	-0.0503572	-0.66182	-0.0185597
23.8041	-0.695518	-0.0387358	-0.664125	-0.0051888
24.004	-0.695724	-0.022523	-0.66617	0.00814959
24.2039	-0.696488	-0.0110776	-0.667957	0.0214498
24.4039	-0.698008	0.00449493	-0.669492	0.0347064
24.6039	-0.697001	0.0191161	-0.670779	0.0479142
24.8038	-0.701443	0.0309938	-0.67182	0.061068
25.0038	-0.697015	0.0451009	-0.672621	0.074163
25.2037	-0.697328	0.0570782	-0.673185	0.0871945
25.4036	-0.695564	0.0763592	-0.673516	0.100158
25.6036	-0.695302	0.0842259	-0.67362	0.113049
25.8036	-0.696964	0.103758	-0.6735	0.125864
26.0035	-0.692742	0.1091	-0.67316	0.138598
26.2035	-0.692565	0.129322	-0.672605	0.151249
26.4034	-0.688037	0.139821	-0.67184	0.163811
26.6033	-0.689221	0.15503	-0.670869	0.176282
26.8033	-0.68366	0.166379	-0.669695	0.188659
27.0033	-0.683736	0.175358	-0.668325	0.200938
27.2032	-0.677456	0.194431	-0.666762	0.213116
27.4032	-0.677044	0.203559	-0.665011	0.225191
27.6031	-0.675608	0.214734	-0.663076	0.23716
27.803	-0.667411	0.226936	-0.660961	0.249021
28.003	-0.66661	0.236665	-0.658672	0.260772
28.203	-0.659801	0.254525	-0.656212	0.272409
28.4029	-0.658708	0.260195	-0.653586	0.283931
28.6029	-0.652206	0.279874	-0.650799	0.295337
28.8028	-0.644127	0.288113	-0.647854	0.306625
29.0027	-0.647619	0.305432	-0.644757	0.317792
29.2027	-0.630911	0.310809	-0.64151	0.328838
29.4027	-0.636627	0.324665	-0.63812	0.33976
29.6026	-0.617331	0.335941	-0.634589	0.350559
29.8026	-0.621354	0.347179	-0.630922	0.361233
30.0025	-0.611162	0.361951	-0.627123	0.37178
30.2024	-0.614424	0.366178	-0.623196	0.3822
30.4024	-0.60522	0.375073	-0.619146	0.392492
30.6024	-0.590155	0.392011	-0.614975	0.402656
30.8023	-0.597839	0.398846	-0.610689	0.412691
31.0023	-0.58906	0.411223	-0.60629	0.422596
31.2022	-0.588483	0.40037	-0.601784	0.432371
31.4021	-0.563059	0.429912	-0.597172	0.442016
31.6021	-0.56337	0.427788	-0.59246	0.451531
31.8021	-0.561128	0.456791	-0.587651	0.460914
32.002	-0.556684	0.437799	-0.582748	0.470168
32.2019	-0.53651	0.467305	-0.577755	0.479291
32.4019	-0.534262	0.473738	-0.572675	0.488283
32.6018	-0.5282	0.480631	-0.567512	0.497145
32.8018	-0.517246	0.493019	-0.562269	0.505877
33.0018	-0.504797	0.493734	-0.556949	0.514479
33.2017	-0.504041	0.518876	-0.551556	0.522952
33.4016	-0.488675	0.513773	-0.546092	0.531297
33.6016	-0.494567	0.531543	-0.540561	0.539512
33.8015	-0.470056	0.530387	-0.534966	0.5476
34.0015	-0.482711	0.543275	-0.529309	0.555561
34.2015	-0.456675	0.558047	-0.523594	0.563395
34.4014	-0.472337	0.558258	-0.517822	0.571103
34.6013	-0.453465	0.56449	-0.511998	0.578686
34.8013	-0.438227	0.561326	-0.506124	0.586145
35.0012	-0.435976	0.589195	-0.500202	0.593479
35.2012	-0.420732	0.590892	-0.494235	0.600692
35.4012	-0.451077	0.596929	-0.488225	0.607782
35.6011	-0.402093	0.584162	-0.482175	0.614751
35.801	-0.409876	0.606286	-0.476087	0.6216
36.001	-0.376392	0.622804	-0.469964	0.62833
36.2009	-0.383698	0.620563	-0.463808	0.634942
36.4009	-0.366301	0.634317	-0.457621	0.641437
36.6009	-0.349112	0.628831	-0.451404	0.647816
36.8008	-0.343775	0.648985	-0.445162	0.65408
37.0007	-0.326473	0.648845	-0.438894	0.66023
37.2007	-0.328048	0.656859	-0.432604	0.666268
37.4006	-0.311534	0.665043	-0.426292	0.672193
37.6006	-0.301083	0.656143	-0.419962	0.678008
37.8006	-0.294872	0.683292	-0.413615	0.683714
38.0005	-0.281193	0.673115	-0.407253	0.689311
38.2004	-0.282881	0.689155	-0.400877	0.694802
38.4004	-0.264344	0.68831	-0.394488	0.700186
38.6003	-0.271642	0.68748	-0.38809	0.705466
38.8003	-0.237306	0.705317	-0.381683	0.710642
39.0003	-0.251508	0.691913	-0.375269	0.715715
39.2002	-0.207806	0.714211	-0.368849	0.720688
39.4001	-0.215296	0.704376	-0.362424	0.72556
39.6001	-0.192697	0.714016	-0.355997	0.730334
39.8	-0.18678	0.712231	-0.349568	0.73501
40	-0.174245	0.71476	-0.343139	0.73959
