Freq_GHz	Model_Norm_dB	Model_dBm_5mA
1.84606	-0.00737135	-9.34257
1.85604	-0.00745169	-9.34265
1.86602	-0.00753247	-9.34274
1.87599	-0.00761369	-9.34282
1.88597	-0.00769535	-9.3429
1.89595	-0.00777745	-9.34298
1.90593	-0.00785998	-9.34306
1.9159	-0.00794295	-9.34315
1.92588	-0.00802636	-9.34323
1.93586	-0.00811021	-9.34331
1.94584	-0.00819449	-9.3434
1.95581	-0.00827922	-9.34348
1.96579	-0.00836438	-9.34357
1.97577	-0.00844998	-9.34365
1.98575	-0.00853602	-9.34374
1.99572	-0.0086225	-9.34383
2.0057	-0.00870942	-9.34391
2.01568	-0.00879678	-9.344
2.02566	-0.00888457	-9.34409
2.03563	-0.00897281	-9.34418
2.04561	-0.00906148	-9.34426
2.05559	-0.00915059	-9.34435
2.06557	-0.00924015	-9.34444
2.07554	-0.00933014	-9.34453
2.08552	-0.00942057	-9.34462
2.0955	-0.00951144	-9.34471
2.10548	-0.00960275	-9.34481
2.11545	-0.0096945	-9.3449
2.12543	-0.00978669	-9.34499
2.13541	-0.00987932	-9.34508
2.14539	-0.00997239	-9.34518
2.15536	-0.0100659	-9.34527
2.16534	-0.0101598	-9.34536
2.17532	-0.0102542	-9.34546
2.1853	-0.0103491	-9.34555
2.19527	-0.0104443	-9.34565
2.20525	-0.01054	-9.34574
2.21523	-0.0106362	-9.34584
2.22521	-0.0107328	-9.34594
2.23518	-0.0108298	-9.34603
2.24516	-0.0109273	-9.34613
2.25514	-0.0110252	-9.34623
2.26512	-0.0111236	-9.34633
2.27509	-0.0112224	-9.34643
2.28507	-0.0113216	-9.34652
2.29505	-0.0114213	-9.34662
2.30503	-0.0115214	-9.34672
2.315	-0.011622	-9.34682
2.32498	-0.011723	-9.34693
2.33496	-0.0118244	-9.34703
2.34494	-0.0119263	-9.34713
2.35491	-0.0120286	-9.34723
2.36489	-0.0121314	-9.34733
2.37487	-0.0122346	-9.34744
2.38485	-0.0123383	-9.34754
2.39482	-0.0124424	-9.34765
2.4048	-0.0125469	-9.34775
2.41478	-0.0126519	-9.34785
2.42476	-0.0127573	-9.34796
2.43473	-0.0128632	-9.34807
2.44471	-0.0129695	-9.34817
2.45469	-0.0130762	-9.34828
2.46467	-0.0131834	-9.34839
2.47464	-0.0132911	-9.34849
2.48462	-0.0133991	-9.3486
2.4946	-0.0135077	-9.34871
2.50458	-0.0136166	-9.34882
2.51455	-0.0137261	-9.34893
2.52453	-0.0138359	-9.34904
2.53451	-0.0139462	-9.34915
2.54449	-0.0140569	-9.34926
2.55446	-0.0141681	-9.34937
2.56444	-0.0142798	-9.34948
2.57442	-0.0143918	-9.34959
2.5844	-0.0145044	-9.34971
2.59437	-0.0146173	-9.34982
2.60435	-0.0147307	-9.34993
2.61433	-0.0148446	-9.35005
2.62431	-0.0149589	-9.35016
2.63428	-0.0150736	-9.35028
2.64426	-0.0151888	-9.35039
2.65424	-0.0153044	-9.35051
2.66422	-0.0154205	-9.35062
2.67419	-0.015537	-9.35074
2.68417	-0.015654	-9.35086
2.69415	-0.0157714	-9.35097
2.70413	-0.0158892	-9.35109
2.7141	-0.0160075	-9.35121
2.72408	-0.0161263	-9.35133
2.73406	-0.0162455	-9.35145
