Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
22.4044	-0.765499	-0.275824	-0.784689	-0.184958
22.6044	-0.767325	-0.257129	-0.788109	-0.167848
22.8043	-0.771871	-0.241274	-0.791174	-0.150808
23.0042	-0.775095	-0.222763	-0.793891	-0.133846
23.2042	-0.777162	-0.205623	-0.796268	-0.116969
23.4042	-0.780456	-0.189323	-0.79831	-0.100183
23.6041	-0.78073	-0.170995	-0.800025	-0.0834946
23.8041	-0.782847	-0.155359	-0.80142	-0.0669099
24.004	-0.784326	-0.137096	-0.802501	-0.0504347
24.2039	-0.785363	-0.12055	-0.803275	-0.0340742
24.4039	-0.785678	-0.102913	-0.80375	-0.0178338
24.6039	-0.785783	-0.0863754	-0.803932	-0.00171819
24.8038	-0.786489	-0.0701893	-0.803828	0.014268
25.0038	-0.785071	-0.053231	-0.803445	0.0301203
25.2037	-0.784844	-0.0371797	-0.80279	0.0458348
25.4036	-0.78305	-0.0188474	-0.80187	0.0614076
25.6036	-0.781517	-0.00398429	-0.800692	0.0768352
25.8036	-0.780048	0.0141611	-0.799262	0.0921143
26.0035	-0.777729	0.0278664	-0.797588	0.107242
26.2035	-0.776309	0.0458378	-0.795675	0.122215
26.4034	-0.772528	0.0611268	-0.793531	0.13703
26.6033	-0.770801	0.077297	-0.791163	0.151686
26.8033	-0.766153	0.0923373	-0.788576	0.166181
27.0033	-0.764017	0.105741	-0.785778	0.180511
27.2032	-0.758091	0.123384	-0.782774	0.194676
27.4032	-0.754895	0.137025	-0.779571	0.208674
27.6031	-0.751589	0.151737	-0.776175	0.222503
27.803	-0.744322	0.164965	-0.772593	0.236162
28.003	-0.740496	0.177995	-0.768829	0.24965
28.203	-0.73533	0.194935	-0.764891	0.262965
28.4029	-0.731583	0.206888	-0.760784	0.276108
28.6029	-0.724981	0.224031	-0.756514	0.289078
28.8028	-0.716659	0.237406	-0.752087	0.301873
29.0027	-0.713838	0.252667	-0.747508	0.314494
29.2027	-0.702454	0.263374	-0.742782	0.32694
29.4027	-0.700772	0.277274	-0.737915	0.339212
29.6026	-0.688318	0.289601	-0.732912	0.351309
29.8026	-0.684432	0.303075	-0.727779	0.363231
30.0025	-0.676695	0.315496	-0.72252	0.374978
30.2024	-0.672279	0.326584	-0.71714	0.386552
30.4024	-0.665931	0.336314	-0.711644	0.397952
30.6024	-0.653905	0.350842	-0.706038	0.409179
30.8023	-0.653488	0.360752	-0.700324	0.420234
31.0023	-0.643559	0.372409	-0.694509	0.431117
31.2022	-0.63968	0.376217	-0.688597	0.441828
31.4021	-0.624419	0.393341	-0.682591	0.45237
31.6021	-0.618444	0.400144	-0.676497	0.462742
31.8021	-0.611566	0.417967	-0.670317	0.472946
32.002	-0.605617	0.417829	-0.664057	0.482983
32.2019	-0.591982	0.435719	-0.65772	0.492854
32.4019	-0.585881	0.446082	-0.65131	0.502559
32.6018	-0.577402	0.455432	-0.64483	0.512102
32.8018	-0.568628	0.465919	-0.638286	0.521481
33.0018	-0.555833	0.471394	-0.631678	0.5307
33.2017	-0.551415	0.487212	-0.625013	0.539759
33.4016	-0.540721	0.492307	-0.618292	0.548659
33.6016	-0.53754	0.503958	-0.611519	0.557402
33.8015	-0.521032	0.509058	-0.604697	0.56599
34.0015	-0.521972	0.52163	-0.597829	0.574424
34.2015	-0.505678	0.533872	-0.590919	0.582706
34.4014	-0.50505	0.538257	-0.583968	0.590836
34.6013	-0.490714	0.54576	-0.576981	0.598818
34.8013	-0.479785	0.552504	-0.569959	0.606651
35.0012	-0.471148	0.567193	-0.562906	0.614338
35.2012	-0.461724	0.57652	-0.555824	0.621881
35.4012	-0.464541	0.580873	-0.548715	0.629281
35.6011	-0.439443	0.581502	-0.541582	0.636539
35.801	-0.43727	0.595286	-0.534428	0.643658
36.001	-0.415419	0.607183	-0.527254	0.650639
36.2009	-0.412501	0.611353	-0.520063	0.657483
36.4009	-0.39755	0.621873	-0.512857	0.664194
36.6009	-0.3835	0.624025	-0.505638	0.670771
36.8008	-0.373454	0.635167	-0.498408	0.677217
37.0007	-0.357995	0.639928	-0.491169	0.683533
37.2007	-0.353917	0.645432	-0.483922	0.689722
37.4006	-0.33787	0.651977	-0.476671	0.695784
37.6006	-0.328258	0.651555	-0.469416	0.701722
37.8006	-0.319519	0.666724	-0.462159	0.707537
38.0005	-0.307896	0.665688	-0.454902	0.713231
38.2004	-0.301462	0.676595	-0.447646	0.718805
38.4004	-0.289073	0.677347	-0.440393	0.724262
38.6003	-0.281522	0.680006	-0.433145	0.729603
38.8003	-0.262078	0.690356	-0.425902	0.734829
39.0003	-0.261808	0.688191	-0.418666	0.739942
39.2002	-0.236385	0.701531	-0.411439	0.744944
39.4001	-0.232263	0.698167	-0.404222	0.749836
39.6001	-0.214301	0.703149	-0.397016	0.754621
39.8	-0.206813	0.707386	-0.389822	0.759299
40	-0.19418	0.707802	-0.382641	0.763872
