Freq_GHz	Model_Norm_dB	Model_dBm_5mA
1.63653	-0.0325116	-2.07383
1.64651	-0.0329108	-2.07423
1.65649	-0.0333124	-2.07463
1.66647	-0.0337165	-2.07504
1.67644	-0.0341229	-2.07544
1.68642	-0.0345318	-2.07585
1.6964	-0.0349432	-2.07626
1.70638	-0.0353569	-2.07668
1.71635	-0.0357731	-2.07709
1.72633	-0.0361917	-2.07751
1.73631	-0.0366127	-2.07793
1.74629	-0.0370362	-2.07836
1.75626	-0.0374621	-2.07878
1.76624	-0.0378904	-2.07921
1.77622	-0.0383211	-2.07964
1.7862	-0.0387543	-2.08008
1.79617	-0.0391899	-2.08051
1.80615	-0.0396279	-2.08095
1.81613	-0.0400684	-2.08139
1.82611	-0.0405113	-2.08183
1.83608	-0.0409566	-2.08228
1.84606	-0.0414043	-2.08273
1.85604	-0.0418545	-2.08318
1.86602	-0.0423071	-2.08363
1.87599	-0.0427621	-2.08408
1.88597	-0.0432195	-2.08454
1.89595	-0.0436794	-2.085
1.90593	-0.0441417	-2.08546
1.9159	-0.0446065	-2.08593
1.92588	-0.0450736	-2.0864
1.93586	-0.0455432	-2.08686
1.94584	-0.0460152	-2.08734
1.95581	-0.0464897	-2.08781
1.96579	-0.0469666	-2.08829
1.97577	-0.0474459	-2.08877
1.98575	-0.0479276	-2.08925
1.99572	-0.0484118	-2.08973
2.0057	-0.0488984	-2.09022
2.01568	-0.0493874	-2.09071
2.02566	-0.0498788	-2.0912
2.03563	-0.0503727	-2.09169
2.04561	-0.050869	-2.09219
2.05559	-0.0513677	-2.09269
2.06557	-0.0518689	-2.09319
2.07554	-0.0523725	-2.09369
2.08552	-0.0528785	-2.0942
2.0955	-0.0533869	-2.09471
2.10548	-0.0538978	-2.09522
2.11545	-0.0544111	-2.09573
2.12543	-0.0549269	-2.09625
2.13541	-0.055445	-2.09677
2.14539	-0.0559656	-2.09729
2.15536	-0.0564886	-2.09781
2.16534	-0.0570141	-2.09834
2.17532	-0.057542	-2.09886
2.1853	-0.0580723	-2.09939
2.19527	-0.058605	-2.09993
2.20525	-0.0591402	-2.10046
2.21523	-0.0596777	-2.101
2.22521	-0.0602178	-2.10154
2.23518	-0.0607602	-2.10208
2.24516	-0.0613051	-2.10263
2.25514	-0.0618524	-2.10317
2.26512	-0.0624021	-2.10372
2.27509	-0.0629543	-2.10428
2.28507	-0.0635089	-2.10483
2.29505	-0.0640659	-2.10539
2.30503	-0.0646254	-2.10595
2.315	-0.0651872	-2.10651
2.32498	-0.0657516	-2.10707
2.33496	-0.0663183	-2.10764
2.34494	-0.0668875	-2.10821
2.35491	-0.0674591	-2.10878
2.36489	-0.0680331	-2.10935
2.37487	-0.0686095	-2.10993
2.38485	-0.0691884	-2.11051
2.39482	-0.0697697	-2.11109
2.4048	-0.0703535	-2.11168
2.41478	-0.0709397	-2.11226
2.42476	-0.0715283	-2.11285
2.43473	-0.0721193	-2.11344
2.44471	-0.0727128	-2.11403
2.45469	-0.0733086	-2.11463
2.46467	-0.073907	-2.11523
2.47464	-0.0745077	-2.11583
2.48462	-0.0751109	-2.11643
2.4946	-0.0757165	-2.11704
2.50458	-0.0763245	-2.11765
2.51455	-0.076935	-2.11826
2.52453	-0.0775479	-2.11887
2.53451	-0.0781632	-2.11948
2.54449	-0.078781	-2.1201
2.55446	-0.0794012	-2.12072
2.56444	-0.0800238	-2.12135
2.57442	-0.0806488	-2.12197
2.5844	-0.0812763	-2.1226
2.59437	-0.0819062	-2.12323
2.60435	-0.0825385	-2.12386
2.61433	-0.0831733	-2.12449
2.62431	-0.0838105	-2.12513
2.63428	-0.0844501	-2.12577
2.64426	-0.0850922	-2.12641
2.65424	-0.0857367	-2.12706
2.66422	-0.0863836	-2.12771
2.67419	-0.0870329	-2.12835
2.68417	-0.0876847	-2.12901
2.69415	-0.0883389	-2.12966
2.70413	-0.0889955	-2.13032
2.7141	-0.0896546	-2.13098
2.72408	-0.0903161	-2.13164
2.73406	-0.09098	-2.1323
2.74404	-0.0916464	-2.13297
2.75401	-0.0923151	-2.13364
2.76399	-0.0929864	-2.13431
2.77397	-0.09366	-2.13498
2.78395	-0.0943361	-2.13566
2.79392	-0.0950146	-2.13634
2.8039	-0.0956955	-2.13702
2.81388	-0.0963789	-2.1377
2.82386	-0.0970647	-2.13839
2.83383	-0.0977529	-2.13907
2.84381	-0.0984435	-2.13977
2.85379	-0.0991366	-2.14046
2.86377	-0.0998321	-2.14115
2.87374	-0.10053	-2.14185
2.88372	-0.10123	-2.14255
2.8937	-0.101933	-2.14325
2.90368	-0.102638	-2.14396
2.91365	-0.103346	-2.14467
2.92363	-0.104056	-2.14538
2.93361	-0.104769	-2.14609
2.94359	-0.105484	-2.14681
2.95356	-0.106201	-2.14752
2.96354	-0.106921	-2.14824
2.97352	-0.107643	-2.14896
2.9835	-0.108368	-2.14969
2.99347	-0.109095	-2.15042
3.00345	-0.109825	-2.15115
3.01343	-0.110556	-2.15188
3.02341	-0.111291	-2.15261
3.03338	-0.112028	-2.15335
3.04336	-0.112767	-2.15409
3.05334	-0.113509	-2.15483
3.06332	-0.114253	-2.15557
3.07329	-0.114999	-2.15632
3.08327	-0.115748	-2.15707
3.09325	-0.1165	-2.15782
3.10323	-0.117254	-2.15858
3.1132	-0.11801	-2.15933
3.12318	-0.118769	-2.16009
3.13316	-0.11953	-2.16085
3.14314	-0.120293	-2.16161
3.15311	-0.121059	-2.16238
3.16309	-0.121828	-2.16315
3.17307	-0.122599	-2.16392
3.18305	-0.123372	-2.16469
3.19302	-0.124148	-2.16547
3.203	-0.124926	-2.16625
3.21298	-0.125706	-2.16703
3.22296	-0.126489	-2.16781
3.23293	-0.127275	-2.1686
3.24291	-0.128063	-2.16938
3.25289	-0.128853	-2.17017
3.26287	-0.129646	-2.17097
3.27284	-0.130441	-2.17176
3.28282	-0.131238	-2.17256
3.2928	-0.132038	-2.17336
3.30278	-0.132841	-2.17416
3.31275	-0.133646	-2.17497
3.32273	-0.134453	-2.17577
3.33271	-0.135263	-2.17658
3.34269	-0.136075	-2.1774
3.35266	-0.13689	-2.17821
3.36264	-0.137707	-2.17903
3.37262	-0.138526	-2.17985
3.3826	-0.139348	-2.18067
3.39257	-0.140172	-2.18149
3.40255	-0.140999	-2.18232
3.41253	-0.141828	-2.18315
3.42251	-0.14266	-2.18398
3.43248	-0.143494	-2.18482
3.44246	-0.144331	-2.18565
3.45244	-0.14517	-2.18649
3.46242	-0.146011	-2.18733
3.47239	-0.146855	-2.18818
3.48237	-0.147701	-2.18902
3.49235	-0.14855	-2.18987
3.50233	-0.149401	-2.19072
3.5123	-0.150254	-2.19158
3.52228	-0.15111	-2.19243
3.53226	-0.151968	-2.19329
3.54224	-0.152829	-2.19415
3.55221	-0.153693	-2.19501
3.56219	-0.154558	-2.19588
3.57217	-0.155426	-2.19675
3.58215	-0.156297	-2.19762
3.59212	-0.15717	-2.19849
3.6021	-0.158045	-2.19937
3.61208	-0.158923	-2.20024
3.62206	-0.159803	-2.20112
3.63203	-0.160686	-2.20201
3.64201	-0.161571	-2.20289
3.65199	-0.162459	-2.20378
3.66197	-0.163349	-2.20467
3.67194	-0.164241	-2.20556
3.68192	-0.165136	-2.20646
3.6919	-0.166033	-2.20735
3.70188	-0.166933	-2.20825
3.71185	-0.167835	-2.20916
3.72183	-0.16874	-2.21006
3.73181	-0.169646	-2.21097
3.74179	-0.170556	-2.21188
3.75176	-0.171468	-2.21279
3.76174	-0.172382	-2.2137
3.77172	-0.173299	-2.21462
3.7817	-0.174218	-2.21554
3.79167	-0.17514	-2.21646
3.80165	-0.176064	-2.21739
3.81163	-0.17699	-2.21831
3.82161	-0.177919	-2.21924
3.83158	-0.17885	-2.22017
3.84156	-0.179784	-2.22111
3.85154	-0.18072	-2.22204
3.86152	-0.181659	-2.22298
3.87149	-0.1826	-2.22392
3.88147	-0.183543	-2.22486
3.89145	-0.184489	-2.22581
3.90143	-0.185437	-2.22676
3.9114	-0.186388	-2.22771
3.92138	-0.187341	-2.22866
3.93136	-0.188297	-2.22962
3.94134	-0.189255	-2.23058
3.95131	-0.190216	-2.23154
3.96129	-0.191178	-2.2325
3.97127	-0.192144	-2.23347
3.98125	-0.193112	-2.23443
3.99122	-0.194082	-2.2354
4.0012	-0.195054	-2.23638
4.01118	-0.196029	-2.23735
4.02116	-0.197007	-2.23833
4.03113	-0.197987	-2.23931
4.04111	-0.198969	-2.24029
4.05109	-0.199954	-2.24128
4.06107	-0.200941	-2.24226
4.07104	-0.201931	-2.24325
4.08102	-0.202923	-2.24424
4.091	-0.203918	-2.24524
4.10098	-0.204915	-2.24624
4.11095	-0.205914	-2.24724
4.12093	-0.206916	-2.24824
4.13091	-0.20792	-2.24924
4.14089	-0.208927	-2.25025
4.15086	-0.209936	-2.25126
4.16084	-0.210947	-2.25227
4.17082	-0.211961	-2.25328
4.1808	-0.212978	-2.2543
4.19077	-0.213996	-2.25532
4.20075	-0.215018	-2.25634
4.21073	-0.216041	-2.25736
4.22071	-0.217068	-2.25839
4.23068	-0.218096	-2.25942
4.24066	-0.219127	-2.26045
4.25064	-0.22016	-2.26148
4.26062	-0.221196	-2.26252
4.27059	-0.222235	-2.26356
4.28057	-0.223275	-2.2646
4.29055	-0.224318	-2.26564
4.30053	-0.225364	-2.26669
4.3105	-0.226412	-2.26773
4.32048	-0.227462	-2.26878
4.33046	-0.228515	-2.26984
4.34044	-0.229571	-2.27089
4.35041	-0.230628	-2.27195
4.36039	-0.231688	-2.27301
4.37037	-0.232751	-2.27407
4.38035	-0.233816	-2.27514
4.39032	-0.234883	-2.27621
4.4003	-0.235953	-2.27727
4.41028	-0.237026	-2.27835
4.42026	-0.2381	-2.27942
4.43023	-0.239178	-2.2805
4.44021	-0.240257	-2.28158
4.45019	-0.241339	-2.28266
4.46017	-0.242424	-2.28375
4.47014	-0.24351	-2.28483
4.48012	-0.2446	-2.28592
4.4901	-0.245692	-2.28701
4.50008	-0.246786	-2.28811
4.51005	-0.247882	-2.2892
4.52003	-0.248981	-2.2903
4.53001	-0.250083	-2.2914
4.53998	-0.251187	-2.29251
4.54996	-0.252293	-2.29361
4.55994	-0.253402	-2.29472
4.56992	-0.254513	-2.29583
4.57989	-0.255627	-2.29695
4.58987	-0.256743	-2.29806
4.59985	-0.257861	-2.29918
4.60983	-0.258982	-2.3003
4.6198	-0.260105	-2.30143
4.62978	-0.261231	-2.30255
4.63976	-0.262359	-2.30368
4.64974	-0.26349	-2.30481
4.65971	-0.264623	-2.30594
4.66969	-0.265758	-2.30708
4.67967	-0.266896	-2.30822
4.68965	-0.268037	-2.30936
4.69962	-0.269179	-2.3105
4.7096	-0.270325	-2.31165
4.71958	-0.271472	-2.31279
4.72956	-0.272622	-2.31394
4.73953	-0.273775	-2.3151
4.74951	-0.27493	-2.31625
4.75949	-0.276087	-2.31741
4.76947	-0.277247	-2.31857
4.77944	-0.278409	-2.31973
4.78942	-0.279574	-2.3209
4.7994	-0.280741	-2.32206
4.80938	-0.28191	-2.32323
4.81935	-0.283082	-2.3244
4.82933	-0.284257	-2.32558
4.83931	-0.285433	-2.32675
4.84929	-0.286613	-2.32793
4.85926	-0.287794	-2.32912
4.86924	-0.288978	-2.3303
4.87922	-0.290165	-2.33149
4.8892	-0.291354	-2.33268
4.89917	-0.292545	-2.33387
4.90915	-0.293739	-2.33506
4.91913	-0.294935	-2.33626
4.92911	-0.296134	-2.33746
4.93908	-0.297335	-2.33866
4.94906	-0.298538	-2.33986
4.95904	-0.299744	-2.34107
4.96902	-0.300952	-2.34227
4.97899	-0.302163	-2.34348
4.98897	-0.303376	-2.3447
4.99895	-0.304592	-2.34591
5.00893	-0.30581	-2.34713
5.0189	-0.307031	-2.34835
5.02888	-0.308254	-2.34958
5.03886	-0.309479	-2.3508
5.04884	-0.310707	-2.35203
5.05881	-0.311937	-2.35326
5.06879	-0.31317	-2.35449
5.07877	-0.314405	-2.35573
5.08875	-0.315642	-2.35696
5.09872	-0.316882	-2.3582
5.1087	-0.318124	-2.35945
5.11868	-0.319369	-2.36069
5.12866	-0.320616	-2.36194
5.13863	-0.321866	-2.36319
5.14861	-0.323118	-2.36444
5.15859	-0.324372	-2.36569
5.16857	-0.325629	-2.36695
5.17854	-0.326889	-2.36821
5.18852	-0.32815	-2.36947
5.1985	-0.329415	-2.37074
5.20848	-0.330681	-2.372
5.21845	-0.33195	-2.37327
5.22843	-0.333222	-2.37454
5.23841	-0.334496	-2.37582
5.24839	-0.335772	-2.37709
5.25836	-0.337051	-2.37837
5.26834	-0.338332	-2.37965
5.27832	-0.339615	-2.38094
5.2883	-0.340901	-2.38222
5.29827	-0.34219	-2.38351
5.30825	-0.343481	-2.3848
5.31823	-0.344774	-2.3861
5.32821	-0.34607	-2.38739
5.33818	-0.347368	-2.38869
5.34816	-0.348669	-2.38999
5.35814	-0.349972	-2.39129
5.36812	-0.351277	-2.3926
5.37809	-0.352585	-2.39391
5.38807	-0.353895	-2.39522
5.39805	-0.355208	-2.39653
5.40803	-0.356523	-2.39784
5.418	-0.35784	-2.39916
5.42798	-0.35916	-2.40048
5.43796	-0.360483	-2.4018
5.44794	-0.361808	-2.40313
5.45791	-0.363135	-2.40446
5.46789	-0.364465	-2.40579
5.47787	-0.365797	-2.40712
5.48785	-0.367131	-2.40845
5.49782	-0.368468	-2.40979
5.5078	-0.369808	-2.41113
5.51778	-0.371149	-2.41247
5.52776	-0.372494	-2.41382
5.53773	-0.37384	-2.41516
5.54771	-0.375189	-2.41651
5.55769	-0.376541	-2.41786
5.56767	-0.377895	-2.41922
5.57764	-0.379251	-2.42057
5.58762	-0.38061	-2.42193
5.5976	-0.381971	-2.42329
5.60758	-0.383335	-2.42466
5.61755	-0.384701	-2.42602
5.62753	-0.386069	-2.42739
5.63751	-0.38744	-2.42876
5.64749	-0.388813	-2.43014
5.65746	-0.390189	-2.43151
5.66744	-0.391567	-2.43289
5.67742	-0.392948	-2.43427
5.6874	-0.394331	-2.43565
5.69737	-0.395716	-2.43704
5.70735	-0.397104	-2.43843
5.71733	-0.398494	-2.43982
5.72731	-0.399887	-2.44121
5.73728	-0.401282	-2.4426
5.74726	-0.40268	-2.444
5.75724	-0.40408	-2.4454
5.76722	-0.405482	-2.4468
5.77719	-0.406887	-2.44821
5.78717	-0.408294	-2.44962
5.79715	-0.409704	-2.45103
5.80713	-0.411116	-2.45244
5.8171	-0.41253	-2.45385
5.82708	-0.413947	-2.45527
5.83706	-0.415367	-2.45669
5.84704	-0.416788	-2.45811
5.85701	-0.418212	-2.45953
5.86699	-0.419639	-2.46096
5.87697	-0.421068	-2.46239
5.88695	-0.422499	-2.46382
5.89692	-0.423933	-2.46525
5.9069	-0.42537	-2.46669
5.91688	-0.426808	-2.46813
5.92686	-0.428249	-2.46957
5.93683	-0.429693	-2.47101
5.94681	-0.431139	-2.47246
5.95679	-0.432587	-2.47391
5.96677	-0.434038	-2.47536
5.97674	-0.435491	-2.47681
5.98672	-0.436947	-2.47827
5.9967	-0.438405	-2.47973
6.00668	-0.439865	-2.48119
6.01665	-0.441328	-2.48265
6.02663	-0.442794	-2.48412
6.03661	-0.444261	-2.48558
6.04659	-0.445731	-2.48705
6.05656	-0.447204	-2.48853
6.06654	-0.448679	-2.49
6.07652	-0.450156	-2.49148
6.0865	-0.451636	-2.49296
6.09647	-0.453118	-2.49444
6.10645	-0.454603	-2.49592
6.11643	-0.45609	-2.49741
6.12641	-0.45758	-2.4989
6.13638	-0.459072	-2.50039
6.14636	-0.460566	-2.50189
6.15634	-0.462063	-2.50338
6.16632	-0.463562	-2.50488
6.17629	-0.465063	-2.50638
6.18627	-0.466567	-2.50789
6.19625	-0.468074	-2.5094
6.20623	-0.469582	-2.5109
6.2162	-0.471094	-2.51242
6.22618	-0.472607	-2.51393
6.23616	-0.474123	-2.51545
6.24614	-0.475642	-2.51696
6.25611	-0.477163	-2.51848
6.26609	-0.478686	-2.52001
6.27607	-0.480212	-2.52153
6.28605	-0.48174	-2.52306
6.29602	-0.483271	-2.52459
6.306	-0.484804	-2.52613
6.31598	-0.486339	-2.52766
6.32596	-0.487877	-2.5292
6.33593	-0.489417	-2.53074
6.34591	-0.49096	-2.53228
6.35589	-0.492505	-2.53383
6.36587	-0.494052	-2.53537
6.37584	-0.495602	-2.53692
6.38582	-0.497154	-2.53848
6.3958	-0.498709	-2.54003
6.40578	-0.500266	-2.54159
6.41575	-0.501825	-2.54315
6.42573	-0.503387	-2.54471
6.43571	-0.504952	-2.54627
6.44569	-0.506519	-2.54784
6.45566	-0.508088	-2.54941
6.46564	-0.509659	-2.55098
6.47562	-0.511233	-2.55255
6.4856	-0.51281	-2.55413
6.49557	-0.514389	-2.55571
6.50555	-0.51597	-2.55729
6.51553	-0.517553	-2.55888
6.52551	-0.519139	-2.56046
6.53548	-0.520728	-2.56205
6.54546	-0.522319	-2.56364
6.55544	-0.523912	-2.56523
6.56542	-0.525508	-2.56683
6.57539	-0.527106	-2.56843
6.58537	-0.528706	-2.57003
6.59535	-0.530309	-2.57163
6.60533	-0.531915	-2.57324
6.6153	-0.533522	-2.57484
6.62528	-0.535133	-2.57645
6.63526	-0.536745	-2.57807
6.64524	-0.53836	-2.57968
6.65521	-0.539977	-2.5813
6.66519	-0.541597	-2.58292
6.67517	-0.543219	-2.58454
6.68515	-0.544844	-2.58617
6.69512	-0.546471	-2.58779
6.7051	-0.5481	-2.58942
6.71508	-0.549732	-2.59105
6.72506	-0.551366	-2.59269
6.73503	-0.553003	-2.59432
6.74501	-0.554642	-2.59596
6.75499	-0.556284	-2.59761
6.76497	-0.557927	-2.59925
6.77494	-0.559574	-2.6009
6.78492	-0.561222	-2.60254
6.7949	-0.562874	-2.6042
6.80488	-0.564527	-2.60585
6.81485	-0.566183	-2.6075
6.82483	-0.567841	-2.60916
6.83481	-0.569502	-2.61082
6.84479	-0.571165	-2.61249
6.85476	-0.57283	-2.61415
6.86474	-0.574498	-2.61582
6.87472	-0.576169	-2.61749
6.8847	-0.577841	-2.61916
6.89467	-0.579517	-2.62084
6.90465	-0.581194	-2.62252
6.91463	-0.582874	-2.6242
6.92461	-0.584556	-2.62588
6.93458	-0.586241	-2.62756
6.94456	-0.587928	-2.62925
6.95454	-0.589618	-2.63094
6.96452	-0.59131	-2.63263
6.97449	-0.593004	-2.63433
6.98447	-0.594701	-2.63602
6.99445	-0.5964	-2.63772
7.00443	-0.598102	-2.63942
7.0144	-0.599806	-2.64113
7.02438	-0.601512	-2.64283
7.03436	-0.603221	-2.64454
7.04434	-0.604932	-2.64625
7.05431	-0.606645	-2.64797
7.06429	-0.608361	-2.64968
7.07427	-0.61008	-2.6514
7.08425	-0.6118	-2.65312
7.09422	-0.613524	-2.65485
7.1042	-0.615249	-2.65657
7.11418	-0.616977	-2.6583
7.12416	-0.618707	-2.66003
7.13413	-0.62044	-2.66176
7.14411	-0.622175	-2.6635
7.15409	-0.623913	-2.66523
7.16407	-0.625653	-2.66697
7.17404	-0.627395	-2.66872
7.18402	-0.62914	-2.67046
7.194	-0.630887	-2.67221
7.20398	-0.632637	-2.67396
7.21395	-0.634388	-2.67571
7.22393	-0.636143	-2.67746
7.23391	-0.6379	-2.67922
7.24389	-0.639659	-2.68098
7.25386	-0.64142	-2.68274
7.26384	-0.643184	-2.68451
7.27382	-0.64495	-2.68627
7.2838	-0.646719	-2.68804
7.29377	-0.64849	-2.68981
7.30375	-0.650264	-2.69159
7.31373	-0.65204	-2.69336
7.32371	-0.653818	-2.69514
7.33368	-0.655598	-2.69692
7.34366	-0.657382	-2.6987
7.35364	-0.659167	-2.70049
7.36362	-0.660955	-2.70228
7.37359	-0.662745	-2.70407
7.38357	-0.664538	-2.70586
7.39355	-0.666333	-2.70765
7.40353	-0.66813	-2.70945
7.4135	-0.66993	-2.71125
7.42348	-0.671732	-2.71305
7.43346	-0.673537	-2.71486
7.44344	-0.675344	-2.71667
7.45341	-0.677153	-2.71847
7.46339	-0.678965	-2.72029
7.47337	-0.680779	-2.7221
7.48335	-0.682595	-2.72392
7.49332	-0.684414	-2.72574
7.5033	-0.686236	-2.72756
7.51328	-0.688059	-2.72938
7.52326	-0.689885	-2.73121
7.53323	-0.691714	-2.73304
7.54321	-0.693545	-2.73487
7.55319	-0.695378	-2.7367
7.56317	-0.697214	-2.73854
7.57314	-0.699052	-2.74037
7.58312	-0.700892	-2.74221
7.5931	-0.702735	-2.74406
7.60308	-0.70458	-2.7459
7.61305	-0.706428	-2.74775
7.62303	-0.708278	-2.7496
7.63301	-0.71013	-2.75145
7.64299	-0.711985	-2.75331
7.65296	-0.713842	-2.75516
7.66294	-0.715701	-2.75702
7.67292	-0.717563	-2.75888
7.6829	-0.719427	-2.76075
7.69287	-0.721294	-2.76262
7.70285	-0.723163	-2.76448
7.71283	-0.725034	-2.76636
7.72281	-0.726908	-2.76823
7.73278	-0.728784	-2.77011
7.74276	-0.730663	-2.77198
7.75274	-0.732544	-2.77387
7.76272	-0.734427	-2.77575
7.77269	-0.736313	-2.77763
7.78267	-0.738201	-2.77952
7.79265	-0.740091	-2.78141
7.80263	-0.741984	-2.78331
7.8126	-0.74388	-2.7852
7.82258	-0.745777	-2.7871
7.83256	-0.747677	-2.789
7.84254	-0.749579	-2.7909
7.85251	-0.751484	-2.79281
7.86249	-0.753391	-2.79471
7.87247	-0.755301	-2.79662
7.88245	-0.757213	-2.79853
7.89242	-0.759127	-2.80045
7.9024	-0.761043	-2.80237
7.91238	-0.762962	-2.80428
7.92236	-0.764884	-2.80621
7.93233	-0.766808	-2.80813
7.94231	-0.768734	-2.81006
7.95229	-0.770662	-2.81198
7.96227	-0.772593	-2.81391
7.97224	-0.774526	-2.81585
7.98222	-0.776462	-2.81778
7.9922	-0.7784	-2.81972
8.00218	-0.78034	-2.82166
8.01215	-0.782283	-2.8236
8.02213	-0.784228	-2.82555
8.03211	-0.786176	-2.8275
8.04209	-0.788125	-2.82945
8.05206	-0.790078	-2.8314
8.06204	-0.792032	-2.83335
8.07202	-0.793989	-2.83531
8.082	-0.795949	-2.83727
8.09197	-0.79791	-2.83923
8.10195	-0.799874	-2.8412
8.11193	-0.801841	-2.84316
8.12191	-0.80381	-2.84513
