Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-3.97949
0.109977	-1.95438e-05	-3.97951
0.119955	-4.09449e-05	-3.97953
0.129932	-6.42034e-05	-3.97956
0.13991	-8.93192e-05	-3.97958
0.149887	-0.000116292	-3.97961
0.159865	-0.000145123	-3.97964
0.169842	-0.000175811	-3.97967
0.17982	-0.000208356	-3.9797
0.189797	-0.000242759	-3.97974
0.199775	-0.000279019	-3.97977
0.209752	-0.000317136	-3.97981
0.21973	-0.000357111	-3.97985
0.229707	-0.000398944	-3.97989
0.239685	-0.000442633	-3.97994
0.249662	-0.000488181	-3.97998
0.25964	-0.000535585	-3.98003
0.269617	-0.000584847	-3.98008
0.279595	-0.000635967	-3.98013
0.289572	-0.000688944	-3.98018
0.29955	-0.000743779	-3.98024
0.309527	-0.000800471	-3.98029
0.319505	-0.000859021	-3.98035
0.329482	-0.000919428	-3.98041
0.33946	-0.000981693	-3.98048
0.349437	-0.00104582	-3.98054
0.359415	-0.0011118	-3.98061
0.369392	-0.00117963	-3.98067
0.37937	-0.00124933	-3.98074
0.389347	-0.00132088	-3.98081
0.399325	-0.00139429	-3.98089
0.409302	-0.00146956	-3.98096
0.41928	-0.00154669	-3.98104
0.429257	-0.00162567	-3.98112
0.439235	-0.00170651	-3.9812
0.449212	-0.00178921	-3.98128
0.45919	-0.00187377	-3.98137
0.469167	-0.00196018	-3.98145
0.479145	-0.00204845	-3.98154
0.489122	-0.00213858	-3.98163
0.4991	-0.00223057	-3.98172
0.509077	-0.00232442	-3.98182
0.519055	-0.00242012	-3.98191
0.529032	-0.00251768	-3.98201
0.53901	-0.0026171	-3.98211
0.548987	-0.00271838	-3.98221
0.558965	-0.00282152	-3.98231
0.568942	-0.00292651	-3.98242
0.57892	-0.00303336	-3.98253
0.588897	-0.00314207	-3.98264
0.598875	-0.00325264	-3.98275
0.608852	-0.00336507	-3.98286
0.61883	-0.00347935	-3.98297
0.628807	-0.0035955	-3.98309
0.638785	-0.0037135	-3.98321
0.648762	-0.00383336	-3.98333
0.65874	-0.00395507	-3.98345
0.668717	-0.00407865	-3.98357
0.678695	-0.00420408	-3.9837
0.688672	-0.00433138	-3.98382
0.69865	-0.00446053	-3.98395
0.708627	-0.00459154	-3.98408
0.718605	-0.0047244	-3.98422
0.728582	-0.00485913	-3.98435
0.73856	-0.00499572	-3.98449
0.748537	-0.00513416	-3.98463
0.758515	-0.00527446	-3.98477
0.768492	-0.00541662	-3.98491
0.77847	-0.00556064	-3.98505
0.788447	-0.00570652	-3.9852
0.798425	-0.00585426	-3.98535
0.808402	-0.00600385	-3.9855
0.81838	-0.00615531	-3.98565
0.828357	-0.00630862	-3.9858
0.838335	-0.00646379	-3.98596
0.848312	-0.00662082	-3.98611
0.85829	-0.00677971	-3.98627
0.868267	-0.00694046	-3.98643
0.878245	-0.00710307	-3.9866
0.888222	-0.00726754	-3.98676
0.8982	-0.00743386	-3.98693
0.908177	-0.00760205	-3.9871
0.918155	-0.00777209	-3.98727
0.928132	-0.007944	-3.98744
0.93811	-0.00811776	-3.98761
0.948087	-0.00829338	-3.98779
0.958065	-0.00847087	-3.98796
0.968042	-0.00865021	-3.98814
0.97802	-0.00883141	-3.98832
0.987997	-0.00901447	-3.98851
0.997974	-0.00919939	-3.98869
1.00795	-0.00938617	-3.98888
1.01793	-0.00957481	-3.98907
1.02791	-0.00976531	-3.98926
1.03788	-0.00995766	-3.98945
1.04786	-0.0101519	-3.98965
1.05784	-0.010348	-3.98984
1.06782	-0.0105459	-3.99004
1.07779	-0.0107457	-3.99024
1.08777	-0.0109474	-3.99044
1.09775	-0.0111509	-3.99064
1.10773	-0.0113563	-3.99085
1.1177	-0.0115635	-3.99106
1.12768	-0.0117726	-3.99127
1.13766	-0.0119835	-3.99148
1.14764	-0.0121964	-3.99169
1.15761	-0.012411	-3.9919
1.16759	-0.0126276	-3.99212
1.17757	-0.012846	-3.99234
1.18755	-0.0130662	-3.99256
1.19752	-0.0132884	-3.99278
1.2075	-0.0135123	-3.99301
1.21748	-0.0137382	-3.99323
1.22746	-0.0139659	-3.99346
1.23743	-0.0141955	-3.99369
1.24741	-0.0144269	-3.99392
1.25739	-0.0146602	-3.99415
1.26737	-0.0148953	-3.99439
1.27734	-0.0151323	-3.99463
1.28732	-0.0153712	-3.99486
1.2973	-0.0156119	-3.99511
1.30728	-0.0158545	-3.99535
1.31725	-0.016099	-3.99559
1.32723	-0.0163453	-3.99584
1.33721	-0.0165934	-3.99609
1.34719	-0.0168435	-3.99634
1.35716	-0.0170954	-3.99659
1.36714	-0.0173491	-3.99684
1.37712	-0.0176048	-3.9971
1.3871	-0.0178622	-3.99736
1.39707	-0.0181216	-3.99761
1.40705	-0.0183828	-3.99788
1.41703	-0.0186459	-3.99814
1.42701	-0.0189108	-3.9984
1.43698	-0.0191776	-3.99867
1.44696	-0.0194462	-3.99894
1.45694	-0.0197167	-3.99921
1.46692	-0.0199891	-3.99948
1.47689	-0.0202634	-3.99976
1.48687	-0.0205395	-4.00003
1.49685	-0.0208174	-4.00031
1.50683	-0.0210973	-4.00059
1.5168	-0.0213789	-4.00087
1.52678	-0.0216625	-4.00116
1.53676	-0.0219479	-4.00144
1.54674	-0.0222352	-4.00173
1.55671	-0.0225243	-4.00202
