V,lab,Rm,Rs,Cc,L1,Lm,L2,rms,rms_locked,f_RC
-7,38,42.52385943293988,19.018535940177717,5.000000000000745,1.4800182030929787e-16,331.90675961214373,127.36852626142338,0.06143669608977177,0.22134455285858456,27.895302250896393
-7,100,107.54213960347053,8.722933189394508,18.453365729431844,183.86410336148998,4.5128304386414044e-17,89.75969005953839,0.11124328213843329,0.11940016130536991,21.665810002461637
-7,140,142.52653410946385,7.016648558147794,6.047071268599319,198.19660784505973,3.249808718492034e-16,65.57755311988589,0.11310091361590309,0.1290991892621853,21.885580959682258
-7,WO,13943.63029034255,9.741642795546445,17.130632030888272,119.65438404481942,0.0,156.631923713069,0.14887923671295686,0.1673174419666527,15.095497680065815
-5,WO,58279.610725825885,9.275182058888763,11.138406300826157,123.42757902028599,0.0,160.08037238927068,0.15390006962583194,0.17007112644299635,12.580507174551387
-7,80,80.34907342646851,8.786445260507667,5.000000000182506,185.4667460140975,2.537811828268337e-12,95.58512681420106,0.1133443155293309,0.1319312007274774,23.953814797066666
-5,80,77.17008451359483,8.318938056606722,5.000000000056825,182.46919486864056,1.7551722005665807e-15,100.31100002131917,0.12015544678558464,0.13562075675424323,20.587520323729684
