V,lab,Rm,L1,Lm,L2,rms,f_RC
-7,38,42.52385943293988,1.673710095768178e-17,238.7814629789057,144.59912201667075,0.1376248567217354,34.17635459333061
-7,100,107.54213960347053,185.0848076116255,1.761465789374548e-19,95.4737249105911,0.11552267901733858,22.052431432871824
-7,140,142.52653410946385,188.9271231571428,6.086349840113291e-17,75.69525787688238,0.1200924888301719,20.80080563903652
-7,WO,13943.63029034255,123.26071592679581,0.0,159.89535045868297,0.15166288194474883,15.8777557621046
-5,WO,58279.610725825885,124.71709801201855,0.0,161.3702967052734,0.15462524360811528,12.779849851212584
-7,80,80.34907342646851,184.34059655385227,4.29415523655532e-18,96.85794724050821,0.11369620027555978,23.650557708802978
-5,80,77.17008451359483,180.21684557823644,1.698676635637717e-18,102.89558865924934,0.12113924055172252,20.03447477252962
