Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.33	0	0	-9.57	-9.33554
1	-0.22	-0.00293411	-9.79	-9.33847
1.5	-0.11	-0.00705464	-9.68	-9.34259
1.83	-0.07	-0.0106816	-9.64	-9.34622
2.33	-0.2	-0.0175583	-9.77	-9.3531
2.92	-0.28	-0.027827	-9.85	-9.36337
3.42	-0.25	-0.0383711	-9.82	-9.37391
4.08	-0.29	-0.0549065	-9.86	-9.39045
4.58	-0.39	-0.0694417	-9.96	-9.40498
5.08	-0.33	-0.0857336	-9.9	-9.42127
5.42	-0.42	-0.0978286	-9.99	-9.43337
6.08	-0.28	-0.123694	-9.85	-9.45923
6.83	-0.28	-0.156988	-9.85	-9.49253
7.33	-0.28	-0.181546	-9.85	-9.51709
7.67	-0.33	-0.199348	-9.9	-9.53489
8.33	-0.46	-0.236505	-10.03	-9.57204
8.83	-0.6	-0.266992	-10.17	-9.60253
9.33	-0.86	-0.299546	-10.43	-9.63509
9.83	-0.57	-0.334216	-10.14	-9.66976
10.33	-0.61	-0.371057	-10.18	-9.7066
10.83	-0.8	-0.410124	-10.37	-9.74566
11.83	-1.06	-0.49517	-10.63	-9.83071
12.17	-1.11	-0.526254	-10.68	-9.86179
12.83	-1.08	-0.589853	-10.65	-9.92539
13.33	-1.06	-0.640975	-10.63	-9.97652
13.83	-0.5	-0.694712	-10.07	-10.0303
14.33	-0.75	-0.751134	-10.32	-10.0867
15	-0.48	-0.831082	-10.05	-10.1666
15.5	-0.55	-0.894083	-10.12	-10.2296
16	-0.51	-0.960024	-10.08	-10.2956
16.5	-1.4	-1.02898	-10.97	-10.3645
17	-1.25	-1.10104	-10.82	-10.4366
17.5	-1.13	-1.17627	-10.7	-10.5118
18	-0.86	-1.25476	-10.43	-10.5903
18.5	-0.62	-1.33658	-10.19	-10.6721
19.17	-0.26	-1.45158	-9.83	-10.7871
19.5	-0.37	-1.51053	-9.94	-10.8461
20.17	-0.24	-1.63501	-9.81	-10.9705
20.67	-0.26	-1.73217	-9.83	-11.0677
21.17	0.65	-1.83305	-8.92	-11.1686
21.67	0.23	-1.93772	-9.34	-11.2733
22.17	0.32	-2.04624	-9.25	-11.3818
22.83	-0.32	-2.19547	-9.89	-11.531
23.33	-0.6	-2.31312	-10.17	-11.6487
23.83	-0.96	-2.43477	-10.53	-11.7703
24.33	-1	-2.56048	-10.57	-11.896
24.83	-1.06	-2.69027	-10.63	-12.0258
25.33	-0.93	-2.82417	-10.5	-12.1597
25.83	-0.71	-2.96219	-10.28	-12.2977
26.33	-0.71	-3.10435	-10.28	-12.4399
27.08	-1.81	-3.32535	-11.38	-12.6609
27.58	-1.53	-3.47785	-11.1	-12.8134
27.92	-1.87	-3.5839	-11.44	-12.9194
28.42	-1.69	-3.74332	-11.26	-13.0789
29.08	-1.29	-3.95998	-10.86	-13.2955
29.42	-1.15	-4.07435	-10.72	-13.4099
30.25	-1.62	-4.36129	-11.19	-13.6968
30.75	-1.9	-4.53939	-11.47	-13.8749
31.33	-3.92	-4.75083	-13.49	-14.0864
31.83	-2.66	-4.93722	-12.23	-14.2728
32.33	-2.81	-5.12733	-12.38	-14.4629
33	-1.77	-5.38782	-11.34	-14.7234
33.5	-2.32	-5.58638	-11.89	-14.9219
34.17	-2.32	-5.85788	-11.89	-15.1934
34.67	-3.59	-6.06443	-13.16	-15.4
35.17	-3.53	-6.27425	-13.1	-15.6098
35.67	-4.33	-6.48725	-13.9	-15.8228
36.33	-3.13	-6.77313	-12.7	-16.1087
36.83	-3.02	-6.99315	-12.59	-16.3287
