Freq_GHz	Norm_dB_model	Model_dBm_5mA
1.62656	-0.0146452	-7.32073
1.63653	-0.0148262	-7.32091
1.64651	-0.0150085	-7.32109
1.65649	-0.0151918	-7.32128
1.66647	-0.0153762	-7.32146
1.67644	-0.0155617	-7.32165
1.68642	-0.0157484	-7.32183
1.6964	-0.0159362	-7.32202
1.70638	-0.016125	-7.32221
1.71635	-0.016315	-7.3224
1.72633	-0.0165061	-7.32259
1.73631	-0.0166983	-7.32278
1.74629	-0.0168917	-7.32298
1.75626	-0.0170861	-7.32317
1.76624	-0.0172817	-7.32337
1.77622	-0.0174783	-7.32356
1.7862	-0.0176761	-7.32376
1.79617	-0.017875	-7.32396
1.80615	-0.018075	-7.32416
1.81613	-0.0182762	-7.32436
1.82611	-0.0184784	-7.32456
1.83608	-0.0186817	-7.32477
1.84606	-0.0188862	-7.32497
1.85604	-0.0190918	-7.32518
1.86602	-0.0192985	-7.32538
1.87599	-0.0195063	-7.32559
1.88597	-0.0197152	-7.3258
1.89595	-0.0199252	-7.32601
1.90593	-0.0201364	-7.32622
1.9159	-0.0203486	-7.32643
1.92588	-0.020562	-7.32665
1.93586	-0.0207765	-7.32686
1.94584	-0.0209921	-7.32708
1.95581	-0.0212088	-7.32729
1.96579	-0.0214267	-7.32751
1.97577	-0.0216456	-7.32773
1.98575	-0.0218657	-7.32795
1.99572	-0.0220869	-7.32817
2.0057	-0.0223092	-7.32839
2.01568	-0.0225326	-7.32862
2.02566	-0.0227571	-7.32884
2.03563	-0.0229828	-7.32907
2.04561	-0.0232095	-7.32929
2.05559	-0.0234374	-7.32952
2.06557	-0.0236664	-7.32975
2.07554	-0.0238965	-7.32998
2.08552	-0.0241277	-7.33021
2.0955	-0.0243601	-7.33044
2.10548	-0.0245935	-7.33068
2.11545	-0.0248281	-7.33091
2.12543	-0.0250638	-7.33115
2.13541	-0.0253006	-7.33138
2.14539	-0.0255385	-7.33162
2.15536	-0.0257776	-7.33186
2.16534	-0.0260177	-7.3321
2.17532	-0.026259	-7.33234
