Freq_GHz	Norm_dB_model	Model_dBm_5mA
1.63653	-0.0355196	-2.07685
1.64651	-0.0359557	-2.07729
1.65649	-0.0363945	-2.07773
1.66647	-0.0368359	-2.07817
1.67644	-0.03728	-2.07861
1.68642	-0.0377267	-2.07906
1.6964	-0.0381761	-2.07951
1.70638	-0.0386281	-2.07996
1.71635	-0.0390828	-2.08042
1.72633	-0.0395401	-2.08087
1.73631	-0.0400001	-2.08133
1.74629	-0.0404627	-2.0818
1.75626	-0.040928	-2.08226
1.76624	-0.041396	-2.08273
1.77622	-0.0418666	-2.0832
1.7862	-0.0423398	-2.08367
1.79617	-0.0428157	-2.08415
1.80615	-0.0432943	-2.08463
1.81613	-0.0437755	-2.08511
1.82611	-0.0442593	-2.08559
1.83608	-0.0447459	-2.08608
1.84606	-0.045235	-2.08657
1.85604	-0.0457268	-2.08706
1.86602	-0.0462213	-2.08755
1.87599	-0.0467184	-2.08805
1.88597	-0.0472182	-2.08855
1.89595	-0.0477206	-2.08905
1.90593	-0.0482257	-2.08956
1.9159	-0.0487335	-2.09007
1.92588	-0.0492438	-2.09058
1.93586	-0.0497569	-2.09109
1.94584	-0.0502726	-2.09161
1.95581	-0.0507909	-2.09212
1.96579	-0.0513119	-2.09264
1.97577	-0.0518356	-2.09317
1.98575	-0.0523619	-2.09369
1.99572	-0.0528908	-2.09422
2.0057	-0.0534225	-2.09476
2.01568	-0.0539567	-2.09529
2.02566	-0.0544936	-2.09583
2.03563	-0.0550332	-2.09637
2.04561	-0.0555754	-2.09691
2.05559	-0.0561203	-2.09745
2.06557	-0.0566678	-2.098
2.07554	-0.057218	-2.09855
2.08552	-0.0577709	-2.0991
2.0955	-0.0583264	-2.09966
2.10548	-0.0588845	-2.10022
2.11545	-0.0594453	-2.10078
2.12543	-0.0600087	-2.10134
2.13541	-0.0605748	-2.10191
2.14539	-0.0611436	-2.10248
2.15536	-0.061715	-2.10305
2.16534	-0.0622891	-2.10362
2.17532	-0.0628658	-2.1042
2.1853	-0.0634452	-2.10478
2.19527	-0.0640272	-2.10536
2.20525	-0.0646119	-2.10594
2.21523	-0.0651992	-2.10653
2.22521	-0.0657892	-2.10712
2.23518	-0.0663818	-2.10771
2.24516	-0.0669771	-2.10831
2.25514	-0.0675751	-2.10891
2.26512	-0.0681757	-2.10951
2.27509	-0.0687789	-2.11011
2.28507	-0.0693849	-2.11072
2.29505	-0.0699934	-2.11133
2.30503	-0.0706046	-2.11194
2.315	-0.0712185	-2.11255
2.32498	-0.071835	-2.11317
2.33496	-0.0724542	-2.11379
2.34494	-0.073076	-2.11441
2.35491	-0.0737005	-2.11503
2.36489	-0.0743277	-2.11566
2.37487	-0.0749575	-2.11629
2.38485	-0.0755899	-2.11692
2.39482	-0.076225	-2.11756
2.4048	-0.0768628	-2.1182
2.41478	-0.0775032	-2.11884
2.42476	-0.0781463	-2.11948
2.43473	-0.078792	-2.12012
2.44471	-0.0794403	-2.12077
2.45469	-0.0800914	-2.12142
2.46467	-0.0807451	-2.12208
2.47464	-0.0814014	-2.12273
2.48462	-0.0820604	-2.12339
2.4946	-0.082722	-2.12405
2.50458	-0.0833863	-2.12472
2.51455	-0.0840533	-2.12539
2.52453	-0.0847229	-2.12606
2.53451	-0.0853952	-2.12673
2.54449	-0.0860701	-2.1274
2.55446	-0.0867477	-2.12808
2.56444	-0.0874279	-2.12876
2.57442	-0.0881108	-2.12944
2.5844	-0.0887963	-2.13013
2.59437	-0.0894845	-2.13082
2.60435	-0.0901753	-2.13151
2.61433	-0.0908688	-2.1322
2.62431	-0.091565	-2.1329
2.63428	-0.0922638	-2.1336
2.64426	-0.0929653	-2.1343
2.65424	-0.0936694	-2.135
2.66422	-0.0943762	-2.13571
2.67419	-0.0950856	-2.13642
2.68417	-0.0957977	-2.13713
2.69415	-0.0965124	-2.13785
2.70413	-0.0972298	-2.13856
2.7141	-0.0979499	-2.13928
2.72408	-0.0986726	-2.14001
2.73406	-0.0993979	-2.14073
2.74404	-0.100126	-2.14146
2.75401	-0.100857	-2.14219
2.76399	-0.10159	-2.14292
2.77397	-0.102326	-2.14366
2.78395	-0.103065	-2.1444
2.79392	-0.103806	-2.14514
2.8039	-0.10455	-2.14588
2.81388	-0.105296	-2.14663
2.82386	-0.106046	-2.14738
2.83383	-0.106798	-2.14813
2.84381	-0.107552	-2.14889
2.85379	-0.108309	-2.14964
2.86377	-0.109069	-2.1504
2.87374	-0.109832	-2.15116
2.88372	-0.110597	-2.15193
2.8937	-0.111365	-2.1527
2.90368	-0.112135	-2.15347
2.91365	-0.112908	-2.15424
2.92363	-0.113684	-2.15502
2.93361	-0.114463	-2.1558
2.94359	-0.115244	-2.15658
2.95356	-0.116028	-2.15736
2.96354	-0.116814	-2.15815
2.97352	-0.117603	-2.15894
2.9835	-0.118395	-2.15973
2.99347	-0.119189	-2.16052
3.00345	-0.119986	-2.16132
3.01343	-0.120786	-2.16212
3.02341	-0.121588	-2.16292
3.03338	-0.122393	-2.16373
3.04336	-0.123201	-2.16453
3.05334	-0.124011	-2.16534
3.06332	-0.124824	-2.16616
3.07329	-0.12564	-2.16697
3.08327	-0.126458	-2.16779
3.09325	-0.127279	-2.16861
3.10323	-0.128103	-2.16944
3.1132	-0.128929	-2.17026
3.12318	-0.129758	-2.17109
3.13316	-0.13059	-2.17192
3.14314	-0.131424	-2.17276
3.15311	-0.132261	-2.17359
3.16309	-0.1331	-2.17443
3.17307	-0.133943	-2.17528
3.18305	-0.134787	-2.17612
3.19302	-0.135635	-2.17697
3.203	-0.136485	-2.17782
3.21298	-0.137338	-2.17867
3.22296	-0.138193	-2.17953
3.23293	-0.139052	-2.18038
3.24291	-0.139912	-2.18125
3.25289	-0.140776	-2.18211
3.26287	-0.141642	-2.18297
3.27284	-0.142511	-2.18384
3.28282	-0.143382	-2.18472
3.2928	-0.144256	-2.18559
3.30278	-0.145133	-2.18647
3.31275	-0.146012	-2.18735
3.32273	-0.146894	-2.18823
3.33271	-0.147779	-2.18911
3.34269	-0.148666	-2.19
3.35266	-0.149556	-2.19089
3.36264	-0.150449	-2.19178
3.37262	-0.151344	-2.19268
3.3826	-0.152242	-2.19358
3.39257	-0.153143	-2.19448
3.40255	-0.154046	-2.19538
3.41253	-0.154952	-2.19629
3.42251	-0.155861	-2.19719
3.43248	-0.156772	-2.19811
3.44246	-0.157686	-2.19902
3.45244	-0.158603	-2.19994
3.46242	-0.159522	-2.20085
3.47239	-0.160444	-2.20178
3.48237	-0.161368	-2.2027
3.49235	-0.162296	-2.20363
3.50233	-0.163225	-2.20456
3.5123	-0.164158	-2.20549
3.52228	-0.165093	-2.20643
3.53226	-0.166031	-2.20736
3.54224	-0.166971	-2.2083
3.55221	-0.167915	-2.20925
3.56219	-0.16886	-2.21019
3.57217	-0.169809	-2.21114
3.58215	-0.17076	-2.21209
3.59212	-0.171714	-2.21305
3.6021	-0.17267	-2.214
3.61208	-0.173629	-2.21496
3.62206	-0.174591	-2.21592
3.63203	-0.175555	-2.21689
3.64201	-0.176522	-2.21786
3.65199	-0.177492	-2.21883
3.66197	-0.178464	-2.2198
3.67194	-0.179439	-2.22077
3.68192	-0.180417	-2.22175
3.6919	-0.181397	-2.22273
3.70188	-0.18238	-2.22371
3.71185	-0.183366	-2.2247
3.72183	-0.184354	-2.22569
3.73181	-0.185345	-2.22668
3.74179	-0.186339	-2.22767
3.75176	-0.187335	-2.22867
3.76174	-0.188334	-2.22967
3.77172	-0.189336	-2.23067
3.7817	-0.19034	-2.23167
3.79167	-0.191347	-2.23268
3.80165	-0.192357	-2.23369
3.81163	-0.193369	-2.2347
3.82161	-0.194384	-2.23572
3.83158	-0.195401	-2.23673
3.84156	-0.196421	-2.23775
3.85154	-0.197444	-2.23878
3.86152	-0.19847	-2.2398
3.87149	-0.199498	-2.24083
3.88147	-0.200529	-2.24186
3.89145	-0.201562	-2.2429
3.90143	-0.202598	-2.24393
3.9114	-0.203637	-2.24497
3.92138	-0.204678	-2.24601
3.93136	-0.205723	-2.24706
3.94134	-0.206769	-2.2481
3.95131	-0.207819	-2.24915
3.96129	-0.208871	-2.2502
3.97127	-0.209926	-2.25126
3.98125	-0.210983	-2.25232
3.99122	-0.212043	-2.25338
4.0012	-0.213106	-2.25444
4.01118	-0.214171	-2.2555
4.02116	-0.215239	-2.25657
4.03113	-0.21631	-2.25764
4.04111	-0.217383	-2.25872
4.05109	-0.218459	-2.25979
4.06107	-0.219538	-2.26087
4.07104	-0.220619	-2.26195
4.08102	-0.221703	-2.26304
4.091	-0.222789	-2.26412
4.10098	-0.223879	-2.26521
4.11095	-0.224971	-2.2663
4.12093	-0.226065	-2.2674
4.13091	-0.227162	-2.2685
4.14089	-0.228262	-2.2696
4.15086	-0.229365	-2.2707
4.16084	-0.23047	-2.2718
4.17082	-0.231578	-2.27291
4.1808	-0.232688	-2.27402
4.19077	-0.233802	-2.27513
4.20075	-0.234918	-2.27625
4.21073	-0.236036	-2.27737
4.22071	-0.237157	-2.27849
4.23068	-0.238281	-2.27961
4.24066	-0.239407	-2.28074
4.25064	-0.240537	-2.28187
4.26062	-0.241668	-2.283
4.27059	-0.242803	-2.28414
4.28057	-0.24394	-2.28527
4.29055	-0.24508	-2.28641
4.30053	-0.246222	-2.28755
4.3105	-0.247367	-2.2887
4.32048	-0.248515	-2.28985
4.33046	-0.249665	-2.291
4.34044	-0.250818	-2.29215
4.35041	-0.251974	-2.29331
4.36039	-0.253132	-2.29447
4.37037	-0.254293	-2.29563
4.38035	-0.255457	-2.29679
4.39032	-0.256623	-2.29796
4.4003	-0.257792	-2.29912
4.41028	-0.258964	-2.3003
4.42026	-0.260138	-2.30147
4.43023	-0.261315	-2.30265
4.44021	-0.262494	-2.30383
4.45019	-0.263677	-2.30501
4.46017	-0.264862	-2.30619
4.47014	-0.266049	-2.30738
4.48012	-0.267239	-2.30857
4.4901	-0.268432	-2.30977
4.50008	-0.269628	-2.31096
4.51005	-0.270826	-2.31216
4.52003	-0.272027	-2.31336
4.53001	-0.27323	-2.31456
4.53998	-0.274436	-2.31577
4.54996	-0.275645	-2.31698
4.55994	-0.276857	-2.31819
4.56992	-0.278071	-2.3194
4.57989	-0.279288	-2.32062
4.58987	-0.280507	-2.32184
4.59985	-0.281729	-2.32306
4.60983	-0.282954	-2.32429
4.6198	-0.284181	-2.32551
4.62978	-0.285411	-2.32674
4.63976	-0.286644	-2.32798
4.64974	-0.287879	-2.32921
4.65971	-0.289117	-2.33045
4.66969	-0.290358	-2.33169
4.67967	-0.291601	-2.33293
4.68965	-0.292847	-2.33418
4.69962	-0.294096	-2.33543
4.7096	-0.295347	-2.33668
4.71958	-0.296601	-2.33793
4.72956	-0.297858	-2.33919
4.73953	-0.299117	-2.34045
4.74951	-0.300379	-2.34171
4.75949	-0.301644	-2.34298
4.76947	-0.302911	-2.34424
4.77944	-0.304181	-2.34551
4.78942	-0.305453	-2.34679
4.7994	-0.306729	-2.34806
4.80938	-0.308006	-2.34934
4.81935	-0.309287	-2.35062
4.82933	-0.31057	-2.3519
4.83931	-0.311856	-2.35319
4.84929	-0.313144	-2.35448
4.85926	-0.314436	-2.35577
4.86924	-0.315729	-2.35706
4.87922	-0.317026	-2.35836
4.8892	-0.318325	-2.35966
4.89917	-0.319627	-2.36096
4.90915	-0.320931	-2.36226
4.91913	-0.322238	-2.36357
4.92911	-0.323548	-2.36488
4.93908	-0.32486	-2.36619
4.94906	-0.326175	-2.36751
4.95904	-0.327493	-2.36883
4.96902	-0.328813	-2.37015
4.97899	-0.330136	-2.37147
4.98897	-0.331462	-2.37279
4.99895	-0.33279	-2.37412
5.00893	-0.334121	-2.37545
5.0189	-0.335455	-2.37679
5.02888	-0.336791	-2.37812
5.03886	-0.33813	-2.37946
5.04884	-0.339472	-2.3808
5.05881	-0.340816	-2.38215
5.06879	-0.342163	-2.3835
5.07877	-0.343512	-2.38485
5.08875	-0.344864	-2.3862
5.09872	-0.346219	-2.38755
5.1087	-0.347577	-2.38891
5.11868	-0.348937	-2.39027
5.12866	-0.3503	-2.39163
5.13863	-0.351665	-2.393
5.14861	-0.353033	-2.39437
5.15859	-0.354404	-2.39574
5.16857	-0.355777	-2.39711
5.17854	-0.357153	-2.39849
5.18852	-0.358532	-2.39987
5.1985	-0.359914	-2.40125
5.20848	-0.361298	-2.40263
5.21845	-0.362684	-2.40402
5.22843	-0.364074	-2.40541
5.23841	-0.365466	-2.4068
5.24839	-0.36686	-2.40819
5.25836	-0.368258	-2.40959
5.26834	-0.369658	-2.41099
5.27832	-0.37106	-2.41239
5.2883	-0.372465	-2.4138
5.29827	-0.373873	-2.41521
5.30825	-0.375284	-2.41662
5.31823	-0.376697	-2.41803
5.32821	-0.378113	-2.41945
5.33818	-0.379532	-2.42086
5.34816	-0.380953	-2.42229
5.35814	-0.382377	-2.42371
5.36812	-0.383803	-2.42514
5.37809	-0.385232	-2.42657
5.38807	-0.386664	-2.428
5.39805	-0.388098	-2.42943
5.40803	-0.389535	-2.43087
5.418	-0.390975	-2.43231
5.42798	-0.392418	-2.43375
5.43796	-0.393863	-2.4352
5.44794	-0.39531	-2.43664
5.45791	-0.396761	-2.43809
5.46789	-0.398214	-2.43955
5.47787	-0.399669	-2.441
5.48785	-0.401128	-2.44246
5.49782	-0.402589	-2.44392
5.5078	-0.404052	-2.44539
5.51778	-0.405518	-2.44685
5.52776	-0.406987	-2.44832
5.53773	-0.408459	-2.44979
5.54771	-0.409933	-2.45127
5.55769	-0.41141	-2.45274
5.56767	-0.412889	-2.45422
5.57764	-0.414372	-2.4557
5.58762	-0.415856	-2.45719
5.5976	-0.417344	-2.45868
5.60758	-0.418834	-2.46017
5.61755	-0.420327	-2.46166
5.62753	-0.421822	-2.46316
5.63751	-0.42332	-2.46465
5.64749	-0.424821	-2.46615
5.65746	-0.426324	-2.46766
5.66744	-0.42783	-2.46916
5.67742	-0.429339	-2.47067
5.6874	-0.43085	-2.47218
5.69737	-0.432364	-2.4737
5.70735	-0.433881	-2.47521
5.71733	-0.4354	-2.47673
5.72731	-0.436922	-2.47826
5.73728	-0.438447	-2.47978
5.74726	-0.439974	-2.48131
5.75724	-0.441504	-2.48284
5.76722	-0.443036	-2.48437
5.77719	-0.444571	-2.4859
5.78717	-0.446109	-2.48744
5.79715	-0.44765	-2.48898
5.80713	-0.449193	-2.49053
5.8171	-0.450739	-2.49207
5.82708	-0.452287	-2.49362
5.83706	-0.453838	-2.49517
5.84704	-0.455392	-2.49672
5.85701	-0.456948	-2.49828
5.86699	-0.458507	-2.49984
5.87697	-0.460069	-2.5014
5.88695	-0.461633	-2.50297
5.89692	-0.4632	-2.50453
5.9069	-0.464769	-2.5061
5.91688	-0.466342	-2.50767
5.92686	-0.467917	-2.50925
5.93683	-0.469494	-2.51083
5.94681	-0.471074	-2.51241
5.95679	-0.472657	-2.51399
5.96677	-0.474243	-2.51558
5.97674	-0.475831	-2.51716
5.98672	-0.477421	-2.51875
5.9967	-0.479015	-2.52035
6.00668	-0.480611	-2.52194
6.01665	-0.48221	-2.52354
6.02663	-0.483811	-2.52514
6.03661	-0.485415	-2.52675
6.04659	-0.487022	-2.52835
6.05656	-0.488631	-2.52996
6.06654	-0.490243	-2.53158
6.07652	-0.491857	-2.53319
6.0865	-0.493475	-2.53481
6.09647	-0.495094	-2.53643
6.10645	-0.496717	-2.53805
6.11643	-0.498342	-2.53967
6.12641	-0.49997	-2.5413
6.13638	-0.5016	-2.54293
6.14636	-0.503233	-2.54457
6.15634	-0.504869	-2.5462
6.16632	-0.506507	-2.54784
6.17629	-0.508148	-2.54948
6.18627	-0.509792	-2.55113
6.19625	-0.511438	-2.55277
6.20623	-0.513087	-2.55442
6.2162	-0.514739	-2.55607
6.22618	-0.516393	-2.55773
6.23616	-0.51805	-2.55938
6.24614	-0.51971	-2.56104
6.25611	-0.521372	-2.5627
6.26609	-0.523037	-2.56437
6.27607	-0.524704	-2.56604
6.28605	-0.526374	-2.56771
6.29602	-0.528047	-2.56938
6.306	-0.529722	-2.57106
6.31598	-0.5314	-2.57273
6.32596	-0.533081	-2.57441
6.33593	-0.534764	-2.5761
6.34591	-0.53645	-2.57778
6.35589	-0.538139	-2.57947
6.36587	-0.53983	-2.58116
6.37584	-0.541524	-2.58286
6.38582	-0.54322	-2.58455
6.3958	-0.54492	-2.58625
6.40578	-0.546621	-2.58795
6.41575	-0.548326	-2.58966
6.42573	-0.550033	-2.59137
6.43571	-0.551743	-2.59308
6.44569	-0.553455	-2.59479
6.45566	-0.55517	-2.5965
6.46564	-0.556888	-2.59822
6.47562	-0.558608	-2.59994
6.4856	-0.560331	-2.60166
6.49557	-0.562056	-2.60339
6.50555	-0.563785	-2.60512
6.51553	-0.565515	-2.60685
6.52551	-0.567249	-2.60858
6.53548	-0.568985	-2.61032
6.54546	-0.570724	-2.61206
6.55544	-0.572465	-2.6138
6.56542	-0.574209	-2.61554
6.57539	-0.575956	-2.61729
6.58537	-0.577705	-2.61904
6.59535	-0.579457	-2.62079
6.60533	-0.581212	-2.62254
6.6153	-0.582969	-2.6243
6.62528	-0.584729	-2.62606
6.63526	-0.586491	-2.62782
6.64524	-0.588256	-2.62959
6.65521	-0.590024	-2.63136
6.66519	-0.591795	-2.63313
6.67517	-0.593568	-2.6349
6.68515	-0.595343	-2.63668
6.69512	-0.597122	-2.63845
6.7051	-0.598902	-2.64024
6.71508	-0.600686	-2.64202
6.72506	-0.602472	-2.64381
6.73503	-0.604261	-2.64559
6.74501	-0.606053	-2.64739
6.75499	-0.607847	-2.64918
6.76497	-0.609644	-2.65098
6.77494	-0.611443	-2.65278
6.78492	-0.613245	-2.65458
6.7949	-0.61505	-2.65638
6.80488	-0.616857	-2.65819
6.81485	-0.618667	-2.66
6.82483	-0.620479	-2.66181
6.83481	-0.622295	-2.66363
6.84479	-0.624112	-2.66545
6.85476	-0.625933	-2.66727
6.86474	-0.627756	-2.66909
6.87472	-0.629582	-2.67091
6.8847	-0.63141	-2.67274
6.89467	-0.633241	-2.67457
6.90465	-0.635075	-2.67641
6.91463	-0.636911	-2.67824
6.92461	-0.63875	-2.68008
6.93458	-0.640591	-2.68192
6.94456	-0.642435	-2.68377
6.95454	-0.644282	-2.68562
6.96452	-0.646132	-2.68746
6.97449	-0.647984	-2.68932
6.98447	-0.649838	-2.69117
