Freq_GHz	Norm_dB_model	Model_dBm_5mA
0.1	0	-3.9795
0.109977	-2.19052e-05	-3.97953
0.119955	-4.58921e-05	-3.97955
0.129932	-7.19608e-05	-3.97958
0.13991	-0.000100111	-3.9796
0.149887	-0.000130343	-3.97963
0.159865	-0.000162657	-3.97967
0.169842	-0.000197053	-3.9797
0.17982	-0.000233531	-3.97974
0.189797	-0.00027209	-3.97978
0.199775	-0.000312731	-3.97982
0.209752	-0.000355454	-3.97986
0.21973	-0.000400259	-3.9799
0.229707	-0.000447146	-3.97995
0.239685	-0.000496115	-3.98
0.249662	-0.000547165	-3.98005
0.25964	-0.000600297	-3.9801
0.269617	-0.000655511	-3.98016
0.279595	-0.000712807	-3.98022
0.289572	-0.000772185	-3.98028
0.29955	-0.000833645	-3.98034
0.309527	-0.000897187	-3.9804
0.319505	-0.000962811	-3.98047
0.329482	-0.00103052	-3.98054
0.33946	-0.0011003	-3.9806
0.349437	-0.00117217	-3.98068
0.359415	-0.00124613	-3.98075
0.369392	-0.00132216	-3.98083
0.37937	-0.00140028	-3.9809
0.389347	-0.00148047	-3.98099
0.399325	-0.00156275	-3.98107
0.409302	-0.00164712	-3.98115
0.41928	-0.00173356	-3.98124
0.429257	-0.00182209	-3.98133
0.439235	-0.0019127	-3.98142
0.449212	-0.00200539	-3.98151
0.45919	-0.00210016	-3.9816
0.469167	-0.00219701	-3.9817
0.479145	-0.00229595	-3.9818
0.489122	-0.00239697	-3.9819
0.4991	-0.00250007	-3.982
0.509077	-0.00260526	-3.98211
0.519055	-0.00271252	-3.98222
0.529032	-0.00282187	-3.98233
0.53901	-0.0029333	-3.98244
0.548987	-0.00304682	-3.98255
0.558965	-0.00316242	-3.98267
0.568942	-0.00328009	-3.98278
0.57892	-0.00339986	-3.9829
0.588897	-0.0035217	-3.98303
0.598875	-0.00364563	-3.98315
0.608852	-0.00377163	-3.98328
0.61883	-0.00389973	-3.9834
0.628807	-0.0040299	-3.98353
0.638785	-0.00416216	-3.98367
0.648762	-0.0042965	-3.9838
0.65874	-0.00443292	-3.98394
0.668717	-0.00457142	-3.98408
0.678695	-0.00471201	-3.98422
0.688672	-0.00485468	-3.98436
0.69865	-0.00499944	-3.9845
0.708627	-0.00514627	-3.98465
0.718605	-0.00529519	-3.9848
0.728582	-0.00544619	-3.98495
0.73856	-0.00559928	-3.9851
0.748537	-0.00575445	-3.98526
0.758515	-0.0059117	-3.98542
0.768492	-0.00607103	-3.98558
0.77847	-0.00623245	-3.98574
0.788447	-0.00639595	-3.9859
0.798425	-0.00656154	-3.98607
0.808402	-0.0067292	-3.98623
0.81838	-0.00689895	-3.9864
0.828357	-0.00707079	-3.98658
0.838335	-0.00724471	-3.98675
0.848312	-0.00742071	-3.98693
0.85829	-0.00759879	-3.9871
0.868267	-0.00777896	-3.98728
0.878245	-0.00796121	-3.98747
0.888222	-0.00814554	-3.98765
0.8982	-0.00833196	-3.98784
0.908177	-0.00852046	-3.98803
0.918155	-0.00871105	-3.98822
0.928132	-0.00890372	-3.98841
0.93811	-0.00909847	-3.9886
0.948087	-0.00929531	-3.9888
0.958065	-0.00949423	-3.989
0.968042	-0.00969523	-3.9892
0.97802	-0.00989832	-3.9894
0.987997	-0.0101035	-3.98961
0.997974	-0.0103108	-3.98982
1.00795	-0.0105201	-3.99002
1.01793	-0.0107315	-3.99024
1.02791	-0.010945	-3.99045
1.03788	-0.0111606	-3.99067
1.04786	-0.0113783	-3.99088
1.05784	-0.0115981	-3.9911
1.06782	-0.0118199	-3.99132
1.07779	-0.0120438	-3.99155
1.08777	-0.0122699	-3.99177
1.09775	-0.012498	-3.992
1.10773	-0.0127281	-3.99223
1.1177	-0.0129604	-3.99247
1.12768	-0.0131948	-3.9927
1.13766	-0.0134312	-3.99294
1.14764	-0.0136697	-3.99317
1.15761	-0.0139103	-3.99341
1.16759	-0.014153	-3.99366
1.17757	-0.0143978	-3.9939
1.18755	-0.0146447	-3.99415
1.19752	-0.0148936	-3.9944
1.2075	-0.0151446	-3.99465
1.21748	-0.0153978	-3.9949
