Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
34.4014	0.208654	0.454919	0.186805	0.400777	10.4327	22.746	9.34024	20.0389
34.6013	0.215037	0.470016	0.18568	0.40715	10.7519	23.5008	9.28398	20.3575
34.8013	0.218321	0.47831	0.184579	0.413511	10.9161	23.9155	9.22894	20.6755
35.0012	0.211537	0.490788	0.183502	0.419861	10.5769	24.5394	9.17509	20.993
35.2012	0.214549	0.502099	0.182449	0.426199	10.7274	25.1049	9.12243	21.31
35.4012	0.203602	0.497033	0.181418	0.432527	10.1801	24.8517	9.07092	21.6263
35.6011	0.226264	0.512504	0.180411	0.438844	11.3132	25.6252	9.02056	21.9422
35.801	0.211703	0.522711	0.179426	0.445149	10.5852	26.1356	8.97131	22.2575
36.001	0.217607	0.543835	0.178464	0.451444	10.8804	27.1917	8.92318	22.5722
36.2009	0.215747	0.544771	0.177523	0.457728	10.7874	27.2385	8.87613	22.8864
36.4009	0.21665	0.560475	0.176603	0.464001	10.8325	28.0238	8.83015	23.2001
36.6009	0.225737	0.569744	0.175705	0.470264	11.2868	28.4872	8.78524	23.5132
36.8008	0.218985	0.582	0.174827	0.476516	10.9493	29.1	8.74136	23.8258
37.0007	0.22535	0.594329	0.17397	0.482757	11.2675	29.7165	8.6985	24.1379
37.2007	0.22248	0.598214	0.173133	0.488988	11.124	29.9107	8.65666	24.4494
37.4006	0.22453	0.611961	0.172316	0.495208	11.2265	30.598	8.61581	24.7604
37.6006	0.232089	0.618738	0.171519	0.501419	11.6045	30.9369	8.57594	25.0709
37.8006	0.219764	0.633322	0.170741	0.507619	10.9882	31.6661	8.53703	25.3809
38.0005	0.230668	0.639045	0.169981	0.513808	11.5334	31.9522	8.49907	25.6904
38.2004	0.220632	0.650714	0.169241	0.519988	11.0316	32.5357	8.46206	25.9994
38.4004	0.227679	0.657815	0.168519	0.526158	11.3839	32.8908	8.42596	26.3079
38.6003	0.227994	0.661487	0.167816	0.532317	11.3997	33.0744	8.39078	26.6159
38.8003	0.228396	0.686228	0.16713	0.538467	11.4198	34.3114	8.3565	26.9234
39.0003	0.232181	0.680169	0.166462	0.544607	11.609	34.0085	8.3231	27.2304
39.2002	0.233778	0.713308	0.165811	0.550738	11.6889	35.6654	8.29057	27.5369
39.4001	0.237287	0.707971	0.165178	0.556859	11.8643	35.3985	8.25891	27.8429
39.6001	0.241041	0.728511	0.164562	0.56297	12.0521	36.4255	8.22809	28.1485
39.8	0.240352	0.737753	0.163962	0.569072	12.0176	36.8876	8.19811	28.4536
40	0.246267	0.745039	0.163379	0.575164	12.3134	37.2519	8.16896	28.7582
