Freq_GHz	Norm_dB_model	Model_dBm_5mA
0.1	0	-9.33521
0.109977	-6.89435e-06	-9.33522
0.119955	-1.44439e-05	-9.33523
0.129932	-2.26487e-05	-9.33524
0.13991	-3.15087e-05	-9.33525
0.149887	-4.10239e-05	-9.33526
0.159865	-5.11944e-05	-9.33527
0.169842	-6.20201e-05	-9.33528
0.17982	-7.35011e-05	-9.33529
0.189797	-8.56373e-05	-9.3353
0.199775	-9.84288e-05	-9.33531
0.209752	-0.000111876	-9.33533
0.21973	-0.000125978	-9.33534
0.229707	-0.000140735	-9.33535
0.239685	-0.000156148	-9.33537
0.249662	-0.000172215	-9.33539
0.25964	-0.000188939	-9.3354
0.269617	-0.000206317	-9.33542
0.279595	-0.000224351	-9.33544
0.289572	-0.000243041	-9.33546
0.29955	-0.000262385	-9.33548
0.309527	-0.000282385	-9.3355
0.319505	-0.000303041	-9.33552
0.329482	-0.000324351	-9.33554
0.33946	-0.000346318	-9.33556
0.349437	-0.000368939	-9.33558
0.359415	-0.000392216	-9.33561
0.369392	-0.000416149	-9.33563
0.37937	-0.000440737	-9.33565
0.389347	-0.00046598	-9.33568
0.399325	-0.00049188	-9.33571
0.409302	-0.000518434	-9.33573
0.41928	-0.000545644	-9.33576
0.429257	-0.00057351	-9.33579
0.439235	-0.000602031	-9.33582
0.449212	-0.000631208	-9.33585
0.45919	-0.00066104	-9.33588
0.469167	-0.000691528	-9.33591
0.479145	-0.000722672	-9.33594
0.489122	-0.000754471	-9.33597
0.4991	-0.000786926	-9.336
0.509077	-0.000820037	-9.33603
0.519055	-0.000853804	-9.33607
0.529032	-0.000888226	-9.3361
0.53901	-0.000923304	-9.33614
0.548987	-0.000959038	-9.33617
0.558965	-0.000995427	-9.33621
0.568942	-0.00103247	-9.33625
0.57892	-0.00107017	-9.33628
0.588897	-0.00110853	-9.33632
0.598875	-0.00114754	-9.33636
0.608852	-0.00118721	-9.3364
0.61883	-0.00122754	-9.33644
0.628807	-0.00126852	-9.33648
0.638785	-0.00131016	-9.33652
0.648762	-0.00135245	-9.33657
0.65874	-0.0013954	-9.33661
0.668717	-0.001439	-9.33665
0.678695	-0.00148327	-9.3367
0.688672	-0.00152818	-9.33674
0.69865	-0.00157376	-9.33679
0.708627	-0.00161999	-9.33683
0.718605	-0.00166687	-9.33688
0.728582	-0.00171442	-9.33693
0.73856	-0.00176261	-9.33698
0.748537	-0.00181147	-9.33703
0.758515	-0.00186098	-9.33708
0.768492	-0.00191115	-9.33713
0.77847	-0.00196197	-9.33718
0.788447	-0.00201345	-9.33723
0.798425	-0.00206559	-9.33728
0.808402	-0.00211838	-9.33733
0.81838	-0.00217183	-9.33739
0.828357	-0.00222594	-9.33744
0.838335	-0.0022807	-9.33749
0.848312	-0.00233612	-9.33755
0.85829	-0.0023922	-9.33761
