Freq_GHz	Norm_dB_meas	Norm_dB_model_hole
0.5	0	1.92865e-15
1	-0.132985	-0.00111066
1.67	-0.2422	-0.00376313
2.17	-0.220597	-0.00661521
2.67	-0.22	-0.0102178
3.25	-0.282537	-0.0153441
3.75	-0.33	-0.0205876
4.08	-0.3466	-0.0244705
4.75	-0.45	-0.0333988
5.25	-0.374925	-0.0409861
5.75	-0.48	-0.0493767
6.08	-0.4112	-0.0553608
6.83	-0.4068	-0.0703063
7.33	-0.4468	-0.0813292
7.67	-0.424848	-0.0893196
8.17	-0.504925	-0.101812
8.67	-0.5166	-0.115207
9.17	-0.6132	-0.129527
9.5	-0.49	-0.139496
10.17	-0.54	-0.16104
10.67	-0.472121	-0.178288
11.17	-0.4996	-0.196571
11.5	-0.4798	-0.209219
12.17	-0.7196	-0.236368
12.67	-0.76	-0.257955
13.17	-0.691807	-0.280717
13.67	-0.704545	-0.304697
14.17	-0.639552	-0.329937
14.67	-0.4596	-0.356483
15.17	-0.4932	-0.384383
15.67	-0.773	-0.413688
16.33	-1.0302	-0.454609
16.83	-0.7298	-0.487376
17.17	-0.947463	-0.510561
17.83	-0.707576	-0.557731
18.33	-0.58	-0.595439
18.83	-0.547879	-0.634918
19.5	-0.655	-0.690709
20	-1.295	-0.734589
20.5	-0.8366	-0.780461
21	-1.2736	-0.828396
21.33	-0.8	-0.861197
22	-0.82	-0.930734
22.33	-0.5468	-0.966473
23	-0.732537	-1.04216
23.5	-1.2502	-1.10147
24	-1.4136	-1.16325
24.5	-1.3602	-1.22758
25	-1.41	-1.29453
25.5	-1.107	-1.36416
26	-1.514	-1.43653
26.5	-1.107	-1.5117
27.25	-1.887	-1.62982
27.58	-2.04	-1.68387
28.08	-2.34485	-1.76823
28.75	-1.8564	-1.88599
29.25	-1.6962	-1.97743
29.75	-1.686	-2.07195
30.25	-2.8536	-2.16957
31.08	-2.83	-2.33852
31.67	-3.28627	-2.46387
32.17	-2.9212	-2.57351
32.67	-3.3108	-2.68629
33.17	-2.3372	-2.80218
33.83	-2.6	-2.95989
34.67	-4.3456	-3.1683
35	-4.4196	-3.2525
35.67	-5.3844	-3.42741
36.17	-3.84358	-3.56133
36.67	-3.84402	-3.69808
