Freq_GHz	Norm_dB_model_hole
0.1	-2.57956e-05
0.109982	-3.77693e-05
0.119964	-5.08814e-05
0.129946	-6.5132e-05
0.139928	-8.0521e-05
0.14991	-9.70484e-05
0.159892	-0.000114714
0.169874	-0.000133519
0.179856	-0.000153462
0.189838	-0.000174543
0.19982	-0.000196763
0.209802	-0.000220122
0.219784	-0.000244619
0.229766	-0.000270255
0.239748	-0.000297029
0.24973	-0.000324942
0.259712	-0.000353994
0.269694	-0.000384184
0.279676	-0.000415513
0.289658	-0.000447981
0.29964	-0.000481587
0.309622	-0.000516332
0.319604	-0.000552216
0.329586	-0.000589239
0.339568	-0.000627401
0.34955	-0.000666701
0.359532	-0.000707141
0.369514	-0.000748719
0.379496	-0.000791437
0.389478	-0.000835293
0.39946	-0.000880288
0.409442	-0.000926423
0.419424	-0.000973696
0.429406	-0.00102211
0.439388	-0.00107166
0.44937	-0.00112235
0.459352	-0.00117418
0.469334	-0.00122715
0.479316	-0.00128126
0.489298	-0.00133651
0.49928	-0.0013929
0.509262	-0.00145043
0.519244	-0.00150909
0.529226	-0.0015689
0.539208	-0.00162984
0.54919	-0.00169193
0.559172	-0.00175516
0.569154	-0.00181952
0.579136	-0.00188502
0.589118	-0.00195167
0.5991	-0.00201945
0.609082	-0.00208838
0.619064	-0.00215844
0.629046	-0.00222965
0.639028	-0.00230199
0.64901	-0.00237548
0.658992	-0.0024501
0.668974	-0.00252587
0.678956	-0.00260277
0.688938	-0.00268082
0.69892	-0.00276001
0.708902	-0.00284033
0.718884	-0.0029218
0.728866	-0.00300441
0.738848	-0.00308816
0.74883	-0.00317305
0.758812	-0.00325908
0.768794	-0.00334625
0.778776	-0.00343456
0.788758	-0.00352401
0.79874	-0.00361461
0.808722	-0.00370634
0.818704	-0.00379922
0.828686	-0.00389324
0.838668	-0.0039884
0.84865	-0.0040847
0.858632	-0.00418214
0.868614	-0.00428072
0.878596	-0.00438045
0.888578	-0.00448132
0.89856	-0.00458332
0.908542	-0.00468648
0.918524	-0.00479077
0.928506	-0.0048962
0.938488	-0.00500278
0.94847	-0.0051105
0.958452	-0.00521936
0.968434	-0.00532936
0.978416	-0.00544051
0.988398	-0.0055528
0.99838	-0.00566623
1.00836	-0.0057808
1.01834	-0.00589652
1.02833	-0.00601338
1.03831	-0.00613138
1.04829	-0.00625053
1.05827	-0.00637082
1.06825	-0.00649225
1.07824	-0.00661483
1.08822	-0.00673855
1.0982	-0.00686341
1.10818	-0.00698941
1.11816	-0.00711656
1.12815	-0.00724486
1.13813	-0.0073743
1.14811	-0.00750488
1.15809	-0.0076366
1.16807	-0.00776947
1.17806	-0.00790349
1.18804	-0.00803864
1.19802	-0.00817495
1.208	-0.0083124
1.21798	-0.00845099
1.22797	-0.00859072
1.23795	-0.00873161
1.24793	-0.00887363
1.25791	-0.00901681
1.26789	-0.00916112
1.27788	-0.00930659
1.28786	-0.00945319
1.29784	-0.00960095
1.30782	-0.00974985
1.3178	-0.00989989
1.32779	-0.0100511
1.33777	-0.0102034
1.34775	-0.0103569
1.35773	-0.0105115
1.36771	-0.0106673
1.3777	-0.0108242
1.38768	-0.0109823
1.39766	-0.0111415
1.40764	-0.0113019
1.41762	-0.0114634
1.42761	-0.011626
1.43759	-0.0117898
1.44757	-0.0119548
1.45755	-0.0121209
1.46753	-0.0122881
1.47752	-0.0124565
1.4875	-0.0126261
1.49748	-0.0127968
1.50746	-0.0129686
1.51744	-0.0131416
1.52743	-0.0133157
1.53741	-0.013491
1.54739	-0.0136674
1.55737	-0.013845
1.56735	-0.0140237
1.57734	-0.0142036
1.58732	-0.0143847
1.5973	-0.0145668
1.60728	-0.0147502
1.61726	-0.0149346
1.62725	-0.0151203
1.63723	-0.015307
1.64721	-0.015495
1.65719	-0.015684
1.66717	-0.0158743
1.67716	-0.0160656
1.68714	-0.0162582
1.69712	-0.0164518
1.7071	-0.0166467
1.71708	-0.0168426
1.72707	-0.0170398
1.73705	-0.017238
1.74703	-0.0174375
1.75701	-0.0176381
1.76699	-0.0178398
1.77698	-0.0180427
1.78696	-0.0182467
1.79694	-0.0184519
1.80692	-0.0186583
1.8169	-0.0188658
1.82689	-0.0190744
1.83687	-0.0192842
1.84685	-0.0194952
1.85683	-0.0197073
1.86681	-0.0199205
1.8768	-0.0201349
1.88678	-0.0203505
1.89676	-0.0205672
1.90674	-0.0207851
1.91672	-0.0210041
1.92671	-0.0212243
1.93669	-0.0214457
1.94667	-0.0216682
1.95665	-0.0218918
1.96663	-0.0221166
1.97662	-0.0223426
1.9866	-0.0225697
1.99658	-0.0227979
2.00656	-0.0230274
2.01654	-0.023258
2.02653	-0.0234897
2.03651	-0.0237226
2.04649	-0.0239566
2.05647	-0.0241918
2.06645	-0.0244282
2.07644	-0.0246657
2.08642	-0.0249044
2.0964	-0.0251442
2.10638	-0.0253852
2.11636	-0.0256273
2.12635	-0.0258707
2.13633	-0.0261151
2.14631	-0.0263607
2.15629	-0.0266075
2.16627	-0.0268555
2.17626	-0.0271045
2.18624	-0.0273548
2.19622	-0.0276062
2.2062	-0.0278588
2.21618	-0.0281125
2.22617	-0.0283674
2.23615	-0.0286235
2.24613	-0.0288807
2.25611	-0.029139
2.26609	-0.0293986
2.27608	-0.0296593
2.28606	-0.0299211
2.29604	-0.0301841
2.30602	-0.0304483
2.316	-0.0307136
2.32599	-0.0309801
2.33597	-0.0312478
2.34595	-0.0315166
2.35593	-0.0317866
2.36591	-0.0320577
2.3759	-0.03233
2.38588	-0.0326035
2.39586	-0.0328781
2.40584	-0.0331539
2.41582	-0.0334309
2.42581	-0.033709
2.43579	-0.0339883
2.44577	-0.0342688
2.45575	-0.0345504
2.46573	-0.0348331
2.47572	-0.0351171
2.4857	-0.0354022
2.49568	-0.0356885
2.50566	-0.0359759
2.51564	-0.0362645
2.52563	-0.0365543
2.53561	-0.0368452
2.54559	-0.0371373
2.55557	-0.0374306
2.56555	-0.037725
2.57554	-0.0380206
2.58552	-0.0383174
2.5955	-0.0386153
2.60548	-0.0389144
2.61546	-0.0392147
2.62545	-0.0395161
2.63543	-0.0398187
2.64541	-0.0401225
2.65539	-0.0404274
