Freq_GHz	Norm_dB_model_hole
2.71528	-0.0109623
2.72527	-0.0110433
2.73525	-0.0111245
2.74523	-0.0112061
2.75521	-0.011288
2.76519	-0.0113701
2.77518	-0.0114526
2.78516	-0.0115354
2.79514	-0.0116185
2.80512	-0.0117018
2.8151	-0.0117855
2.82509	-0.0118695
2.83507	-0.0119538
2.84505	-0.0120384
2.85503	-0.0121233
2.86501	-0.0122084
2.87499	-0.0122939
2.88498	-0.0123797
2.89496	-0.0124658
2.90494	-0.0125522
2.91492	-0.0126389
2.9249	-0.0127259
2.93489	-0.0128132
2.94487	-0.0129008
2.95485	-0.0129888
2.96483	-0.013077
2.97481	-0.0131655
2.9848	-0.0132543
2.99478	-0.0133434
3.00476	-0.0134328
3.01474	-0.0135226
3.02472	-0.0136126
3.03471	-0.0137029
3.04469	-0.0137936
3.05467	-0.0138845
3.06465	-0.0139758
3.07463	-0.0140673
3.08462	-0.0141592
3.0946	-0.0142513
3.10458	-0.0143438
3.11456	-0.0144365
3.12454	-0.0145296
3.13453	-0.014623
3.14451	-0.0147166
3.15449	-0.0148106
3.16447	-0.0149049
3.17445	-0.0149995
3.18444	-0.0150943
3.19442	-0.0151895
3.2044	-0.015285
3.21438	-0.0153808
3.22436	-0.0154769
3.23435	-0.0155733
3.24433	-0.01567
3.25431	-0.0157671
3.26429	-0.0158644
3.27427	-0.015962
3.28426	-0.0160599
3.29424	-0.0161582
3.30422	-0.0162567
3.3142	-0.0163555
3.32418	-0.0164547
3.33417	-0.0165541
3.34415	-0.0166539
3.35413	-0.016754
3.36411	-0.0168543
3.37409	-0.016955
3.38408	-0.017056
3.39406	-0.0171572
3.40404	-0.0172588
3.41402	-0.0173607
3.424	-0.0174629
3.43399	-0.0175654
3.44397	-0.0176682
3.45395	-0.0177713
3.46393	-0.0178748
3.47391	-0.0179785
3.4839	-0.0180825
3.49388	-0.0181868
3.50386	-0.0182915
3.51384	-0.0183964
3.52382	-0.0185017
3.53381	-0.0186072
3.54379	-0.0187131
3.55377	-0.0188193
3.56375	-0.0189258
3.57373	-0.0190325
3.58372	-0.0191396
3.5937	-0.019247
3.60368	-0.0193547
3.61366	-0.0194627
3.62364	-0.019571
3.63363	-0.0196797
3.64361	-0.0197886
3.65359	-0.0198978
3.66357	-0.0200074
3.67355	-0.0201172
3.68354	-0.0202274
3.69352	-0.0203378
3.7035	-0.0204486
3.71348	-0.0205597
3.72346	-0.0206711
3.73345	-0.0207828
3.74343	-0.0208948
3.75341	-0.0210071
3.76339	-0.0211197
3.77337	-0.0212326
3.78336	-0.0213458
3.79334	-0.0214594
3.80332	-0.0215732
3.8133	-0.0216874
3.82328	-0.0218018
3.83327	-0.0219166
3.84325	-0.0220317
3.85323	-0.0221471
3.86321	-0.0222628
3.87319	-0.0223788
3.88318	-0.0224951
3.89316	-0.0226117
3.90314	-0.0227286
3.91312	-0.0228459
3.9231	-0.0229634
3.93309	-0.0230813
3.94307	-0.0231994
3.95305	-0.0233179
3.96303	-0.0234367
3.97301	-0.0235558
3.983	-0.0236752
3.99298	-0.0237949
