Freq_GHz	Norm_dB_meas	Norm_dB_model_hole
0.33	0	0
0.83	-0.0759701	-0.0033149
1.33	-0.341515	-0.00949398
1.83	-0.4378	-0.0185489
2.5	-0.809403	-0.0352219
2.92	-0.65	-0.0483469
3.42	-0.605075	-0.0666854
3.92	-0.6934	-0.0880049
4.42	-0.5668	-0.112343
4.92	-0.97	-0.139742
5.58	-0.795075	-0.180674
6.08	-1.1512	-0.215357
6.67	-1.1732	-0.26044
7.17	-1.2232	-0.302233
7.67	-0.994848	-0.347381
8.17	-1.02493	-0.395944
8.67	-1.2566	-0.447987
9.17	-1.5432	-0.503572
9.83	-1.44522	-0.582474
10.33	-1.66788	-0.64652
11	-1.5298	-0.738229
11.33	-1.55	-0.785918
11.83	-1.19	-0.861386
12.5	-1.67	-0.968665
13	-2.07819	-1.05338
13.67	-2.64455	-1.17321
14.17	-2.04955	-1.26741
14.67	-2.1296	-1.3657
15.17	-2.0232	-1.46813
15.67	-2.413	-1.57469
16.17	-2.0298	-1.68541
16.67	-2.9202	-1.80028
17.33	-3.15507	-1.95826
17.83	-2.99758	-2.08272
18.33	-2.56	-2.21128
18.83	-2.45788	-2.3439
19.33	-2.64	-2.48054
19.83	-3.52273	-2.62114
20.33	-3.04	-2.76566
21	-3.8536	-2.96531
21.5	-3.58	-3.1187
17.17	-3.06746	-1.9193
17.67	-3.01	-2.04245
18.17	-2.57242	-2.1697
18.67	-2.59	-2.30102
19	-2.595	-2.38991
19.67	-2.94	-2.57572
20.33	-3.45	-2.76566
20.67	-4.2832	-2.86612
21.17	-3.3372	-3.01705
21.67	-3.61	-3.17168
22.17	-3.1532	-3.32995
22.67	-3.59746	-3.49174
23.33	-3.8604	-3.71057
24	-4.3936	-3.93859
24.33	-4.6004	-4.053
24.83	-4.78	-4.2289
25.33	-4.67	-4.40776
25.83	-4.39	-4.58948
26.33	-4.4	-4.77393
