Freq_GHz	Norm_dB_model_hole
0.1	-2.57956e-05
0.109982	-3.19605e-05
0.119964	-3.87115e-05
0.129946	-4.60487e-05
0.139928	-5.39721e-05
0.14991	-6.24816e-05
0.159892	-7.15772e-05
0.169874	-8.1259e-05
0.179856	-9.1527e-05
0.189838	-0.000102381
0.19982	-0.000113822
0.209802	-0.000125848
0.219784	-0.000138461
0.229766	-0.00015166
0.239748	-0.000165445
0.24973	-0.000179816
0.259712	-0.000194774
0.269694	-0.000210318
0.279676	-0.000226448
0.289658	-0.000243164
0.29964	-0.000260467
0.309622	-0.000278355
0.319604	-0.000296831
0.329586	-0.000315892
0.339568	-0.00033554
0.34955	-0.000355774
0.359532	-0.000376594
0.369514	-0.000398001
0.379496	-0.000419994
0.389478	-0.000442573
0.39946	-0.000465739
0.409442	-0.000489491
0.419424	-0.00051383
0.429406	-0.000538755
0.439388	-0.000564267
0.44937	-0.000590365
0.459352	-0.000617049
0.469334	-0.00064432
0.479316	-0.000672177
0.489298	-0.000700621
0.49928	-0.000729651
0.509262	-0.000759268
0.519244	-0.000789472
0.529226	-0.000820262
0.539208	-0.000851639
0.54919	-0.000883602
0.559172	-0.000916152
0.569154	-0.000949288
0.579136	-0.000983012
0.589118	-0.00101732
0.5991	-0.00105222
0.609082	-0.0010877
0.619064	-0.00112377
0.629046	-0.00116043
0.639028	-0.00119767
0.64901	-0.0012355
0.658992	-0.00127392
0.668974	-0.00131292
0.678956	-0.00135252
0.688938	-0.00139269
0.69892	-0.00143346
0.708902	-0.00147481
0.718884	-0.00151675
0.728866	-0.00155927
0.738848	-0.00160239
0.74883	-0.00164609
0.758812	-0.00169037
0.768794	-0.00173525
0.778776	-0.00178071
0.788758	-0.00182676
0.79874	-0.00187339
0.808722	-0.00192062
0.818704	-0.00196843
0.828686	-0.00201682
0.838668	-0.00206581
0.84865	-0.00211538
0.858632	-0.00216554
0.868614	-0.00221629
0.878596	-0.00226762
0.888578	-0.00231954
0.89856	-0.00237205
0.908542	-0.00242515
0.918524	-0.00247883
0.928506	-0.0025331
0.938488	-0.00258796
0.94847	-0.00264341
0.958452	-0.00269944
0.968434	-0.00275606
0.978416	-0.00281327
0.988398	-0.00287107
0.99838	-0.00292945
1.00836	-0.00298843
1.01834	-0.00304799
1.02833	-0.00310814
1.03831	-0.00316887
1.04829	-0.0032302
1.05827	-0.00329211
1.06825	-0.00335461
1.07824	-0.0034177
1.08822	-0.00348138
1.0982	-0.00354564
1.10818	-0.00361049
1.11816	-0.00367594
1.12815	-0.00374196
1.13813	-0.00380858
1.14811	-0.00387579
1.15809	-0.00394358
1.16807	-0.00401197
1.17806	-0.00408094
1.18804	-0.0041505
1.19802	-0.00422064
1.208	-0.00429138
1.21798	-0.00436271
1.22797	-0.00443462
1.23795	-0.00450712
1.24793	-0.00458021
1.25791	-0.0046539
1.26789	-0.00472816
1.27788	-0.00480302
1.28786	-0.00487847
1.29784	-0.0049545
1.30782	-0.00503113
1.3178	-0.00510834
1.32779	-0.00518615
1.33777	-0.00526454
1.34775	-0.00534352
1.35773	-0.00542309
1.36771	-0.00550325
1.3777	-0.005584
1.38768	-0.00566533
1.39766	-0.00574726
1.40764	-0.00582978
1.41762	-0.00591289
1.42761	-0.00599658
1.43759	-0.00608087
1.44757	-0.00616574
1.45755	-0.00625121
1.46753	-0.00633726
1.47752	-0.00642391
1.4875	-0.00651114
1.49748	-0.00659896
1.50746	-0.00668738
1.51744	-0.00677638
1.52743	-0.00686597
1.53741	-0.00695616
1.54739	-0.00704693
1.55737	-0.0071383
1.56735	-0.00723025
1.57734	-0.0073228
1.58732	-0.00741593
1.5973	-0.00750966
1.60728	-0.00760397
1.61726	-0.00769888
1.62725	-0.00779438
1.63723	-0.00789046
1.64721	-0.00798714
1.65719	-0.00808441
1.66717	-0.00818227
1.67716	-0.00828072
1.68714	-0.00837976
1.69712	-0.0084794
1.7071	-0.00857962
1.71708	-0.00868043
1.72707	-0.00878184
1.73705	-0.00888384
1.74703	-0.00898643
1.75701	-0.0090896
1.76699	-0.00919338
1.77698	-0.00929774
1.78696	-0.00940269
1.79694	-0.00950824
1.80692	-0.00961437
1.8169	-0.0097211
1.82689	-0.00982842
1.83687	-0.00993633
1.84685	-0.0100448
1.85683	-0.0101539
1.86681	-0.0102636
1.8768	-0.0103739
1.88678	-0.0104848
1.89676	-0.0105962
1.90674	-0.0107083
1.91672	-0.0108209
1.92671	-0.0109342
1.93669	-0.011048
1.94667	-0.0111624
1.95665	-0.0112775
1.96663	-0.0113931
1.97662	-0.0115093
1.9866	-0.0116261
1.99658	-0.0117435
2.00656	-0.0118614
2.01654	-0.01198
2.02653	-0.0120992
2.03651	-0.0122189
2.04649	-0.0123393
2.05647	-0.0124602
2.06645	-0.0125818
2.07644	-0.0127039
2.08642	-0.0128266
2.0964	-0.01295
2.10638	-0.0130739
2.11636	-0.0131984
2.12635	-0.0133235
2.13633	-0.0134492
2.14631	-0.0135755
2.15629	-0.0137024
2.16627	-0.0138298
2.17626	-0.0139579
2.18624	-0.0140866
2.19622	-0.0142158
2.2062	-0.0143457
2.21618	-0.0144761
2.22617	-0.0146072
2.23615	-0.0147388
2.24613	-0.0148711
2.25611	-0.0150039
2.26609	-0.0151373
2.27608	-0.0152713
2.28606	-0.0154059
2.29604	-0.0155411
2.30602	-0.0156769
2.316	-0.0158133
2.32599	-0.0159503
2.33597	-0.0160879
2.34595	-0.0162261
2.35593	-0.0163649
2.36591	-0.0165042
2.3759	-0.0166442
2.38588	-0.0167848
2.39586	-0.0169259
2.40584	-0.0170677
2.41582	-0.0172101
2.42581	-0.017353
2.43579	-0.0174965
2.44577	-0.0176407
2.45575	-0.0177854
2.46573	-0.0179308
2.47572	-0.0180767
2.4857	-0.0182232
2.49568	-0.0183703
2.50566	-0.0185181
2.51564	-0.0186664
2.52563	-0.0188153
2.53561	-0.0189648
2.54559	-0.0191149
2.55557	-0.0192656
2.56555	-0.0194169
2.57554	-0.0195688
2.58552	-0.0197213
2.5955	-0.0198744
2.60548	-0.0200281
2.61546	-0.0201824
2.62545	-0.0203373
2.63543	-0.0204927
2.64541	-0.0206488
2.65539	-0.0208055
2.66537	-0.0209628
2.67536	-0.0211207
2.68534	-0.0212791
2.69532	-0.0214382
2.7053	-0.0215979
2.71528	-0.0217581
2.72527	-0.021919
2.73525	-0.0220805
2.74523	-0.0222425
2.75521	-0.0224052
2.76519	-0.0225685
2.77518	-0.0227323
2.78516	-0.0228968
2.79514	-0.0230619
2.80512	-0.0232275
2.8151	-0.0233938
2.82509	-0.0235606
2.83507	-0.0237281
2.84505	-0.0238962
2.85503	-0.0240648
2.86501	-0.0242341
2.87499	-0.0244039
2.88498	-0.0245744
2.89496	-0.0247455
2.90494	-0.0249171
2.91492	-0.0250894
2.9249	-0.0252622
2.93489	-0.0254357
2.94487	-0.0256098
2.95485	-0.0257844
2.96483	-0.0259597
2.97481	-0.0261355
2.9848	-0.026312
2.99478	-0.0264891
3.00476	-0.0266667
3.01474	-0.026845
3.02472	-0.0270239
3.03471	-0.0272034
3.04469	-0.0273834
3.05467	-0.0275641
3.06465	-0.0277454
3.07463	-0.0279273
3.08462	-0.0281098
3.0946	-0.0282928
3.10458	-0.0284765
3.11456	-0.0286608
3.12454	-0.0288457
3.13453	-0.0290312
3.14451	-0.0292173
3.15449	-0.029404
3.16447	-0.0295913
3.17445	-0.0297792
3.18444	-0.0299677
3.19442	-0.0301568
3.2044	-0.0303465
3.21438	-0.0305369
3.22436	-0.0307278
3.23435	-0.0309193
3.24433	-0.0311114
3.25431	-0.0313042
3.26429	-0.0314975
3.27427	-0.0316915
3.28426	-0.031886
3.29424	-0.0320812
3.30422	-0.0322769
3.3142	-0.0324733
3.32418	-0.0326702
3.33417	-0.0328678
3.34415	-0.033066
3.35413	-0.0332648
3.36411	-0.0334642
3.37409	-0.0336641
3.38408	-0.0338647
3.39406	-0.0340659
3.40404	-0.0342678
3.41402	-0.0344702
3.424	-0.0346732
3.43399	-0.0348768
3.44397	-0.035081
3.45395	-0.0352859
3.46393	-0.0354913
3.47391	-0.0356974
3.4839	-0.035904
3.49388	-0.0361113
3.50386	-0.0363192
3.51384	-0.0365276
3.52382	-0.0367367
3.53381	-0.0369464
3.54379	-0.0371567
