Freq_GHz	Norm_dB_model_hole
2.74523	-0.0522696
2.75521	-0.052653
2.76519	-0.0530378
2.77518	-0.0534241
2.78516	-0.0538118
2.79514	-0.0542008
2.80512	-0.0545914
2.8151	-0.0549833
2.82509	-0.0553767
2.83507	-0.0557715
2.84505	-0.0561677
2.85503	-0.0565654
2.86501	-0.0569645
2.87499	-0.057365
2.88498	-0.0577669
2.89496	-0.0581703
2.90494	-0.0585751
2.91492	-0.0589813
2.9249	-0.059389
2.93489	-0.059798
2.94487	-0.0602086
2.95485	-0.0606205
2.96483	-0.0610339
2.97481	-0.0614487
2.9848	-0.061865
2.99478	-0.0622826
3.00476	-0.0627017
3.01474	-0.0631223
3.02472	-0.0635443
3.03471	-0.0639677
3.04469	-0.0643925
3.05467	-0.0648188
3.06465	-0.0652465
3.07463	-0.0656757
3.08462	-0.0661063
3.0946	-0.0665383
3.10458	-0.0669718
3.11456	-0.0674067
3.12454	-0.067843
3.13453	-0.0682808
3.14451	-0.06872
3.15449	-0.0691606
3.16447	-0.0696027
3.17445	-0.0700463
3.18444	-0.0704912
3.19442	-0.0709376
3.2044	-0.0713855
3.21438	-0.0718348
3.22436	-0.0722855
3.23435	-0.0727377
3.24433	-0.0731913
3.25431	-0.0736464
3.26429	-0.0741029
3.27427	-0.0745608
3.28426	-0.0750202
3.29424	-0.075481
3.30422	-0.0759433
3.3142	-0.0764071
3.32418	-0.0768722
3.33417	-0.0773388
3.34415	-0.0778069
3.35413	-0.0782764
3.36411	-0.0787474
3.37409	-0.0792198
3.38408	-0.0796936
3.39406	-0.0801689
3.40404	-0.0806457
3.41402	-0.0811239
3.424	-0.0816035
3.43399	-0.0820846
3.44397	-0.0825672
3.45395	-0.0830512
3.46393	-0.0835366
3.47391	-0.0840236
3.4839	-0.0845119
3.49388	-0.0850017
3.50386	-0.085493
3.51384	-0.0859857
3.52382	-0.0864799
3.53381	-0.0869755
3.54379	-0.0874726
3.55377	-0.0879711
3.56375	-0.0884711
3.57373	-0.0889726
3.58372	-0.0894755
3.5937	-0.0899798
3.60368	-0.0904856
3.61366	-0.0909929
3.62364	-0.0915016
3.63363	-0.0920118
3.64361	-0.0925235
3.65359	-0.0930366
3.66357	-0.0935512
3.67355	-0.0940672
3.68354	-0.0945847
3.69352	-0.0951037
3.7035	-0.0956241
3.71348	-0.096146
3.72346	-0.0966693
3.73345	-0.0971941
3.74343	-0.0977204
3.75341	-0.0982481
3.76339	-0.0987773
3.77337	-0.099308
3.78336	-0.0998401
3.79334	-0.100374
3.80332	-0.100909
3.8133	-0.101445
3.82328	-0.101983
3.83327	-0.102523
3.84325	-0.103064
3.85323	-0.103606
3.86321	-0.10415
3.87319	-0.104695
3.88318	-0.105242
3.89316	-0.10579
3.90314	-0.10634
3.91312	-0.106891
3.9231	-0.107444
3.93309	-0.107998
3.94307	-0.108554
3.95305	-0.109111
3.96303	-0.10967
3.97301	-0.11023
3.983	-0.110791
3.99298	-0.111354
4.00296	-0.111919
4.01294	-0.112485
4.02292	-0.113052
4.03291	-0.113621
4.04289	-0.114191
4.05287	-0.114763
4.06285	-0.115337
4.07283	-0.115911
4.08282	-0.116488
4.0928	-0.117066
4.10278	-0.117645
4.11276	-0.118226
4.12274	-0.118808
4.13273	-0.119392
4.14271	-0.119977
4.15269	-0.120563
4.16267	-0.121152
4.17265	-0.121741
4.18264	-0.122332
4.19262	-0.122925
4.2026	-0.123519
4.21258	-0.124115
4.22256	-0.124712
4.23255	-0.12531
4.24253	-0.12591
4.25251	-0.126512
4.26249	-0.127115
4.27247	-0.12772
4.28246	-0.128326
4.29244	-0.128933
4.30242	-0.129542
4.3124	-0.130153
4.32238	-0.130765
4.33237	-0.131378
4.34235	-0.131993
4.35233	-0.132609
4.36231	-0.133227
4.37229	-0.133847
4.38228	-0.134468
4.39226	-0.13509
4.40224	-0.135714
4.41222	-0.13634
4.4222	-0.136966
4.43219	-0.137595
4.44217	-0.138225
4.45215	-0.138856
4.46213	-0.139489
4.47211	-0.140124
4.4821	-0.140759
4.49208	-0.141397
4.50206	-0.142036
4.51204	-0.142676
4.52202	-0.143318
4.53201	-0.143962
4.54199	-0.144606
4.55197	-0.145253
4.56195	-0.145901
4.57193	-0.14655
4.58192	-0.147201
4.5919	-0.147854
4.60188	-0.148508
4.61186	-0.149163
4.62184	-0.14982
4.63183	-0.150479
4.64181	-0.151138
4.65179	-0.1518
4.66177	-0.152463
4.67175	-0.153128
4.68174	-0.153794
4.69172	-0.154461
4.7017	-0.15513
4.71168	-0.155801
4.72166	-0.156473
4.73165	-0.157146
4.74163	-0.157821
4.75161	-0.158498
4.76159	-0.159176
4.77157	-0.159856
4.78156	-0.160537
4.79154	-0.16122
4.80152	-0.161904
4.8115	-0.16259
4.82148	-0.163277
4.83147	-0.163966
4.84145	-0.164656
4.85143	-0.165348
4.86141	-0.166041
4.87139	-0.166736
4.88138	-0.167432
4.89136	-0.16813
4.90134	-0.168829
4.91132	-0.16953
4.9213	-0.170233
4.93129	-0.170937
4.94127	-0.171642
4.95125	-0.172349
4.96123	-0.173058
4.97121	-0.173768
4.9812	-0.174479
4.99118	-0.175192
5.00116	-0.175907
5.01114	-0.176623
5.02112	-0.177341
5.03111	-0.17806
5.04109	-0.178781
5.05107	-0.179503
5.06105	-0.180227
5.07103	-0.180952
5.08102	-0.181679
5.091	-0.182408
5.10098	-0.183138
5.11096	-0.183869
5.12094	-0.184602
5.13093	-0.185337
5.14091	-0.186073
5.15089	-0.186811
5.16087	-0.18755
5.17085	-0.18829
5.18084	-0.189033
5.19082	-0.189777
5.2008	-0.190522
5.21078	-0.191269
5.22076	-0.192017
5.23075	-0.192767
5.24073	-0.193519
5.25071	-0.194272
5.26069	-0.195026
5.27067	-0.195782
5.28066	-0.19654
5.29064	-0.197299
5.30062	-0.19806
5.3106	-0.198822
5.32058	-0.199586
5.33057	-0.200352
5.34055	-0.201119
5.35053	-0.201887
5.36051	-0.202657
5.37049	-0.203429
5.38048	-0.204202
5.39046	-0.204976
5.40044	-0.205753
5.41042	-0.206531
5.4204	-0.20731
5.43039	-0.208091
5.44037	-0.208873
5.45035	-0.209657
5.46033	-0.210443
5.47031	-0.21123
5.4803	-0.212019
5.49028	-0.212809
5.50026	-0.213601
5.51024	-0.214394
5.52022	-0.215189
5.53021	-0.215985
5.54019	-0.216783
5.55017	-0.217583
5.56015	-0.218384
5.57013	-0.219187
5.58012	-0.219991
5.5901	-0.220797
5.60008	-0.221604
5.61006	-0.222413
5.62004	-0.223224
5.63003	-0.224036
5.64001	-0.22485
5.64999	-0.225665
5.65997	-0.226482
5.66995	-0.2273
5.67994	-0.22812
5.68992	-0.228941
5.6999	-0.229764
5.70988	-0.230589
5.71986	-0.231415
5.72985	-0.232243
5.73983	-0.233072
5.74981	-0.233903
5.75979	-0.234736
5.76977	-0.23557
5.77976	-0.236406
5.78974	-0.237243
5.79972	-0.238082
5.8097	-0.238922
5.81968	-0.239764
5.82967	-0.240607
5.83965	-0.241453
5.84963	-0.242299
5.85961	-0.243147
5.86959	-0.243997
5.87958	-0.244849
5.88956	-0.245702
5.89954	-0.246556
5.90952	-0.247412
5.9195	-0.24827
5.92949	-0.24913
5.93947	-0.24999
5.94945	-0.250853
5.95943	-0.251717
5.96941	-0.252583
5.9794	-0.25345
5.98938	-0.254319
5.99936	-0.255189
6.00934	-0.256061
6.01932	-0.256935
6.02931	-0.25781
6.03929	-0.258687
6.04927	-0.259565
6.05925	-0.260445
6.06923	-0.261327
6.07922	-0.26221
6.0892	-0.263095
6.09918	-0.263981
6.10916	-0.264869
6.11914	-0.265758
6.12913	-0.26665
6.13911	-0.267542
6.14909	-0.268437
6.15907	-0.269333
6.16905	-0.27023
6.17904	-0.271129
6.18902	-0.27203
6.199	-0.272932
6.20898	-0.273836
6.21896	-0.274742
6.22895	-0.275649
6.23893	-0.276557
6.24891	-0.277468
6.25889	-0.27838
6.26887	-0.279293
6.27886	-0.280208
6.28884	-0.281125
6.29882	-0.282044
6.3088	-0.282964
6.31878	-0.283885
6.32877	-0.284808
6.33875	-0.285733
6.34873	-0.286659
6.35871	-0.287587
6.36869	-0.288517
6.37868	-0.289448
6.38866	-0.290381
6.39864	-0.291316
6.40862	-0.292252
6.4186	-0.293189
6.42859	-0.294129
6.43857	-0.29507
6.44855	-0.296012
6.45853	-0.296956
6.46851	-0.297902
6.4785	-0.298849
6.48848	-0.299798
6.49846	-0.300749
6.50844	-0.301701
6.51842	-0.302655
6.52841	-0.303611
6.53839	-0.304568
6.54837	-0.305527
6.55835	-0.306487
6.56833	-0.307449
6.57832	-0.308413
6.5883	-0.309378
6.59828	-0.310345
6.60826	-0.311313
6.61824	-0.312283
6.62823	-0.313255
6.63821	-0.314228
6.64819	-0.315203
6.65817	-0.31618
6.66815	-0.317158
6.67814	-0.318138
6.68812	-0.31912
6.6981	-0.320103
6.70808	-0.321088
6.71806	-0.322074
6.72805	-0.323062
6.73803	-0.324052
6.74801	-0.325043
6.75799	-0.326036
6.76797	-0.327031
6.77796	-0.328027
6.78794	-0.329025
6.79792	-0.330024
6.8079	-0.331025
6.81788	-0.332028
6.82787	-0.333033
6.83785	-0.334039
6.84783	-0.335047
6.85781	-0.336056
6.86779	-0.337067
6.87778	-0.33808
6.88776	-0.339094
